-----;--------;------;---------------;--------;--------;----------;--------;---------;----------;---------;---------;-----;----------------;
   1 ; USIH   ;    31; ITUMBIARA     ;    1   ; QDEF   ;HIDRLIM   ;  10031 ;     1.00;  (m3/s)  ;   233.00;     -   ; NAO ; OPERUH (RQ)    ;
   1 ; USIH   ;    32; CACH.DOURADA  ;    1   ; QDEF   ;HIDRLIM   ;  10032 ;     1.00;  (m3/s)  ;   254.00;     -   ; NAO ; OPERUH (RQ)    ;
   1 ; USIH   ;    33; SAO SIMAO     ;    1   ; QDEF   ;HIDRLIM   ;  10033 ;     1.00;  (m3/s)  ;   450.00;     -   ; NAO ; OPERUH (RQ)    ;
   2 ; USIT   ;     1; ANGRA 1       ;    2   ; GTER   ;TERMLIM   ;      1 ;     1.00;   (MW)   ;     0.00;   657.00; NAO ; Reg. UT        ;
   2 ; USIT   ;     2; IGARAPE       ;    2   ; GTER   ;TERMLIM   ;      2 ;     1.00;   (MW)   ;     0.00;   131.00; NAO ; Reg. UT        ;
   2 ; USIT   ;     3; ST.CRUZ 12    ;    2   ; GTER   ;TERMLIM   ;      3 ;     1.00;   (MW)   ;     0.00;    84.00; NAO ; Reg. UT        ;
   2 ; USIT   ;    50; PIRAT.12 G    ;    2   ; GTER   ;TERMLIM   ;     50 ;     1.00;   (MW)   ;     0.00;   200.00; NAO ; Reg. UT        ;
   2 ; USIT   ;     4; ST.CRUZ 34    ;    2   ; GTER   ;TERMLIM   ;      4 ;     1.00;   (MW)   ;     0.00;   220.00; NAO ; Reg. UT        ;
   2 ; USIH   ;     6; FURNAS        ;    2   ; QDEF   ;HIDRLIM   ;  10006 ;     1.00;  (m3/s)  ;   102.00;     -   ; NAO ; OPERUH (RQ)    ;
   2 ; USIH   ;     7; M. DE MORAES  ;    2   ; QDEF   ;HIDRLIM   ;  10007 ;     1.00;  (m3/s)  ;  1100.00;     -   ; NAO ; OPERUH (RQ)    ;
   2 ; USIH   ;     8; ESTREITO      ;    2   ; QDEF   ;HIDRLIM   ;  10008 ;     1.00;  (m3/s)  ;   115.00;     -   ; NAO ; OPERUH (RQ)    ;
   2 ; USIH   ;    10; IGARAPAVA     ;    2   ; QDEF   ;HIDRLIM   ;  10010 ;     1.00;  (m3/s)  ;   119.00;     -   ; NAO ; OPERUH (RQ)    ;
   2 ; USIH   ;    14; CACONDE       ;    2   ; QDEF   ;HIDRLIM   ;  10014 ;     1.00;  (m3/s)  ;     8.00;     -   ; NAO ; OPERUH (RQ)    ;
   2 ; USIH   ;    15; E. DA CUNHA   ;    2   ; QDEF   ;HIDRLIM   ;  10015 ;     1.00;  (m3/s)  ;    12.00;     -   ; NAO ; OPERUH (RQ)    ;
   2 ; USIH   ;    16; A.S.OLIVEIRA  ;    2   ; QDEF   ;HIDRLIM   ;  10016 ;     1.00;  (m3/s)  ;    12.00;     -   ; NAO ; OPERUH (RQ)    ;
