***********************************************************************
*                                                                     *
*            CEPEL - CENTRO DE PESQUISAS DE ENERGIA ELETRICA          *
*  MODELO DESSEM     - VERSAO 19.0.14.1.3 - Marco de 2021 (CPLEX) (ACADEMICA)        *
*                                                                     *
***********************************************************************


   PROGRAMA LICENCIADO PARA CEMEAI                                                                                                                                                


____________________________________________________________________

  te  caso exemplo - sistema reduzido                                            - Data do Caso: 06/01/2017                                                       
____________________________________________________________________


  
Somatorio de fluxos de circuitos/barras eletricas                                                   
  
-----;------;-------;-;-;-----;--------------------------------------------------;--------;--------;---;-----------;-----------;-----------;-----------;
     ;      ;       ; ; ;     ;                                                  ; Bar De/; Bar    ;   ;           ;           ;           ;           ;
IPER ; IND  ;  Pat  ;V;L;NUM  ;    Nome                                          ;   Bar  ; Para   ;Cir;   Valor   ;   Linf    ;   Lsup    ;  Multipl  ;
-----;------;-------;-;-;-----;--------------------------------------------------;--------;--------;---;-----------;-----------;-----------;-----------;
  3  ;    2 ;LEVE   ;-; ; 103 ;# Exp_N                                           ;     8  ;     9  ; 1 ;   -35.464 ;    -      ;    -      ;    -      ;
  3  ;    3 ;LEVE   ;-; ; 400 ;# LT IGD-BJD + TR IGT                             ;    -   ;    -   ; - ; -1347.358 ;-99999.000 ;  9999.000 ;     0.000 ;
  3  ;    3 ;LEVE   ;-; ; 400 ;# LT IGD-BJD + TR IGT                             ;     1  ;   -   ; - ;  -728.530 ;    -      ;    -      ;    -      ;
  3  ;    3 ;LEVE   ;-; ; 400 ;# LT IGD-BJD + TR IGT                             ;     2  ;   -   ; - ;  -377.528 ;    -      ;    -      ;    -      ;
  3  ;    3 ;LEVE   ;-; ; 400 ;# LT IGD-BJD + TR IGT                             ;     3  ;   -   ; - ;  -200.000 ;    -      ;    -      ;    -      ;
  3  ;    3 ;LEVE   ;-; ; 400 ;# LT IGD-BJD + TR IGT                             ;     4  ;   -   ; - ;     0.000 ;    -      ;    -      ;    -      ;
  3  ;    3 ;LEVE   ;-; ; 400 ;# LT IGD-BJD + TR IGT                             ;     5  ;   -   ; - ;   -41.300 ;    -      ;    -      ;    -      ;
  3  ;    3 ;LEVE   ;-; ; 400 ;# LT IGD-BJD + TR IGT                             ;     6  ;   -   ; - ;    -      ;    -      ;    -      ;    -      ;
  4  ;    1 ;LEVE   ;-; ; 128 ;# RNE                                             ;    -   ;    -   ; - ;   512.666 ;-99999.000 ;  3600.000 ;     0.000 ;
  4  ;    1 ;LEVE   ;-; ; 128 ;# RNE                                             ;     1  ;     2  ; 1 ;   154.641 ;    -      ;    -      ;    -      ;
  4  ;    1 ;LEVE   ;-; ; 128 ;# RNE                                             ;     2  ;     4  ; 1 ;   221.953 ;    -      ;    -      ;    -      ;
  4  ;    1 ;LEVE   ;-; ; 128 ;# RNE                                             ;     4  ;     9  ; 1 ;   136.072 ;    -      ;    -      ;    -      ;
  4  ;    2 ;LEVE   ;-; ; 103 ;# Exp_N                                           ;    -   ;    -   ; - ;  -222.624 ;-99999.000 ;  5000.000 ;     0.000 ;
  4  ;    2 ;LEVE   ;-; ; 103 ;# Exp_N                                           ;     1  ;     3  ; 1 ;  -181.560 ;    -      ;    -      ;    -      ;
  4  ;    2 ;LEVE   ;-; ; 103 ;# Exp_N                                           ;     8  ;     9  ; 1 ;   -41.064 ;    -      ;    -      ;    -      ;
  4  ;    3 ;LEVE   ;-; ; 400 ;# LT IGD-BJD + TR IGT                             ;    -   ;    -   ; - ; -1347.382 ;-99999.000 ;  9999.000 ;     0.000 ;
  4  ;    3 ;LEVE   ;-; ; 400 ;# LT IGD-BJD + TR IGT                             ;     1  ;   -   ; - ;  -728.554 ;    -      ;    -      ;    -      ;
  4  ;    3 ;LEVE   ;-; ; 400 ;# LT IGD-BJD + TR IGT                             ;     2  ;   -   ; - ;  -377.528 ;    -      ;    -      ;    -      ;
  4  ;    3 ;LEVE   ;-; ; 400 ;# LT IGD-BJD + TR IGT                             ;     3  ;   -   ; - ;  -200.000 ;    -      ;    -      ;    -      ;
  4  ;    3 ;LEVE   ;-; ; 400 ;# LT IGD-BJD + TR IGT                             ;     4  ;   -   ; - ;     0.000 ;    -      ;    -      ;    -      ;
  4  ;    3 ;LEVE   ;-; ; 400 ;# LT IGD-BJD + TR IGT                             ;     5  ;   -   ; - ;   -41.300 ;    -      ;    -      ;    -      ;
  4  ;    3 ;LEVE   ;-; ; 400 ;# LT IGD-BJD + TR IGT                             ;     6  ;   -   ; - ;    -      ;    -      ;    -      ;    -      ;
  5  ;    1 ;LEVE   ;-; ; 128 ;# RNE                                             ;    -   ;    -   ; - ;   526.653 ;-99999.000 ;  3600.000 ;     0.000 ;
  5  ;    1 ;LEVE   ;-; ; 128 ;# RNE                                             ;     1  ;     2  ; 1 ;   155.721 ;    -      ;    -      ;    -      ;
  5  ;    1 ;LEVE   ;-; ; 128 ;# RNE                                             ;     2  ;     4  ; 1 ;   226.038 ;    -      ;    -      ;    -      ;
  5  ;    1 ;LEVE   ;-; ; 128 ;# RNE                                             ;     4  ;     9  ; 1 ;   144.894 ;    -      ;    -      ;    -      ;
  5  ;    2 ;LEVE   ;-; ; 103 ;# Exp_N                                           ;    -   ;    -   ; - ;  -213.221 ;-99999.000 ;  5000.000 ;     0.000 ;
  5  ;    2 ;LEVE   ;-; ; 103 ;# Exp_N                                           ;     1  ;     3  ; 1 ;  -181.922 ;    -      ;    -      ;    -      ;
  5  ;    2 ;LEVE   ;-; ; 103 ;# Exp_N                                           ;     8  ;     9  ; 1 ;   -31.299 ;    -      ;    -      ;    -      ;
  5  ;    3 ;LEVE   ;-; ; 400 ;# LT IGD-BJD + TR IGT                             ;    -   ;    -   ; - ; -1347.406 ;-99999.000 ;  9999.000 ;     0.000 ;
  5  ;    3 ;LEVE   ;-; ; 400 ;# LT IGD-BJD + TR IGT                             ;     1  ;   -   ; - ;  -728.578 ;    -      ;    -      ;    -      ;
  5  ;    3 ;LEVE   ;-; ; 400 ;# LT IGD-BJD + TR IGT                             ;     2  ;   -   ; - ;  -377.528 ;    -      ;    -      ;    -      ;
  5  ;    3 ;LEVE   ;-; ; 400 ;# LT IGD-BJD + TR IGT                             ;     3  ;   -   ; - ;  -200.000 ;    -      ;    -      ;    -      ;
  5  ;    3 ;LEVE   ;-; ; 400 ;# LT IGD-BJD + TR IGT                             ;     4  ;   -   ; - ;     0.000 ;    -      ;    -      ;    -      ;
  5  ;    3 ;LEVE   ;-; ; 400 ;# LT IGD-BJD + TR IGT                             ;     5  ;   -   ; - ;   -41.300 ;    -      ;    -      ;    -      ;
  5  ;    3 ;LEVE   ;-; ; 400 ;# LT IGD-BJD + TR IGT                             ;     6  ;   -   ; - ;    -      ;    -      ;    -      ;    -      ;
  6  ;    1 ;LEVE   ;-; ; 128 ;# RNE                                             ;    -   ;    -   ; - ;   495.614 ;-99999.000 ;  3600.000 ;     0.000 ;
  6  ;    1 ;LEVE   ;-; ; 128 ;# RNE                                             ;     1  ;     2  ; 1 ;   167.745 ;    -      ;    -      ;    -      ;
  6  ;    1 ;LEVE   ;-; ; 128 ;# RNE                                             ;     2  ;     4  ; 1 ;   214.335 ;    -      ;    -      ;    -      ;
  6  ;    1 ;LEVE   ;-; ; 128 ;# RNE                                             ;     4  ;     9  ; 1 ;   113.535 ;    -      ;    -      ;    -      ;
  6  ;    2 ;LEVE   ;-; ; 103 ;# Exp_N                                           ;    -   ;    -   ; - ;  -223.017 ;-99999.000 ;  5000.000 ;     0.000 ;
  6  ;    2 ;LEVE   ;-; ; 103 ;# Exp_N                                           ;     1  ;     3  ; 1 ;  -146.249 ;    -      ;    -      ;    -      ;
  6  ;    2 ;LEVE   ;-; ; 103 ;# Exp_N                                           ;     8  ;     9  ; 1 ;   -76.769 ;    -      ;    -      ;    -      ;
  6  ;    3 ;LEVE   ;-; ; 400 ;# LT IGD-BJD + TR IGT                             ;    -   ;    -   ; - ; -1347.430 ;-99999.000 ;  9999.000 ;     0.000 ;
  6  ;    3 ;LEVE   ;-; ; 400 ;# LT IGD-BJD + TR IGT                             ;     1  ;   -   ; - ;  -728.602 ;    -      ;    -      ;    -      ;
  6  ;    3 ;LEVE   ;-; ; 400 ;# LT IGD-BJD + TR IGT                             ;     2  ;   -   ; - ;  -377.528 ;    -      ;    -      ;    -      ;
  6  ;    3 ;LEVE   ;-; ; 400 ;# LT IGD-BJD + TR IGT                             ;     3  ;   -   ; - ;  -200.000 ;    -      ;    -      ;    -      ;
  6  ;    3 ;LEVE   ;-; ; 400 ;# LT IGD-BJD + TR IGT                             ;     4  ;   -   ; - ;     0.000 ;    -      ;    -      ;    -      ;
  6  ;    3 ;LEVE   ;-; ; 400 ;# LT IGD-BJD + TR IGT                             ;     5  ;   -   ; - ;   -41.300 ;    -      ;    -      ;    -      ;
  6  ;    3 ;LEVE   ;-; ; 400 ;# LT IGD-BJD + TR IGT                             ;     6  ;   -   ; - ;    -      ;    -      ;    -      ;    -      ;
  7  ;    1 ;LEVE   ;-; ; 128 ;# RNE                                             ;    -   ;    -   ; - ;   495.635 ;-99999.000 ;  3600.000 ;     0.000 ;
  7  ;    1 ;LEVE   ;-; ; 128 ;# RNE                                             ;     1  ;     2  ; 1 ;   167.755 ;    -      ;    -      ;    -      ;
  7  ;    1 ;LEVE   ;-; ; 128 ;# RNE                                             ;     2  ;     4  ; 1 ;   214.340 ;    -      ;    -      ;    -      ;
  7  ;    1 ;LEVE   ;-; ; 128 ;# RNE                                             ;     4  ;     9  ; 1 ;   113.540 ;    -      ;    -      ;    -      ;
  7  ;    2 ;LEVE   ;-; ; 103 ;# Exp_N                                           ;    -   ;    -   ; - ;  -223.024 ;-99999.000 ;  5000.000 ;     0.000 ;
  7  ;    2 ;LEVE   ;-; ; 103 ;# Exp_N                                           ;     1  ;     3  ; 1 ;  -146.255 ;    -      ;    -      ;    -      ;
  7  ;    2 ;LEVE   ;-; ; 103 ;# Exp_N                                           ;     8  ;     9  ; 1 ;   -76.768 ;    -      ;    -      ;    -      ;
  7  ;    3 ;LEVE   ;-; ; 400 ;# LT IGD-BJD + TR IGT                             ;    -   ;    -   ; - ; -1347.454 ;-99999.000 ;  9999.000 ;     0.000 ;
  7  ;    3 ;LEVE   ;-; ; 400 ;# LT IGD-BJD + TR IGT                             ;     1  ;   -   ; - ;  -728.626 ;    -      ;    -      ;    -      ;
  7  ;    3 ;LEVE   ;-; ; 400 ;# LT IGD-BJD + TR IGT                             ;     2  ;   -   ; - ;  -377.528 ;    -      ;    -      ;    -      ;
  7  ;    3 ;LEVE   ;-; ; 400 ;# LT IGD-BJD + TR IGT                             ;     3  ;   -   ; - ;  -200.000 ;    -      ;    -      ;    -      ;
  7  ;    3 ;LEVE   ;-; ; 400 ;# LT IGD-BJD + TR IGT                             ;     4  ;   -   ; - ;     0.000 ;    -      ;    -      ;    -      ;
  7  ;    3 ;LEVE   ;-; ; 400 ;# LT IGD-BJD + TR IGT                             ;     5  ;   -   ; - ;   -41.300 ;    -      ;    -      ;    -      ;
  7  ;    3 ;LEVE   ;-; ; 400 ;# LT IGD-BJD + TR IGT                             ;     6  ;   -   ; - ;    -      ;    -      ;    -      ;    -      ;
  8  ;    1 ;LEVE   ;-; ; 128 ;# RNE                                             ;    -   ;    -   ; - ;   519.268 ;-99999.000 ;  3600.000 ;     0.000 ;
  8  ;    1 ;LEVE   ;-; ; 128 ;# RNE                                             ;     1  ;     2  ; 1 ;   161.938 ;    -      ;    -      ;    -      ;
  8  ;    1 ;LEVE   ;-; ; 128 ;# RNE                                             ;     2  ;     4  ; 1 ;   222.627 ;    -      ;    -      ;    -      ;
  8  ;    1 ;LEVE   ;-; ; 128 ;# RNE                                             ;     4  ;     9  ; 1 ;   134.703 ;    -      ;    -      ;    -      ;
  8  ;    2 ;LEVE   ;-; ; 103 ;# Exp_N                                           ;    -   ;    -   ; - ;  -213.075 ;-99999.000 ;  5000.000 ;     0.000 ;
  8  ;    2 ;LEVE   ;-; ; 103 ;# Exp_N                                           ;     1  ;     3  ; 1 ;  -165.390 ;    -      ;    -      ;    -      ;
  8  ;    2 ;LEVE   ;-; ; 103 ;# Exp_N                                           ;     8  ;     9  ; 1 ;   -47.685 ;    -      ;    -      ;    -      ;
  8  ;    3 ;LEVE   ;-; ; 400 ;# LT IGD-BJD + TR IGT                             ;    -   ;    -   ; - ; -1347.478 ;-99999.000 ;  9999.000 ;     0.000 ;
