***********************************************************************
*                                                                     *
*            CEPEL - CENTRO DE PESQUISAS DE ENERGIA ELETRICA          *
*  MODELO DESSEM     - VERSAO 19.0.14.1.3 - Marco de 2021 (CPLEX) (ACADEMICA)        *
*                                                                     *
***********************************************************************


   PROGRAMA LICENCIADO PARA CEMEAI                                                                                                                                                


____________________________________________________________________

  te  caso exemplo - sistema reduzido                                            - Data do Caso: 06/01/2017                                                       
____________________________________________________________________


  
Memoria de calculo do CMO das barras - participacao nas restricoes de limites de fluxo
  
-----------------;-----------------;-----------------;-----------------;-----------------;-----------------;-----------------;-----------------;-----------------;-----------------;-----------------;
      IPER       ;      NUM        ;      SIST       ;     BARRA DE    ;    BARRA PARA   ;     CIRCUITO    ;  SOM. PI LINHA  ;     PARCELA     ;      FATOR      ;    LBD. FLUX    ;     SENTIDO     ;
-----------------;-----------------;-----------------;-----------------;-----------------;-----------------;-----------------;-----------------;-----------------;-----------------;-----------------;
        13       ;          1      ;       S1        ;         15      ;         16      ;          1      ;        -0.64827 ;         0.64827 ;         0.12381 ;        -5.23613 ;        1        ;
        13       ;          2      ;       S1        ;         15      ;         16      ;          1      ;        -0.61861 ;         0.61861 ;         0.11814 ;        -5.23613 ;        1        ;
        13       ;          3      ;       S1        ;         15      ;         16      ;          1      ;        -1.58502 ;         1.58502 ;         0.30271 ;        -5.23613 ;        1        ;
        13       ;          4      ;       S1        ;         15      ;         16      ;          1      ;        -0.53296 ;         0.53296 ;         0.10178 ;        -5.23613 ;        1        ;
        13       ;          5      ;       S1        ;         15      ;         16      ;          1      ;        -0.45378 ;         0.45378 ;         0.08666 ;        -5.23613 ;        1        ;
        13       ;          6      ;       S1        ;         15      ;         16      ;          1      ;        -0.33874 ;         0.33874 ;         0.06469 ;        -5.23613 ;        1        ;
        13       ;          7      ;       S1        ;         15      ;         16      ;          1      ;        -0.35670 ;         0.35670 ;         0.06812 ;        -5.23613 ;        1        ;
        13       ;          8      ;       S1        ;         15      ;         16      ;          1      ;        -0.35670 ;         0.35670 ;         0.06812 ;        -5.23613 ;        1        ;
        13       ;          9      ;       S1        ;         15      ;         16      ;          1      ;        -0.46285 ;         0.46285 ;         0.08840 ;        -5.23613 ;        1        ;
        13       ;         10      ;       S1        ;         15      ;         16      ;          1      ;        -0.25055 ;         0.25055 ;         0.04785 ;        -5.23613 ;        1        ;
        13       ;         11      ;       S1        ;         15      ;         16      ;          1      ;        -0.02260 ;         0.02260 ;         0.00432 ;        -5.23613 ;        1        ;
        13       ;         12      ;       S1        ;         15      ;         16      ;          1      ;        -0.10914 ;         0.10914 ;         0.02084 ;        -5.23613 ;        1        ;
        13       ;         13      ;       S1        ;         15      ;         16      ;          1      ;         0.00000 ;         0.00000 ;         0.00000 ;        -5.23613 ;        1        ;
        13       ;         14      ;       S2        ;         15      ;         16      ;          1      ;         0.29046 ;        -0.29046 ;        -0.05547 ;        -5.23613 ;        1        ;
        13       ;         15      ;       S2        ;         15      ;         16      ;          1      ;        -3.46793 ;         3.46793 ;         0.66231 ;        -5.23613 ;        1        ;
        13       ;         16      ;       S2        ;         15      ;         16      ;          1      ;         0.58180 ;        -0.58180 ;        -0.11111 ;        -5.23613 ;        1        ;
