***********************************************************************
*                                                                     *
*            CEPEL - CENTRO DE PESQUISAS DE ENERGIA ELETRICA          *
*  MODELO DESSEM     - VERSAO 19.0.14.1.3 - Marco de 2021 (CPLEX) (ACADEMICA)        *
*                                                                     *
***********************************************************************


   PROGRAMA LICENCIADO PARA CEMEAI                                                                                                                                                


____________________________________________________________________

  te  caso exemplo - sistema reduzido                                            - Data do Caso: 06/01/2017                                                       
____________________________________________________________________


  
Dados dos cortes do decomp.
  
-----;--------;------;------;---------;-----------;
NITER; NREGDC ; NSIS ; NPLT ; NUTV ; NGNL ;IPTDEC1 ;
   IPTDEC2 ;
-----;--------;------;------;---------;-----------;
  27 ;    135 ;    2 ;   14 ;    0 ;    0 ;    135  ;       0   ;
-----;--------;------;------;---------;-----------;

Cortes da segunda semana de estudo do DECOMP

-----;------;------;-----;-----;-----;----------------;
 IND ; IREG ; TIPO ; USI ; LAG ; PAT ;    Valor       ;
-----;------;------;-----;-----;-----;----------------;
   5 ;      ; VARM ;  32 ;  -  ;  -  ;         -52.45 ;
   5 ;      ; VARM ;  33 ;  -  ;  -  ;         -37.27 ;
   6 ;  110 ; RHS  ;     ;     ;     ;     5980810.66 ;
   6 ;      ; VARM ;   6 ;  -  ;  -  ;        -106.40 ;
   6 ;      ; VARM ;   7 ;  -  ;  -  ;         -61.10 ;
   6 ;      ; VARM ;   8 ;  -  ;  -  ;         -41.01 ;
   6 ;      ; VARM ;  10 ;  -  ;  -  ;          -8.54 ;
   6 ;      ; VARM ;  14 ;  -  ;  -  ;         -99.47 ;
   6 ;      ; VARM ;  15 ;  -  ;  -  ;         -53.31 ;
   6 ;      ; VARM ;  16 ;  -  ;  -  ;         -12.09 ;
   6 ;      ; VARM ;  24 ;  -  ;  -  ;        -155.20 ;
   6 ;      ; VARM ;  25 ;  -  ;  -  ;        -185.69 ;
   6 ;      ; VARM ;  26 ;  -  ;  -  ;        -128.57 ;
   6 ;      ; VARM ;  30 ;  -  ;  -  ;         -96.40 ;
   6 ;      ; VARM ;  31 ;  -  ;  -  ;         -91.92 ;
   6 ;      ; VARM ;  32 ;  -  ;  -  ;         -52.45 ;
   6 ;      ; VARM ;  33 ;  -  ;  -  ;         -37.26 ;
   7 ;  105 ; RHS  ;     ;     ;     ;     5979543.64 ;
   7 ;      ; VARM ;   6 ;  -  ;  -  ;        -106.40 ;
   7 ;      ; VARM ;   7 ;  -  ;  -  ;         -61.09 ;
   7 ;      ; VARM ;   8 ;  -  ;  -  ;         -40.99 ;
   7 ;      ; VARM ;  10 ;  -  ;  -  ;          -8.51 ;
   7 ;      ; VARM ;  14 ;  -  ;  -  ;         -99.48 ;
   7 ;      ; VARM ;  15 ;  -  ;  -  ;         -53.32 ;
   7 ;      ; VARM ;  16 ;  -  ;  -  ;         -12.09 ;
   7 ;      ; VARM ;  24 ;  -  ;  -  ;        -155.20 ;
   7 ;      ; VARM ;  25 ;  -  ;  -  ;        -185.69 ;
   7 ;      ; VARM ;  26 ;  -  ;  -  ;        -128.56 ;
   7 ;      ; VARM ;  30 ;  -  ;  -  ;         -96.41 ;
   7 ;      ; VARM ;  31 ;  -  ;  -  ;         -91.89 ;
   7 ;      ; VARM ;  32 ;  -  ;  -  ;         -52.41 ;
   7 ;      ; VARM ;  33 ;  -  ;  -  ;         -37.06 ;
   8 ;  100 ; RHS  ;     ;     ;     ;     5979560.03 ;
   8 ;      ; VARM ;   6 ;  -  ;  -  ;        -106.40 ;
   8 ;      ; VARM ;   7 ;  -  ;  -  ;         -61.09 ;
   8 ;      ; VARM ;   8 ;  -  ;  -  ;         -40.99 ;
   8 ;      ; VARM ;  10 ;  -  ;  -  ;          -8.51 ;
   8 ;      ; VARM ;  14 ;  -  ;  -  ;         -99.50 ;
   8 ;      ; VARM ;  15 ;  -  ;  -  ;         -53.32 ;
   8 ;      ; VARM ;  16 ;  -  ;  -  ;         -12.09 ;
   8 ;      ; VARM ;  24 ;  -  ;  -  ;        -155.20 ;
   8 ;      ; VARM ;  25 ;  -  ;  -  ;        -185.69 ;
   8 ;      ; VARM ;  26 ;  -  ;  -  ;        -128.56 ;
   8 ;      ; VARM ;  30 ;  -  ;  -  ;         -96.41 ;
   8 ;      ; VARM ;  31 ;  -  ;  -  ;         -91.90 ;
   8 ;      ; VARM ;  32 ;  -  ;  -  ;         -52.41 ;
   8 ;      ; VARM ;  33 ;  -  ;  -  ;         -37.06 ;
   9 ;   95 ; RHS  ;     ;     ;     ;     5981113.03 ;
   9 ;      ; VARM ;   6 ;  -  ;  -  ;        -106.40 ;
   9 ;      ; VARM ;   7 ;  -  ;  -  ;         -61.10 ;
   9 ;      ; VARM ;   8 ;  -  ;  -  ;         -41.01 ;
   9 ;      ; VARM ;  10 ;  -  ;  -  ;          -8.55 ;
   9 ;      ; VARM ;  14 ;  -  ;  -  ;         -99.48 ;
   9 ;      ; VARM ;  15 ;  -  ;  -  ;         -53.30 ;
   9 ;      ; VARM ;  16 ;  -  ;  -  ;         -12.09 ;
   9 ;      ; VARM ;  24 ;  -  ;  -  ;        -155.20 ;
   9 ;      ; VARM ;  25 ;  -  ;  -  ;        -185.69 ;
   9 ;      ; VARM ;  26 ;  -  ;  -  ;        -128.58 ;
   9 ;      ; VARM ;  30 ;  -  ;  -  ;         -96.41 ;
   9 ;      ; VARM ;  31 ;  -  ;  -  ;         -91.93 ;
   9 ;      ; VARM ;  32 ;  -  ;  -  ;         -52.46 ;
   9 ;      ; VARM ;  33 ;  -  ;  -  ;         -37.31 ;
  10 ;   90 ; RHS  ;     ;     ;     ;     5979580.93 ;
  10 ;      ; VARM ;   6 ;  -  ;  -  ;        -106.40 ;
  10 ;      ; VARM ;   7 ;  -  ;  -  ;         -61.09 ;
  10 ;      ; VARM ;   8 ;  -  ;  -  ;         -40.99 ;
  10 ;      ; VARM ;  10 ;  -  ;  -  ;          -8.52 ;
  10 ;      ; VARM ;  14 ;  -  ;  -  ;         -99.48 ;
  10 ;      ; VARM ;  15 ;  -  ;  -  ;         -53.32 ;
  10 ;      ; VARM ;  16 ;  -  ;  -  ;         -12.09 ;
  10 ;      ; VARM ;  24 ;  -  ;  -  ;        -155.20 ;
  10 ;      ; VARM ;  25 ;  -  ;  -  ;        -185.69 ;
  10 ;      ; VARM ;  26 ;  -  ;  -  ;        -128.56 ;
