***********************************************************************
*                                                                     *
*            CEPEL - CENTRO DE PESQUISAS DE ENERGIA ELETRICA          *
*  MODELO DESSEM     - VERSAO 19.0.14.1.3 - Marco de 2021 (CPLEX) (ACADEMICA)        *
*                                                                     *
***********************************************************************


   PROGRAMA LICENCIADO PARA CEMEAI                                                                                                                                                


____________________________________________________________________

  te  caso exemplo - sistema reduzido                                            - Data do Caso: 06/01/2017                                                       
____________________________________________________________________



Resultados Relativos as Usinas Termicas:

----;-------;----;-------------;----;----;-----------;-----------;-----------;------------;-----;-----------;
IPER;  Pat  ;USIT;     Nome    ;Unid;Sist;  Geracao  ;    GMin   ;    GMax   ; Capacidade ; L/D ;CustoLinear;
    ;       ;    ;             ;    ;    ;     MW    ;     MW    ;     MW    ;      MW    ;     ;   $/(MWh) ;
----;-------;----;-------------;----;----;-----------;-----------;-----------;------------;-----;-----------;
 16 ;MEDIA  ; 50 ;PIRAT.12 G   ;  1 ; S1 ;    200.00 ;      0.00 ;    200.00 ;     200.00 ;  L  ;    205.34 ;
 16 ;MEDIA  ; 50 ;PIRAT.12 G   ; 99 ; S1 ;    200.00 ;      0.00 ;    200.00 ;     200.00 ;  -  ;           ;
 16 ;MEDIA  ;  4 ;ST.CRUZ 34   ;  1 ; S2 ;    220.00 ;      0.00 ;    220.00 ;     220.00 ;  L  ;    210.41 ;
 16 ;MEDIA  ;  4 ;ST.CRUZ 34   ; 99 ; S2 ;    220.00 ;      0.00 ;    220.00 ;     220.00 ;  -  ;           ;
 17 ;MEDIA  ;  1 ;ANGRA 1      ;  1 ; S1 ;      0.00 ;      0.00 ;    657.00 ;     657.00 ;  L  ;    370.00 ;
 17 ;MEDIA  ;  1 ;ANGRA 1      ; 99 ; S1 ;      0.00 ;      0.00 ;    657.00 ;     657.00 ;  -  ;           ;
 17 ;MEDIA  ;  2 ;IGARAPE      ;  1 ; S1 ;      0.00 ;      0.00 ;    131.00 ;     131.00 ;  L  ;    253.43 ;
 17 ;MEDIA  ;  2 ;IGARAPE      ; 99 ; S1 ;      0.00 ;      0.00 ;    131.00 ;     131.00 ;  -  ;           ;
 17 ;MEDIA  ;  3 ;ST.CRUZ 12   ;  1 ; S1 ;     84.00 ;      0.00 ;     84.00 ;      84.00 ;  L  ;    210.00 ;
 17 ;MEDIA  ;  3 ;ST.CRUZ 12   ; 99 ; S1 ;     84.00 ;      0.00 ;     84.00 ;      84.00 ;  -  ;           ;
 17 ;MEDIA  ; 50 ;PIRAT.12 G   ;  1 ; S1 ;    200.00 ;      0.00 ;    200.00 ;     200.00 ;  L  ;    205.34 ;
 17 ;MEDIA  ; 50 ;PIRAT.12 G   ; 99 ; S1 ;    200.00 ;      0.00 ;    200.00 ;     200.00 ;  -  ;           ;
 17 ;MEDIA  ;  4 ;ST.CRUZ 34   ;  1 ; S2 ;    220.00 ;      0.00 ;    220.00 ;     220.00 ;  L  ;    210.41 ;
 17 ;MEDIA  ;  4 ;ST.CRUZ 34   ; 99 ; S2 ;    220.00 ;      0.00 ;    220.00 ;     220.00 ;  -  ;           ;
 18 ;MEDIA  ;  1 ;ANGRA 1      ;  1 ; S1 ;      0.00 ;      0.00 ;    657.00 ;     657.00 ;  L  ;    370.00 ;
 18 ;MEDIA  ;  1 ;ANGRA 1      ; 99 ; S1 ;      0.00 ;      0.00 ;    657.00 ;     657.00 ;  -  ;           ;
 18 ;MEDIA  ;  2 ;IGARAPE      ;  1 ; S1 ;      0.00 ;      0.00 ;    131.00 ;     131.00 ;  L  ;    253.43 ;
 18 ;MEDIA  ;  2 ;IGARAPE      ; 99 ; S1 ;      0.00 ;      0.00 ;    131.00 ;     131.00 ;  -  ;           ;
 18 ;MEDIA  ;  3 ;ST.CRUZ 12   ;  1 ; S1 ;     84.00 ;      0.00 ;     84.00 ;      84.00 ;  L  ;    210.00 ;
 18 ;MEDIA  ;  3 ;ST.CRUZ 12   ; 99 ; S1 ;     84.00 ;      0.00 ;     84.00 ;      84.00 ;  -  ;           ;
 18 ;MEDIA  ; 50 ;PIRAT.12 G   ;  1 ; S1 ;    200.00 ;      0.00 ;    200.00 ;     200.00 ;  L  ;    205.34 ;
 18 ;MEDIA  ; 50 ;PIRAT.12 G   ; 99 ; S1 ;    200.00 ;      0.00 ;    200.00 ;     200.00 ;  -  ;           ;
 18 ;MEDIA  ;  4 ;ST.CRUZ 34   ;  1 ; S2 ;    220.00 ;      0.00 ;    220.00 ;     220.00 ;  L  ;    210.41 ;
 18 ;MEDIA  ;  4 ;ST.CRUZ 34   ; 99 ; S2 ;    220.00 ;      0.00 ;    220.00 ;     220.00 ;  -  ;           ;
 19 ;MEDIA  ;  1 ;ANGRA 1      ;  1 ; S1 ;      0.00 ;      0.00 ;    657.00 ;     657.00 ;  L  ;    370.00 ;
 19 ;MEDIA  ;  1 ;ANGRA 1      ; 99 ; S1 ;      0.00 ;      0.00 ;    657.00 ;     657.00 ;  -  ;           ;
 19 ;MEDIA  ;  2 ;IGARAPE      ;  1 ; S1 ;      0.00 ;      0.00 ;    131.00 ;     131.00 ;  L  ;    253.43 ;
 19 ;MEDIA  ;  2 ;IGARAPE      ; 99 ; S1 ;      0.00 ;      0.00 ;    131.00 ;     131.00 ;  -  ;           ;
 19 ;MEDIA  ;  3 ;ST.CRUZ 12   ;  1 ; S1 ;     84.00 ;      0.00 ;     84.00 ;      84.00 ;  L  ;    210.00 ;
 19 ;MEDIA  ;  3 ;ST.CRUZ 12   ; 99 ; S1 ;     84.00 ;      0.00 ;     84.00 ;      84.00 ;  -  ;           ;
 19 ;MEDIA  ; 50 ;PIRAT.12 G   ;  1 ; S1 ;    200.00 ;      0.00 ;    200.00 ;     200.00 ;  L  ;    205.34 ;
 19 ;MEDIA  ; 50 ;PIRAT.12 G   ; 99 ; S1 ;    200.00 ;      0.00 ;    200.00 ;     200.00 ;  -  ;           ;
 19 ;MEDIA  ;  4 ;ST.CRUZ 34   ;  1 ; S2 ;    220.00 ;      0.00 ;    220.00 ;     220.00 ;  L  ;    210.41 ;
 19 ;MEDIA  ;  4 ;ST.CRUZ 34   ; 99 ; S2 ;    220.00 ;      0.00 ;    220.00 ;     220.00 ;  -  ;           ;
 20 ;MEDIA  ;  1 ;ANGRA 1      ;  1 ; S1 ;      0.00 ;      0.00 ;    657.00 ;     657.00 ;  L  ;    370.00 ;
 20 ;MEDIA  ;  1 ;ANGRA 1      ; 99 ; S1 ;      0.00 ;      0.00 ;    657.00 ;     657.00 ;  -  ;           ;
 20 ;MEDIA  ;  2 ;IGARAPE      ;  1 ; S1 ;      0.00 ;      0.00 ;    131.00 ;     131.00 ;  L  ;    253.43 ;
 20 ;MEDIA  ;  2 ;IGARAPE      ; 99 ; S1 ;      0.00 ;      0.00 ;    131.00 ;     131.00 ;  -  ;           ;
 20 ;MEDIA  ;  3 ;ST.CRUZ 12   ;  1 ; S1 ;     84.00 ;      0.00 ;     84.00 ;      84.00 ;  L  ;    210.00 ;
 20 ;MEDIA  ;  3 ;ST.CRUZ 12   ; 99 ; S1 ;     84.00 ;      0.00 ;     84.00 ;      84.00 ;  -  ;           ;
 20 ;MEDIA  ; 50 ;PIRAT.12 G   ;  1 ; S1 ;    200.00 ;      0.00 ;    200.00 ;     200.00 ;  L  ;    205.34 ;
 20 ;MEDIA  ; 50 ;PIRAT.12 G   ; 99 ; S1 ;    200.00 ;      0.00 ;    200.00 ;     200.00 ;  -  ;           ;
 20 ;MEDIA  ;  4 ;ST.CRUZ 34   ;  1 ; S2 ;    220.00 ;      0.00 ;    220.00 ;     220.00 ;  L  ;    210.41 ;
 20 ;MEDIA  ;  4 ;ST.CRUZ 34   ; 99 ; S2 ;    220.00 ;      0.00 ;    220.00 ;     220.00 ;  -  ;           ;
 21 ;PESADA ;  1 ;ANGRA 1      ;  1 ; S1 ;    500.00 ;      0.00 ;    657.00 ;     657.00 ;  L  ;    370.00 ;
 21 ;PESADA ;  1 ;ANGRA 1      ; 99 ; S1 ;    500.00 ;      0.00 ;    657.00 ;     657.00 ;  -  ;           ;
 21 ;PESADA ;  2 ;IGARAPE      ;  1 ; S1 ;    131.00 ;      0.00 ;    131.00 ;     131.00 ;  L  ;    253.43 ;
 21 ;PESADA ;  2 ;IGARAPE      ; 99 ; S1 ;    131.00 ;      0.00 ;    131.00 ;     131.00 ;  -  ;           ;
 21 ;PESADA ;  3 ;ST.CRUZ 12   ;  1 ; S1 ;     84.00 ;      0.00 ;     84.00 ;      84.00 ;  L  ;    210.00 ;
 21 ;PESADA ;  3 ;ST.CRUZ 12   ; 99 ; S1 ;     84.00 ;      0.00 ;     84.00 ;      84.00 ;  -  ;           ;
 21 ;PESADA ; 50 ;PIRAT.12 G   ;  1 ; S1 ;    200.00 ;      0.00 ;    200.00 ;     200.00 ;  L  ;    205.34 ;
 21 ;PESADA ; 50 ;PIRAT.12 G   ; 99 ; S1 ;    200.00 ;      0.00 ;    200.00 ;     200.00 ;  -  ;           ;
 21 ;PESADA ;  4 ;ST.CRUZ 34   ;  1 ; S2 ;    220.00 ;      0.00 ;    220.00 ;     220.00 ;  L  ;    210.41 ;
 21 ;PESADA ;  4 ;ST.CRUZ 34   ; 99 ; S2 ;    220.00 ;      0.00 ;    220.00 ;     220.00 ;  -  ;           ;
 22 ;MEDIA  ;  1 ;ANGRA 1      ;  1 ; S1 ;    500.00 ;      0.00 ;    657.00 ;     657.00 ;  L  ;    370.00 ;
 22 ;MEDIA  ;  1 ;ANGRA 1      ; 99 ; S1 ;    500.00 ;      0.00 ;    657.00 ;     657.00 ;  -  ;           ;
 22 ;MEDIA  ;  2 ;IGARAPE      ;  1 ; S1 ;    131.00 ;      0.00 ;    131.00 ;     131.00 ;  L  ;    253.43 ;
 22 ;MEDIA  ;  2 ;IGARAPE      ; 99 ; S1 ;    131.00 ;      0.00 ;    131.00 ;     131.00 ;  -  ;           ;
 22 ;MEDIA  ;  3 ;ST.CRUZ 12   ;  1 ; S1 ;     84.00 ;      0.00 ;     84.00 ;      84.00 ;  L  ;    210.00 ;
 22 ;MEDIA  ;  3 ;ST.CRUZ 12   ; 99 ; S1 ;     84.00 ;      0.00 ;     84.00 ;      84.00 ;  -  ;           ;
 22 ;MEDIA  ; 50 ;PIRAT.12 G   ;  1 ; S1 ;    200.00 ;      0.00 ;    200.00 ;     200.00 ;  L  ;    205.34 ;
 22 ;MEDIA  ; 50 ;PIRAT.12 G   ; 99 ; S1 ;    200.00 ;      0.00 ;    200.00 ;     200.00 ;  -  ;           ;
 22 ;MEDIA  ;  4 ;ST.CRUZ 34   ;  1 ; S2 ;    220.00 ;      0.00 ;    220.00 ;     220.00 ;  L  ;    210.41 ;
 22 ;MEDIA  ;  4 ;ST.CRUZ 34   ; 99 ; S2 ;    220.00 ;      0.00 ;    220.00 ;     220.00 ;  -  ;           ;
 23 ;MEDIA  ;  1 ;ANGRA 1      ;  1 ; S1 ;    500.00 ;      0.00 ;    657.00 ;     657.00 ;  L  ;    370.00 ;
 23 ;MEDIA  ;  1 ;ANGRA 1      ; 99 ; S1 ;    500.00 ;      0.00 ;    657.00 ;     657.00 ;  -  ;           ;
 23 ;MEDIA  ;  2 ;IGARAPE      ;  1 ; S1 ;    131.00 ;      0.00 ;    131.00 ;     131.00 ;  L  ;    253.43 ;
 23 ;MEDIA  ;  2 ;IGARAPE      ; 99 ; S1 ;    131.00 ;      0.00 ;    131.00 ;     131.00 ;  -  ;           ;
 23 ;MEDIA  ;  3 ;ST.CRUZ 12   ;  1 ; S1 ;     84.00 ;      0.00 ;     84.00 ;      84.00 ;  L  ;    210.00 ;
 23 ;MEDIA  ;  3 ;ST.CRUZ 12   ; 99 ; S1 ;     84.00 ;      0.00 ;     84.00 ;      84.00 ;  -  ;           ;
 23 ;MEDIA  ; 50 ;PIRAT.12 G   ;  1 ; S1 ;    200.00 ;      0.00 ;    200.00 ;     200.00 ;  L  ;    205.34 ;
 23 ;MEDIA  ; 50 ;PIRAT.12 G   ; 99 ; S1 ;    200.00 ;      0.00 ;    200.00 ;     200.00 ;  -  ;           ;
 23 ;MEDIA  ;  4 ;ST.CRUZ 34   ;  1 ; S2 ;    220.00 ;      0.00 ;    220.00 ;     220.00 ;  L  ;    210.41 ;
 23 ;MEDIA  ;  4 ;ST.CRUZ 34   ; 99 ; S2 ;    220.00 ;      0.00 ;    220.00 ;     220.00 ;  -  ;           ;
 24 ;MEDIA  ;  1 ;ANGRA 1      ;  1 ; S1 ;    500.00 ;      0.00 ;    657.00 ;     657.00 ;  L  ;    370.00 ;
 24 ;MEDIA  ;  1 ;ANGRA 1      ; 99 ; S1 ;    500.00 ;      0.00 ;    657.00 ;     657.00 ;  -  ;           ;
 24 ;MEDIA  ;  2 ;IGARAPE      ;  1 ; S1 ;     50.00 ;      0.00 ;    131.00 ;     131.00 ;  L  ;    253.43 ;
 24 ;MEDIA  ;  2 ;IGARAPE      ; 99 ; S1 ;     50.00 ;      0.00 ;    131.00 ;     131.00 ;  -  ;           ;
 24 ;MEDIA  ;  3 ;ST.CRUZ 12   ;  1 ; S1 ;     84.00 ;      0.00 ;     84.00 ;      84.00 ;  L  ;    210.00 ;
 24 ;MEDIA  ;  3 ;ST.CRUZ 12   ; 99 ; S1 ;     84.00 ;      0.00 ;     84.00 ;      84.00 ;  -  ;           ;
 24 ;MEDIA  ; 50 ;PIRAT.12 G   ;  1 ; S1 ;    200.00 ;      0.00 ;    200.00 ;     200.00 ;  L  ;    205.34 ;
 24 ;MEDIA  ; 50 ;PIRAT.12 G   ; 99 ; S1 ;    200.00 ;      0.00 ;    200.00 ;     200.00 ;  -  ;           ;
 24 ;MEDIA  ;  4 ;ST.CRUZ 34   ;  1 ; S2 ;    220.00 ;      0.00 ;    220.00 ;     220.00 ;  L  ;    210.41 ;
 24 ;MEDIA  ;  4 ;ST.CRUZ 34   ; 99 ; S2 ;    220.00 ;      0.00 ;    220.00 ;     220.00 ;  -  ;           ;
