***********************************************************************
*                                                                     *
*            CEPEL - CENTRO DE PESQUISAS DE ENERGIA ELETRICA          *
*  MODELO DESSEM     - VERSAO 19.0.14.1.3 - Marco de 2021 (CPLEX) (ACADEMICA)        *
*                                                                     *
***********************************************************************


   PROGRAMA LICENCIADO PARA CEMEAI                                                                                                                                                


____________________________________________________________________

  te  caso exemplo - sistema reduzido                                            - Data do Caso: 06/01/2017                                                       
____________________________________________________________________



Resultados Relativos as Usinas Termicas:

----;-------;----;-------------;----;----;-----------;-----------;-----------;------------;-----;-----------;
IPER;  Pat  ;USIT;     Nome    ;Unid;Sist;  Geracao  ;    GMin   ;    GMax   ; Capacidade ; L/D ;CustoLinear;
    ;       ;    ;             ;    ;    ;     MW    ;     MW    ;     MW    ;      MW    ;     ;   $/(MWh) ;
----;-------;----;-------------;----;----;-----------;-----------;-----------;------------;-----;-----------;
  7 ;LEVE   ;  4 ;ST.CRUZ 34   ; 99 ; S2 ;    220.00 ;      0.00 ;    220.00 ;     220.00 ;  -  ;           ;
  8 ;LEVE   ;  1 ;ANGRA 1      ;  1 ; S1 ;    657.00 ;      0.00 ;    657.00 ;     657.00 ;  L  ;    200.00 ;
  8 ;LEVE   ;  1 ;ANGRA 1      ; 99 ; S1 ;    657.00 ;      0.00 ;    657.00 ;     657.00 ;  -  ;           ;
  8 ;LEVE   ;  2 ;IGARAPE      ;  1 ; S1 ;      0.00 ;      0.00 ;    131.00 ;     131.00 ;  L  ;    253.43 ;
  8 ;LEVE   ;  2 ;IGARAPE      ; 99 ; S1 ;      0.00 ;      0.00 ;    131.00 ;     131.00 ;  -  ;           ;
  8 ;LEVE   ;  3 ;ST.CRUZ 12   ;  1 ; S1 ;     84.00 ;      0.00 ;     84.00 ;      84.00 ;  L  ;    210.00 ;
  8 ;LEVE   ;  3 ;ST.CRUZ 12   ; 99 ; S1 ;     84.00 ;      0.00 ;     84.00 ;      84.00 ;  -  ;           ;
  8 ;LEVE   ; 50 ;PIRAT.12 G   ;  1 ; S1 ;    200.00 ;      0.00 ;    200.00 ;     200.00 ;  L  ;    205.34 ;
  8 ;LEVE   ; 50 ;PIRAT.12 G   ; 99 ; S1 ;    200.00 ;      0.00 ;    200.00 ;     200.00 ;  -  ;           ;
  8 ;LEVE   ;  4 ;ST.CRUZ 34   ;  1 ; S2 ;    220.00 ;      0.00 ;    220.00 ;     220.00 ;  L  ;    210.41 ;
  8 ;LEVE   ;  4 ;ST.CRUZ 34   ; 99 ; S2 ;    220.00 ;      0.00 ;    220.00 ;     220.00 ;  -  ;           ;
  9 ;MEDIA  ;  1 ;ANGRA 1      ;  1 ; S1 ;    657.00 ;      0.00 ;    657.00 ;     657.00 ;  L  ;    200.00 ;
  9 ;MEDIA  ;  1 ;ANGRA 1      ; 99 ; S1 ;    657.00 ;      0.00 ;    657.00 ;     657.00 ;  -  ;           ;
  9 ;MEDIA  ;  2 ;IGARAPE      ;  1 ; S1 ;      0.00 ;      0.00 ;    131.00 ;     131.00 ;  L  ;    253.43 ;
  9 ;MEDIA  ;  2 ;IGARAPE      ; 99 ; S1 ;      0.00 ;      0.00 ;    131.00 ;     131.00 ;  -  ;           ;
  9 ;MEDIA  ;  3 ;ST.CRUZ 12   ;  1 ; S1 ;     84.00 ;      0.00 ;     84.00 ;      84.00 ;  L  ;    210.00 ;
  9 ;MEDIA  ;  3 ;ST.CRUZ 12   ; 99 ; S1 ;     84.00 ;      0.00 ;     84.00 ;      84.00 ;  -  ;           ;
  9 ;MEDIA  ; 50 ;PIRAT.12 G   ;  1 ; S1 ;    200.00 ;      0.00 ;    200.00 ;     200.00 ;  L  ;    205.34 ;
  9 ;MEDIA  ; 50 ;PIRAT.12 G   ; 99 ; S1 ;    200.00 ;      0.00 ;    200.00 ;     200.00 ;  -  ;           ;
  9 ;MEDIA  ;  4 ;ST.CRUZ 34   ;  1 ; S2 ;    220.00 ;      0.00 ;    220.00 ;     220.00 ;  L  ;    210.41 ;
  9 ;MEDIA  ;  4 ;ST.CRUZ 34   ; 99 ; S2 ;    220.00 ;      0.00 ;    220.00 ;     220.00 ;  -  ;           ;
 10 ;MEDIA  ;  1 ;ANGRA 1      ;  1 ; S1 ;    657.00 ;      0.00 ;    657.00 ;     657.00 ;  L  ;    200.00 ;
 10 ;MEDIA  ;  1 ;ANGRA 1      ; 99 ; S1 ;    657.00 ;      0.00 ;    657.00 ;     657.00 ;  -  ;           ;
 10 ;MEDIA  ;  2 ;IGARAPE      ;  1 ; S1 ;      0.00 ;      0.00 ;    131.00 ;     131.00 ;  L  ;    253.43 ;
 10 ;MEDIA  ;  2 ;IGARAPE      ; 99 ; S1 ;      0.00 ;      0.00 ;    131.00 ;     131.00 ;  -  ;           ;
 10 ;MEDIA  ;  3 ;ST.CRUZ 12   ;  1 ; S1 ;     84.00 ;      0.00 ;     84.00 ;      84.00 ;  L  ;    210.00 ;
 10 ;MEDIA  ;  3 ;ST.CRUZ 12   ; 99 ; S1 ;     84.00 ;      0.00 ;     84.00 ;      84.00 ;  -  ;           ;
 10 ;MEDIA  ; 50 ;PIRAT.12 G   ;  1 ; S1 ;    200.00 ;      0.00 ;    200.00 ;     200.00 ;  L  ;    205.34 ;
 10 ;MEDIA  ; 50 ;PIRAT.12 G   ; 99 ; S1 ;    200.00 ;      0.00 ;    200.00 ;     200.00 ;  -  ;           ;
 10 ;MEDIA  ;  4 ;ST.CRUZ 34   ;  1 ; S2 ;    220.00 ;      0.00 ;    220.00 ;     220.00 ;  L  ;    210.41 ;
 10 ;MEDIA  ;  4 ;ST.CRUZ 34   ; 99 ; S2 ;    220.00 ;      0.00 ;    220.00 ;     220.00 ;  -  ;           ;
 11 ;MEDIA  ;  1 ;ANGRA 1      ;  1 ; S1 ;    657.00 ;      0.00 ;    657.00 ;     657.00 ;  L  ;    200.00 ;
 11 ;MEDIA  ;  1 ;ANGRA 1      ; 99 ; S1 ;    657.00 ;      0.00 ;    657.00 ;     657.00 ;  -  ;           ;
 11 ;MEDIA  ;  2 ;IGARAPE      ;  1 ; S1 ;      0.00 ;      0.00 ;    131.00 ;     131.00 ;  L  ;    253.43 ;
 11 ;MEDIA  ;  2 ;IGARAPE      ; 99 ; S1 ;      0.00 ;      0.00 ;    131.00 ;     131.00 ;  -  ;           ;
 11 ;MEDIA  ;  3 ;ST.CRUZ 12   ;  1 ; S1 ;     84.00 ;      0.00 ;     84.00 ;      84.00 ;  L  ;    210.00 ;
