***********************************************************************
*                                                                     *
*            CEPEL - CENTRO DE PESQUISAS DE ENERGIA ELETRICA          *
*  MODELO DESSEM     - VERSAO 19.0.14.1.3 - Marco de 2021 (CPLEX) (ACADEMICA)        *
*                                                                     *
***********************************************************************


   PROGRAMA LICENCIADO PARA CEMEAI                                                                                                                                                


____________________________________________________________________

  te  caso exemplo - sistema reduzido                                            - Data do Caso: 06/01/2017                                                       
____________________________________________________________________


  
Relatorio das violacoes na rede. 
  
----;----;----;----;----;-;-----;--------;-------------;----------;-------------;---;---------;----------;----------;----------;----------;
    ;    ;    ;    ;    ; ;     ;  num   ;   nome      ;          ;             ;   ;LInf (MW); LSup(MW) ;          ;          ;          ;
    ;IPER;    ;    ;REST;V;-----;--------;-------------;----------;-------------;---;---------;--------- ;  Fluxo   ;       Desvio        ;
    ;    ;    ;    ;    ; ;TpCir;Barra de;   nome      ;Barra para;   nome      ;cir;    -    ; Capac(MW);   (MW)   ;    (MW)  ;    %     ;
----;----;----;----;----;-;-----;--------;-------------;----------;-------------;---;---------;----------;----------;----------;----------;
    ;  12;    ;    ;CIRC; ; MLH ;    15  ;    BARRA15  ;      16  ;    BARRA16  ; 1 ;     -   ;  400.000 ;  400.000 ;    0.000 ;     0.00 ;
    ;  12;    ;    ;CIRC; ; MLH ;    15  ;    BARRA15  ;      21  ;    BARRA21  ; 1 ;     -   ;  400.000 ; -182.953 ;  217.047 ;    54.26 ;
    ;  12;    ;    ;CIRC; ; MLH ;    15  ;    BARRA15  ;      21  ;    BARRA21  ; 2 ;     -   ;  400.000 ; -182.953 ;  217.047 ;    54.26 ;
    ;  12;    ;    ;CIRC; ; MLH ;    16  ;    BARRA16  ;      17  ;    BARRA17  ; 1 ;     -   ;  400.000 ; -380.346 ;   19.654 ;     4.91 ;
    ;  12;    ;    ;CIRC; ; MLH ;    16  ;    BARRA16  ;      19  ;    BARRA19  ; 1 ;     -   ;  400.000 ;  400.000 ;    0.000 ;     0.00 ;
    ;  12;    ;    ;CIRC; ; MLH ;    17  ;    BARRA17  ;      22  ;    BARRA22  ; 1 ;     -   ;  400.000 ; -221.912 ;  178.088 ;    44.52 ;
    ;  12;    ;    ;CIRC; ; MLH ;    21  ;    BARRA21  ;      22  ;    BARRA22  ; 1 ;     -   ;  400.000 ; -255.658 ;  144.342 ;    36.09 ;
    ;  13;    ;    ;CIRC; ; MLH ;    15  ;    BARRA15  ;      16  ;    BARRA16  ; 1 ;     -   ;  400.000 ;  397.663 ;    2.337 ;     0.58 ;
    ;  13;    ;    ;CIRC; ; MLH ;    16  ;    BARRA16  ;      17  ;    BARRA17  ; 1 ;     -   ;  400.000 ; -320.998 ;   79.002 ;    19.75 ;
    ;  13;    ;    ;CIRC; ; MLH ;    16  ;    BARRA16  ;      19  ;    BARRA19  ; 1 ;     -   ;  400.000 ;  400.000 ;    0.000 ;     0.00 ;
    ;  14;    ;    ;CIRC; ; MLH ;    14  ;    BARRA14  ;      16  ;    BARRA16  ; 1 ;     -   ;  400.000 ; -357.563 ;   42.437 ;    10.61 ;
    ;  14;    ;    ;CIRC; ; MLH ;    15  ;    BARRA15  ;      16  ;    BARRA16  ; 1 ;     -   ;  400.000 ;  400.000 ;    0.000 ;     0.00 ;
    ;  14;    ;    ;CIRC; ; MLH ;    16  ;    BARRA16  ;      17  ;    BARRA17  ; 1 ;     -   ;  400.000 ; -400.000 ;    0.000 ;     0.00 ;
    ;  14;    ;    ;CIRC; ; MLH ;    16  ;    BARRA16  ;      19  ;    BARRA19  ; 1 ;     -   ;  400.000 ;  400.000 ;    0.000 ;     0.00 ;
    ;  14;    ;    ;CIRC; ; MLH ;    21  ;    BARRA21  ;      22  ;    BARRA22  ; 1 ;     -   ;  400.000 ; -220.030 ;  179.970 ;    44.99 ;
    ;  15;    ;    ;CIRC; ; MLH ;    14  ;    BARRA14  ;      16  ;    BARRA16  ; 1 ;     -   ;  400.000 ; -340.219 ;   59.781 ;    14.95 ;
    ;  15;    ;    ;CIRC; ; MLH ;    15  ;    BARRA15  ;      16  ;    BARRA16  ; 1 ;     -   ;  400.000 ;  400.000 ;    0.000 ;     0.00 ;
    ;  15;    ;    ;CIRC; ; MLH ;    16  ;    BARRA16  ;      17  ;    BARRA17  ; 1 ;     -   ;  400.000 ; -400.000 ;    0.000 ;     0.00 ;
    ;  15;    ;    ;CIRC; ; MLH ;    16  ;    BARRA16  ;      19  ;    BARRA19  ; 1 ;     -   ;  400.000 ;  400.000 ;    0.000 ;     0.00 ;
    ;  15;    ;    ;CIRC; ; MLH ;    21  ;    BARRA21  ;      22  ;    BARRA22  ; 1 ;     -   ;  400.000 ; -214.269 ;  185.731 ;    46.43 ;
    ;  16;    ;    ;CIRC; ; MLH ;    14  ;    BARRA14  ;      16  ;    BARRA16  ; 1 ;     -   ;  400.000 ; -374.447 ;   25.553 ;     6.39 ;
    ;  16;    ;    ;CIRC; ; MLH ;    15  ;    BARRA15  ;      16  ;    BARRA16  ; 1 ;     -   ;  400.000 ;  400.000 ;    0.000 ;     0.00 ;
    ;  16;    ;    ;CIRC; ; MLH ;    16  ;    BARRA16  ;      17  ;    BARRA17  ; 1 ;     -   ;  400.000 ; -400.000 ;    0.000 ;     0.00 ;
    ;  16;    ;    ;CIRC; ; MLH ;    16  ;    BARRA16  ;      19  ;    BARRA19  ; 1 ;     -   ;  400.000 ;  400.000 ;    0.000 ;     0.00 ;
    ;  16;    ;    ;CIRC; ; MLH ;    21  ;    BARRA21  ;      22  ;    BARRA22  ; 1 ;     -   ;  400.000 ; -224.923 ;  175.077 ;    43.77 ;
    ;  17;    ;    ;CIRC; ; MLH ;    14  ;    BARRA14  ;      16  ;    BARRA16  ; 1 ;     -   ;  400.000 ; -393.605 ;    6.395 ;     1.60 ;
    ;  17;    ;    ;CIRC; ; MLH ;    15  ;    BARRA15  ;      16  ;    BARRA16  ; 1 ;     -   ;  400.000 ;  400.000 ;    0.000 ;     0.00 ;
    ;  17;    ;    ;CIRC; ; MLH ;    16  ;    BARRA16  ;      17  ;    BARRA17  ; 1 ;     -   ;  400.000 ; -400.000 ;    0.000 ;     0.00 ;
    ;  17;    ;    ;CIRC; ; MLH ;    16  ;    BARRA16  ;      19  ;    BARRA19  ; 1 ;     -   ;  400.000 ;  400.000 ;    0.000 ;     0.00 ;
    ;  17;    ;    ;CIRC; ; MLH ;    21  ;    BARRA21  ;      22  ;    BARRA22  ; 1 ;     -   ;  400.000 ; -230.248 ;  169.752 ;    42.44 ;
    ;  18;    ;    ;CIRC; ; MLH ;    14  ;    BARRA14  ;      16  ;    BARRA16  ; 1 ;     -   ;  400.000 ; -400.000 ;    0.000 ;     0.00 ;
    ;  18;    ;    ;CIRC; ; MLH ;    15  ;    BARRA15  ;      16  ;    BARRA16  ; 1 ;     -   ;  400.000 ;  400.000 ;    0.000 ;     0.00 ;
    ;  18;    ;    ;CIRC; ; MLH ;    16  ;    BARRA16  ;      17  ;    BARRA17  ; 1 ;     -   ;  400.000 ; -400.000 ;    0.000 ;     0.00 ;
    ;  18;    ;    ;CIRC; ; MLH ;    16  ;    BARRA16  ;      19  ;    BARRA19  ; 1 ;     -   ;  400.000 ;  400.000 ;    0.000 ;     0.00 ;
    ;  18;    ;    ;CIRC; ; MLH ;    21  ;    BARRA21  ;      22  ;    BARRA22  ; 1 ;     -   ;  400.000 ; -228.537 ;  171.463 ;    42.87 ;
    ;  19;    ;    ;CIRC; ; MLH ;    14  ;    BARRA14  ;      16  ;    BARRA16  ; 1 ;     -   ;  400.000 ; -400.000 ;    0.000 ;     0.00 ;
    ;  19;    ;    ;CIRC; ; MLH ;    15  ;    BARRA15  ;      16  ;    BARRA16  ; 1 ;     -   ;  400.000 ;  400.000 ;    0.000 ;     0.00 ;
    ;  19;    ;    ;CIRC; ; MLH ;    16  ;    BARRA16  ;      17  ;    BARRA17  ; 1 ;     -   ;  400.000 ; -392.011 ;    7.989 ;     2.00 ;
    ;  19;    ;    ;CIRC; ; MLH ;    16  ;    BARRA16  ;      19  ;    BARRA19  ; 1 ;     -   ;  400.000 ;  328.632 ;   71.368 ;    17.84 ;
    ;  19;    ;    ;CIRC; ; MLH ;    17  ;    BARRA17  ;      22  ;    BARRA22  ; 1 ;     -   ;  400.000 ; -206.364 ;  193.636 ;    48.41 ;
