***********************************************************************
*                                                                     *
*            CEPEL - CENTRO DE PESQUISAS DE ENERGIA ELETRICA          *
*  MODELO DESSEM     - VERSAO 19.0.14.1.3 - Marco de 2021 (CPLEX) (ACADEMICA)        *
*                                                                     *
***********************************************************************


   PROGRAMA LICENCIADO PARA CEMEAI                                                                                                                                                


____________________________________________________________________

  te  caso exemplo - sistema reduzido                                            - Data do Caso: 06/01/2017                                                       
____________________________________________________________________


  
Memoria de calculo do CMO das barras - participacao nas restricoes de limites de fluxo
  
-----------------;-----------------;-----------------;-----------------;-----------------;-----------------;-----------------;-----------------;-----------------;-----------------;-----------------;
      IPER       ;      NUM        ;      SIST       ;     BARRA DE    ;    BARRA PARA   ;     CIRCUITO    ;  SOM. PI LINHA  ;     PARCELA     ;      FATOR      ;    LBD. FLUX    ;     SENTIDO     ;
-----------------;-----------------;-----------------;-----------------;-----------------;-----------------;-----------------;-----------------;-----------------;-----------------;-----------------;
        22       ;          1      ;       S1        ;         16      ;         17      ;          1      ;    -16144.17064 ;     16144.17064 ;        -0.02894 ;   -557908.99793 ;       -1        ;
        22       ;          2      ;       S1        ;         16      ;         17      ;          1      ;    -15405.56264 ;     15405.56264 ;        -0.02761 ;   -557908.99793 ;       -1        ;
        22       ;          3      ;       S1        ;         16      ;         17      ;          1      ;    -39472.48020 ;     39472.48020 ;        -0.07075 ;   -557908.99793 ;       -1        ;
        22       ;          4      ;       S1        ;         16      ;         17      ;          1      ;    -13272.44206 ;     13272.44206 ;        -0.02379 ;   -557908.99793 ;       -1        ;
        22       ;          5      ;       S1        ;         16      ;         17      ;          1      ;    -11300.73672 ;     11300.73672 ;        -0.02026 ;   -557908.99793 ;       -1        ;
        22       ;          6      ;       S1        ;         16      ;         17      ;          1      ;     -8435.71850 ;      8435.71850 ;        -0.01512 ;   -557908.99793 ;       -1        ;
        22       ;          7      ;       S1        ;         16      ;         17      ;          1      ;     -8883.02048 ;      8883.02048 ;        -0.01592 ;   -557908.99793 ;       -1        ;
        22       ;          8      ;       S1        ;         16      ;         17      ;          1      ;     -8883.02048 ;      8883.02048 ;        -0.01592 ;   -557908.99793 ;       -1        ;
        22       ;          9      ;       S1        ;         16      ;         17      ;          1      ;    -11526.54938 ;     11526.54938 ;        -0.02066 ;   -557908.99793 ;       -1        ;
        22       ;         10      ;       S1        ;         16      ;         17      ;          1      ;     -6239.49157 ;      6239.49157 ;        -0.01118 ;   -557908.99793 ;       -1        ;
        22       ;         11      ;       S1        ;         16      ;         17      ;          1      ;      -562.80919 ;       562.80919 ;        -0.00101 ;   -557908.99793 ;       -1        ;
        22       ;         12      ;       S1        ;         16      ;         17      ;          1      ;     -2718.07438 ;      2718.07438 ;        -0.00487 ;   -557908.99793 ;       -1        ;
        22       ;         13      ;       S1        ;         16      ;         17      ;          1      ;         0.00000 ;         0.00000 ;         0.00000 ;   -557908.99793 ;       -1        ;
        22       ;         14      ;       S2        ;         16      ;         17      ;          1      ;      7233.42005 ;     -7233.42005 ;         0.01297 ;   -557908.99793 ;       -1        ;
        22       ;         15      ;       S2        ;         16      ;         17      ;          1      ;    -86363.64523 ;     86363.64523 ;        -0.15480 ;   -557908.99793 ;       -1        ;
