***********************************************************************
*                                                                     *
*            CEPEL - CENTRO DE PESQUISAS DE ENERGIA ELETRICA          *
*  MODELO DESSEM     - VERSAO 19.0.14.1.3 - Marco de 2021 (CPLEX) (ACADEMICA)        *
*                                                                     *
***********************************************************************


   PROGRAMA LICENCIADO PARA CEMEAI                                                                                                                                                


____________________________________________________________________

  te  caso exemplo - sistema reduzido                                            - Data do Caso: 06/01/2017                                                       
____________________________________________________________________


  
Memoria de calculo do CMO das barras - calculo final.
  
-----------------;-----------------;-----------------;-----------------;-----------------;-----------------;-----------------;-----------------;
       IPER      ;       NUM       ;      SIST       ;       CMO       ;  PI SUBMERCADO  ; SOM. PI LINHA   ; SOM. PI SOM.FLUX;     PI ILHA     ;
-----------------;-----------------;-----------------;-----------------;-----------------;-----------------;-----------------;-----------------;
         8       ;          1      ;       S1        ;       219.97260 ;       219.97260 ;         0.00000 ;         0.00000 ;         0.00000 ;
         8       ;          2      ;       S1        ;       219.97260 ;       219.97260 ;         0.00000 ;         0.00000 ;         0.00000 ;
         8       ;          3      ;       S1        ;       219.97260 ;       219.97260 ;         0.00000 ;         0.00000 ;         0.00000 ;
         8       ;          4      ;       S1        ;       219.97260 ;       219.97260 ;         0.00000 ;         0.00000 ;         0.00000 ;
         8       ;          5      ;       S1        ;       219.97260 ;       219.97260 ;         0.00000 ;         0.00000 ;         0.00000 ;
         8       ;          6      ;       S1        ;       219.97260 ;       219.97260 ;         0.00000 ;         0.00000 ;         0.00000 ;
         8       ;          7      ;       S1        ;       219.97260 ;       219.97260 ;         0.00000 ;         0.00000 ;         0.00000 ;
         8       ;          8      ;       S1        ;       219.97260 ;       219.97260 ;         0.00000 ;         0.00000 ;         0.00000 ;
         8       ;          9      ;       S1        ;       219.97260 ;       219.97260 ;         0.00000 ;         0.00000 ;         0.00000 ;
         8       ;         10      ;       S1        ;       219.97260 ;       219.97260 ;         0.00000 ;         0.00000 ;         0.00000 ;
         8       ;         11      ;       S1        ;       219.97260 ;       219.97260 ;         0.00000 ;         0.00000 ;         0.00000 ;
         8       ;         12      ;       S1        ;       219.97260 ;       219.97260 ;         0.00000 ;         0.00000 ;         0.00000 ;
         8       ;         13      ;       S1        ;       219.97260 ;       219.97260 ;         0.00000 ;         0.00000 ;         0.00000 ;
         8       ;         14      ;       S2        ;       219.97240 ;       219.97240 ;         0.00000 ;         0.00000 ;         0.00000 ;
         8       ;         15      ;       S2        ;       219.97240 ;       219.97240 ;         0.00000 ;         0.00000 ;         0.00000 ;
         8       ;         16      ;       S2        ;       219.97240 ;       219.97240 ;         0.00000 ;         0.00000 ;         0.00000 ;
         8       ;         17      ;       S2        ;       219.97240 ;       219.97240 ;         0.00000 ;         0.00000 ;         0.00000 ;
         8       ;         18      ;       S2        ;       219.97240 ;       219.97240 ;         0.00000 ;         0.00000 ;         0.00000 ;
         8       ;         19      ;       S2        ;       219.97240 ;       219.97240 ;         0.00000 ;         0.00000 ;         0.00000 ;
         8       ;         20      ;       S2        ;       219.97240 ;       219.97240 ;         0.00000 ;         0.00000 ;         0.00000 ;
         8       ;         21      ;       S2        ;       219.97240 ;       219.97240 ;         0.00000 ;         0.00000 ;         0.00000 ;
         8       ;         22      ;       S2        ;       219.97240 ;       219.97240 ;         0.00000 ;         0.00000 ;         0.00000 ;
         8       ;         23      ;       S2        ;       219.97240 ;       219.97240 ;         0.00000 ;         0.00000 ;         0.00000 ;
         8       ;         24      ;       S2        ;       219.97240 ;       219.97240 ;         0.00000 ;         0.00000 ;         0.00000 ;
