***********************************************************************
*                                                                     *
*            CEPEL - CENTRO DE PESQUISAS DE ENERGIA ELETRICA          *
*  MODELO DESSEM     - VERSAO 19.0.14.1.3 - Marco de 2021 (CPLEX) (ACADEMICA)        *
*                                                                     *
***********************************************************************


   PROGRAMA LICENCIADO PARA CEMEAI                                                                                                                                                


____________________________________________________________________

  te  caso exemplo - sistema reduzido                                            - Data do Caso: 06/01/2017                                                       
____________________________________________________________________


  
Geraco das barras                                                                                   
  
-;----;-------;------;-------;---;--------------;----------;---------;----------;-----------;-----------;------------;------;------;
 ;    ;       ;      ;       ;   ;              ; Geracao  ;  Carga  ;    Liq   ;   Gmax    ;Max.trans  ;     CMO    ;      ;      ;
 ;IPER;  Pat  ; Ind  ; BAR   ;NV ;    Nome      ;  (MW)    ;   (MW)  ;   (MW)   ;   (MW)    ;    (MW)   ;  (R$/MWh)  ; Sist ; Area ;
-;----;-------;------;-------;---;--------------;----------;---------;----------;-----------;-----------;------------;------;------,
 ;  6 ;LEVE   ;    6 ;  0006 ; G ;     BARRA06  ;    -     ;  185.20 ;   -185.20;     0.000 ;   600.000 ;     225.70 ;  S1  ;    1 ;
 ;  6 ;LEVE   ;    7 ;  0007 ; G ;     BARRA07  ;   250.00 ;  170.20 ;     79.80;     0.000 ;   300.000 ;     225.67 ;  S1  ;    1 ;
 ;  6 ;LEVE   ;    8 ;  0008 ; G ;     BARRA08  ;    -     ;  232.90 ;   -232.90;     0.000 ;   900.000 ;     225.67 ;  S1  ;    1 ;
 ;  6 ;LEVE   ;    9 ;  0009 ; G ;     BARRA09  ;    -     ;  238.40 ;   -238.40;     0.000 ;  1500.000 ;     225.50 ;  S1  ;    1 ;
 ;  6 ;LEVE   ;   10 ;  0010 ; G ;     BARRA10  ;    -     ;  265.60 ;   -265.60;     0.000 ;  1500.000 ;     225.85 ;  S1  ;    1 ;
 ;  6 ;LEVE   ;   11 ;  0011 ; G ;     BARRA11  ;    -     ;   -     ;      0.00;     0.000 ;  1200.000 ;     225.96 ;  S1  ;    1 ;
 ;  6 ;LEVE   ;   12 ;  0012 ; G ;     BARRA12  ;    -     ;   -     ;      0.00;     0.000 ;  1200.000 ;     226.36 ;  S1  ;    1 ;
*;  6 ;LEVE   ;   13 ;  0013 ; G ;     BARRA13  ;   837.27 ;  360.90 ;    476.37;  1477.000 ;   900.000 ;     226.49 ;  S1  ;    1 ;
 ;  6 ;LEVE   ;   14 ;  0014 ; G ;     BARRA14  ;   220.00 ;  516.60 ;   -296.60;   220.000 ;   600.000 ;     225.77 ;  S2  ;    2 ;
*;  6 ;LEVE   ;   15 ;  0015 ; G ;     BARRA15  ;   809.08 ;  844.30 ;    -35.22;  1293.000 ;  1200.000 ;     220.49 ;  S2  ;    2 ;
 ;  6 ;LEVE   ;   16 ;  0016 ; G ;     BARRA16  ;   119.90 ;  266.30 ;   -146.40;  1192.000 ;  1200.000 ;     225.60 ;  S2  ;    2 ;
 ;  6 ;LEVE   ;   17 ;  0017 ; G ;     BARRA17  ;    -     ;   -     ;      0.00;     0.000 ;   900.000 ;     219.78 ;  S2  ;    2 ;
*;  6 ;LEVE   ;   18 ;  0018 ; G ;     BARRA18  ;   756.70 ;  886.90 ;   -130.20;  2082.000 ;   900.000 ;     219.96 ;  S2  ;    2 ;
 ;  6 ;LEVE   ;   19 ;  0019 ; G ;     BARRA19  ;    -     ;  482.20 ;   -482.20;     0.000 ;   900.000 ;     228.53 ;  S2  ;    2 ;
 ;  6 ;LEVE   ;   20 ;  0020 ; G ;     BARRA20  ;    -     ;  340.80 ;   -340.80;     0.000 ;  1200.000 ;     227.98 ;  S2  ;    2 ;
 ;  6 ;LEVE   ;   21 ;  0021 ; G ;     BARRA21  ;   400.00 ;   -     ;    400.00;     0.000 ;  1500.000 ;     220.13 ;  S2  ;    2 ;
*;  6 ;LEVE   ;   22 ;  0022 ; G ;     BARRA22  ;   351.44 ;   -     ;    351.44;  1513.000 ;   600.000 ;     219.99 ;  S2  ;    2 ;
 ;  6 ;LEVE   ;   23 ;  0023 ; G ;     BARRA23  ;   420.28 ;   -     ;    420.28;   855.000 ;  1200.000 ;     227.68 ;  S2  ;    2 ;
 ;  6 ;LEVE   ;   24 ;  0024 ; G ;     BARRA24  ;    -     ;   -     ;      0.00;     0.000 ;   600.000 ;     221.69 ;  S2  ;    2 ;
*;  7 ;LEVE   ;    1 ;  0001 ; G ;     BARRA01  ;   728.63 ;  147.10 ;    581.53;  1969.000 ;   900.000 ;     225.19 ;  S1  ;    1 ;
 ;  7 ;LEVE   ;    2 ;  0002 ; G ;     BARRA02  ;   377.53 ;  132.10 ;    245.43;   562.000 ;   900.000 ;     225.24 ;  S1  ;    1 ;
 ;  7 ;LEVE   ;    3 ;  0003 ; G ;     BARRA03  ;   200.00 ;  245.10 ;    -45.10;   200.000 ;   900.000 ;     223.63 ;  S1  ;    1 ;
 ;  7 ;LEVE   ;    4 ;  0004 ; G ;     BARRA04  ;     0.00 ;  100.80 ;   -100.80;    80.400 ;   600.000 ;     225.38 ;  S1  ;    1 ;
 ;  7 ;LEVE   ;    5 ;  0005 ; G ;     BARRA05  ;    41.30 ;   96.70 ;    -55.40;   108.800 ;   600.000 ;     225.51 ;  S1  ;    1 ;
 ;  7 ;LEVE   ;    6 ;  0006 ; G ;     BARRA06  ;    -     ;  185.20 ;   -185.20;     0.000 ;   600.000 ;     225.70 ;  S1  ;    1 ;
 ;  7 ;LEVE   ;    7 ;  0007 ; G ;     BARRA07  ;   250.00 ;  170.20 ;     79.80;     0.000 ;   300.000 ;     225.67 ;  S1  ;    1 ;
 ;  7 ;LEVE   ;    8 ;  0008 ; G ;     BARRA08  ;    -     ;  232.90 ;   -232.90;     0.000 ;   900.000 ;     225.67 ;  S1  ;    1 ;
 ;  7 ;LEVE   ;    9 ;  0009 ; G ;     BARRA09  ;    -     ;  238.40 ;   -238.40;     0.000 ;  1500.000 ;     225.50 ;  S1  ;    1 ;
 ;  7 ;LEVE   ;   10 ;  0010 ; G ;     BARRA10  ;    -     ;  265.60 ;   -265.60;     0.000 ;  1500.000 ;     225.85 ;  S1  ;    1 ;
 ;  7 ;LEVE   ;   11 ;  0011 ; G ;     BARRA11  ;    -     ;   -     ;      0.00;     0.000 ;  1200.000 ;     225.96 ;  S1  ;    1 ;
 ;  7 ;LEVE   ;   12 ;  0012 ; G ;     BARRA12  ;    -     ;   -     ;      0.00;     0.000 ;  1200.000 ;     226.36 ;  S1  ;    1 ;
*;  7 ;LEVE   ;   13 ;  0013 ; G ;     BARRA13  ;   837.27 ;  360.90 ;    476.37;  1477.000 ;   900.000 ;     226.49 ;  S1  ;    1 ;
 ;  7 ;LEVE   ;   14 ;  0014 ; G ;     BARRA14  ;   220.00 ;  516.60 ;   -296.60;   220.000 ;   600.000 ;     225.77 ;  S2  ;    2 ;
*;  7 ;LEVE   ;   15 ;  0015 ; G ;     BARRA15  ;   809.08 ;  844.30 ;    -35.22;  1293.000 ;  1200.000 ;     220.49 ;  S2  ;    2 ;
 ;  7 ;LEVE   ;   16 ;  0016 ; G ;     BARRA16  ;   119.89 ;  266.30 ;   -146.41;  1192.000 ;  1200.000 ;     225.60 ;  S2  ;    2 ;
 ;  7 ;LEVE   ;   17 ;  0017 ; G ;     BARRA17  ;    -     ;   -     ;      0.00;     0.000 ;   900.000 ;     219.78 ;  S2  ;    2 ;
*;  7 ;LEVE   ;   18 ;  0018 ; G ;     BARRA18  ;   756.70 ;  886.90 ;   -130.20;  2082.000 ;   900.000 ;     219.96 ;  S2  ;    2 ;
 ;  7 ;LEVE   ;   19 ;  0019 ; G ;     BARRA19  ;    -     ;  482.20 ;   -482.20;     0.000 ;   900.000 ;     228.53 ;  S2  ;    2 ;
 ;  7 ;LEVE   ;   20 ;  0020 ; G ;     BARRA20  ;    -     ;  340.80 ;   -340.80;     0.000 ;  1200.000 ;     227.98 ;  S2  ;    2 ;
 ;  7 ;LEVE   ;   21 ;  0021 ; G ;     BARRA21  ;   400.00 ;   -     ;    400.00;     0.000 ;  1500.000 ;     220.13 ;  S2  ;    2 ;
*;  7 ;LEVE   ;   22 ;  0022 ; G ;     BARRA22  ;   351.44 ;   -     ;    351.44;  1513.000 ;   600.000 ;     219.99 ;  S2  ;    2 ;
 ;  7 ;LEVE   ;   23 ;  0023 ; G ;     BARRA23  ;   420.27 ;   -     ;    420.27;   855.000 ;  1200.000 ;     227.68 ;  S2  ;    2 ;
 ;  7 ;LEVE   ;   24 ;  0024 ; G ;     BARRA24  ;    -     ;   -     ;      0.00;     0.000 ;   600.000 ;     221.69 ;  S2  ;    2 ;
*;  8 ;LEVE   ;    1 ;  0001 ; G ;     BARRA01  ;   728.65 ;  128.32 ;    600.33;  1969.000 ;  1200.000 ;     219.97 ;  S1  ;    1 ;
 ;  8 ;LEVE   ;    2 ;  0002 ; G ;     BARRA02  ;   377.53 ;  115.26 ;    262.27;   562.000 ;  1200.000 ;     219.97 ;  S1  ;    1 ;
 ;  8 ;LEVE   ;    3 ;  0003 ; G ;     BARRA03  ;   200.00 ;  213.93 ;    -13.93;   200.000 ;  1200.000 ;     219.97 ;  S1  ;    1 ;
 ;  8 ;LEVE   ;    4 ;  0004 ; G ;     BARRA04  ;     0.00 ;   87.92 ;    -87.92;    80.400 ;   800.000 ;     219.97 ;  S1  ;    1 ;
 ;  8 ;LEVE   ;    5 ;  0005 ; G ;     BARRA05  ;    41.30 ;   84.39 ;    -43.09;   108.800 ;   800.000 ;     219.97 ;  S1  ;    1 ;
 ;  8 ;LEVE   ;    6 ;  0006 ; G ;     BARRA06  ;    -     ;  161.64 ;   -161.64;     0.000 ;   800.000 ;     219.97 ;  S1  ;    1 ;
 ;  8 ;LEVE   ;    7 ;  0007 ; G ;     BARRA07  ;   250.00 ;  148.58 ;    101.42;     0.000 ;   400.000 ;     219.97 ;  S1  ;    1 ;
 ;  8 ;LEVE   ;    8 ;  0008 ; G ;     BARRA08  ;    -     ;  203.18 ;   -203.18;     0.000 ;  1200.000 ;     219.97 ;  S1  ;    1 ;
 ;  8 ;LEVE   ;    9 ;  0009 ; G ;     BARRA09  ;    -     ;  207.94 ;   -207.94;     0.000 ;  2000.000 ;     219.97 ;  S1  ;    1 ;
 ;  8 ;LEVE   ;   10 ;  0010 ; G ;     BARRA10  ;    -     ;  231.74 ;   -231.74;     0.000 ;  2000.000 ;     219.97 ;  S1  ;    1 ;
 ;  8 ;LEVE   ;   11 ;  0011 ; G ;     BARRA11  ;    -     ;   -     ;      0.00;     0.000 ;  1600.000 ;     219.97 ;  S1  ;    1 ;
 ;  8 ;LEVE   ;   12 ;  0012 ; G ;     BARRA12  ;    -     ;   -     ;      0.00;     0.000 ;  1600.000 ;     219.97 ;  S1  ;    1 ;
*;  8 ;LEVE   ;   13 ;  0013 ; G ;     BARRA13  ;   837.27 ;  304.26 ;    533.01;  1477.000 ;  1200.000 ;     219.97 ;  S1  ;    2 ;
 ;  8 ;LEVE   ;   14 ;  0014 ; G ;     BARRA14  ;   220.00 ;  456.94 ;   -236.94;   220.000 ;   800.000 ;     219.97 ;  S2  ;    2 ;
 ;  8 ;LEVE   ;   15 ;  0015 ; G ;     BARRA15  ;   129.77 ;  746.35 ;   -616.59;  1293.000 ;  1600.000 ;     219.97 ;  S2  ;    2 ;
 ;  8 ;LEVE   ;   16 ;  0016 ; G ;     BARRA16  ;    55.38 ;  235.53 ;   -180.15;  1192.000 ;  1600.000 ;     219.97 ;  S2  ;    2 ;
 ;  8 ;LEVE   ;   17 ;  0017 ; G ;     BARRA17  ;    -     ;   -     ;      0.00;     0.000 ;  1200.000 ;     219.97 ;  S2  ;    2 ;
*;  8 ;LEVE   ;   18 ;  0018 ; G ;     BARRA18  ;   887.71 ;  784.46 ;    103.25;  2082.000 ;  1200.000 ;     219.97 ;  S2  ;    2 ;
 ;  8 ;LEVE   ;   19 ;  0019 ; G ;     BARRA19  ;    -     ;  426.33 ;   -426.33;     0.000 ;  1200.000 ;     219.97 ;  S2  ;    2 ;
 ;  8 ;LEVE   ;   20 ;  0020 ; G ;     BARRA20  ;    -     ;  301.50 ;   -301.50;     0.000 ;  1600.000 ;     219.97 ;  S2  ;    2 ;
 ;  8 ;LEVE   ;   21 ;  0021 ; G ;     BARRA21  ;   400.00 ;   -     ;    400.00;     0.000 ;  2000.000 ;     219.97 ;  S2  ;    2 ;
*;  8 ;LEVE   ;   22 ;  0022 ; G ;     BARRA22  ;   710.67 ;   -     ;    710.67;  1513.000 ;   800.000 ;     219.97 ;  S2  ;    2 ;
 ;  8 ;LEVE   ;   23 ;  0023 ; G ;     BARRA23  ;     0.00 ;   -     ;      0.00;   855.000 ;  1600.000 ;     219.97 ;  S2  ;    2 ;
 ;  8 ;LEVE   ;   24 ;  0024 ; G ;     BARRA24  ;    -     ;   -     ;      0.00;     0.000 ;   800.000 ;     219.97 ;  S2  ;    2 ;
*;  9 ;MEDIA  ;    1 ;  0001 ; G ;     BARRA01  ;   728.67 ;  133.60 ;    595.07;  1969.000 ;  1200.000 ;     219.97 ;  S1  ;    1 ;
 ;  9 ;MEDIA  ;    2 ;  0002 ; G ;     BARRA02  ;   377.53 ;  120.01 ;    257.52;   562.000 ;  1200.000 ;     219.97 ;  S1  ;    1 ;
 ;  9 ;MEDIA  ;    3 ;  0003 ; G ;     BARRA03  ;   200.00 ;  222.74 ;    -22.74;   200.000 ;  1200.000 ;     219.97 ;  S1  ;    1 ;
 ;  9 ;MEDIA  ;    4 ;  0004 ; G ;     BARRA04  ;     0.00 ;   91.54 ;    -91.54;    80.400 ;   800.000 ;     219.97 ;  S1  ;    1 ;
 ;  9 ;MEDIA  ;    5 ;  0005 ; G ;     BARRA05  ;    41.30 ;   87.86 ;    -46.56;   108.800 ;   800.000 ;     219.97 ;  S1  ;    1 ;
 ;  9 ;MEDIA  ;    6 ;  0006 ; G ;     BARRA06  ;    -     ;  168.29 ;   -168.29;     0.000 ;   800.000 ;     219.97 ;  S1  ;    1 ;
 ;  9 ;MEDIA  ;    7 ;  0007 ; G ;     BARRA07  ;   250.00 ;  154.70 ;     95.30;     0.000 ;   400.000 ;     219.97 ;  S1  ;    1 ;
 ;  9 ;MEDIA  ;    8 ;  0008 ; G ;     BARRA08  ;    -     ;  211.55 ;   -211.55;     0.000 ;  1200.000 ;     219.97 ;  S1  ;    1 ;
 ;  9 ;MEDIA  ;    9 ;  0009 ; G ;     BARRA09  ;    -     ;  216.51 ;   -216.51;     0.000 ;  2000.000 ;     219.97 ;  S1  ;    1 ;
 ;  9 ;MEDIA  ;   10 ;  0010 ; G ;     BARRA10  ;    -     ;  241.29 ;   -241.29;     0.000 ;  2000.000 ;     219.97 ;  S1  ;    1 ;
 ;  9 ;MEDIA  ;   11 ;  0011 ; G ;     BARRA11  ;    -     ;   -     ;      0.00;     0.000 ;  1600.000 ;     219.97 ;  S1  ;    1 ;
 ;  9 ;MEDIA  ;   12 ;  0012 ; G ;     BARRA12  ;    -     ;   -     ;      0.00;     0.000 ;  1600.000 ;     219.97 ;  S1  ;    1 ;
*;  9 ;MEDIA  ;   13 ;  0013 ; G ;     BARRA13  ;   837.27 ;  282.95 ;    554.31;  1477.000 ;  1200.000 ;     219.97 ;  S1  ;    2 ;
 ;  9 ;MEDIA  ;   14 ;  0014 ; G ;     BARRA14  ;   220.00 ;  424.95 ;   -204.95;   220.000 ;   800.000 ;     219.97 ;  S2  ;    2 ;
 ;  9 ;MEDIA  ;   15 ;  0015 ; G ;     BARRA15  ;   129.98 ;  694.10 ;   -564.11;  1293.000 ;  1600.000 ;     219.97 ;  S2  ;    2 ;
 ;  9 ;MEDIA  ;   16 ;  0016 ; G ;     BARRA16  ;    55.38 ;  219.04 ;   -163.66;  1192.000 ;  1600.000 ;     219.97 ;  S2  ;    2 ;
 ;  9 ;MEDIA  ;   17 ;  0017 ; G ;     BARRA17  ;    -     ;   -     ;      0.00;     0.000 ;  1200.000 ;     219.97 ;  S2  ;    2 ;
*;  9 ;MEDIA  ;   18 ;  0018 ; G ;     BARRA18  ;   771.05 ;  729.53 ;     41.51;  2082.000 ;  1200.000 ;     219.97 ;  S2  ;    2 ;
 ;  9 ;MEDIA  ;   19 ;  0019 ; G ;     BARRA19  ;    -     ;  396.48 ;   -396.48;     0.000 ;  1200.000 ;     219.97 ;  S2  ;    2 ;
 ;  9 ;MEDIA  ;   20 ;  0020 ; G ;     BARRA20  ;    -     ;  280.39 ;   -280.39;     0.000 ;  1600.000 ;     219.97 ;  S2  ;    2 ;
 ;  9 ;MEDIA  ;   21 ;  0021 ; G ;     BARRA21  ;   400.00 ;   -     ;    400.00;     0.000 ;  2000.000 ;     219.97 ;  S2  ;    2 ;
*;  9 ;MEDIA  ;   22 ;  0022 ; G ;     BARRA22  ;   664.35 ;   -     ;    664.35;  1513.000 ;   800.000 ;     219.97 ;  S2  ;    2 ;
 ;  9 ;MEDIA  ;   23 ;  0023 ; G ;     BARRA23  ;     0.00 ;   -     ;      0.00;   855.000 ;  1600.000 ;     219.97 ;  S2  ;    2 ;
 ;  9 ;MEDIA  ;   24 ;  0024 ; G ;     BARRA24  ;    -     ;   -     ;      0.00;     0.000 ;   800.000 ;     219.97 ;  S2  ;    2 ;
*; 10 ;MEDIA  ;    1 ;  0001 ; G ;     BARRA01  ;   728.70 ;  139.64 ;    589.06;  1969.000 ;  1200.000 ;     220.66 ;  S1  ;    1 ;
 ; 10 ;MEDIA  ;    2 ;  0002 ; G ;     BARRA02  ;   377.53 ;  125.43 ;    252.10;   562.000 ;  1200.000 ;     220.66 ;  S1  ;    1 ;
 ; 10 ;MEDIA  ;    3 ;  0003 ; G ;     BARRA03  ;   200.00 ;  232.80 ;    -32.80;   200.000 ;  1200.000 ;     220.60 ;  S1  ;    1 ;
 ; 10 ;MEDIA  ;    4 ;  0004 ; G ;     BARRA04  ;     0.00 ;   95.68 ;    -95.68;    80.400 ;   800.000 ;     220.66 ;  S1  ;    1 ;
 ; 10 ;MEDIA  ;    5 ;  0005 ; G ;     BARRA05  ;    41.30 ;   91.83 ;    -50.53;   108.800 ;   800.000 ;     220.67 ;  S1  ;    1 ;
 ; 10 ;MEDIA  ;    6 ;  0006 ; G ;     BARRA06  ;    -     ;  175.90 ;   -175.90;     0.000 ;   800.000 ;     220.67 ;  S1  ;    1 ;
 ; 10 ;MEDIA  ;    7 ;  0007 ; G ;     BARRA07  ;   250.00 ;  161.69 ;     88.31;     0.000 ;   400.000 ;     220.67 ;  S1  ;    1 ;
 ; 10 ;MEDIA  ;    8 ;  0008 ; G ;     BARRA08  ;    -     ;  221.11 ;   -221.11;     0.000 ;  1200.000 ;     220.67 ;  S1  ;    1 ;
 ; 10 ;MEDIA  ;    9 ;  0009 ; G ;     BARRA09  ;    -     ;  226.29 ;   -226.29;     0.000 ;  2000.000 ;     220.67 ;  S1  ;    1 ;
 ; 10 ;MEDIA  ;   10 ;  0010 ; G ;     BARRA10  ;    -     ;  252.19 ;   -252.19;     0.000 ;  2000.000 ;     220.68 ;  S1  ;    1 ;
 ; 10 ;MEDIA  ;   11 ;  0011 ; G ;     BARRA11  ;    -     ;   -     ;      0.00;     0.000 ;  1600.000 ;     220.69 ;  S1  ;    1 ;
 ; 10 ;MEDIA  ;   12 ;  0012 ; G ;     BARRA12  ;    -     ;   -     ;      0.00;     0.000 ;  1600.000 ;     220.69 ;  S1  ;    1 ;
*; 10 ;MEDIA  ;   13 ;  0013 ; G ;     BARRA13  ;   837.27 ;  326.02 ;    511.24;  1477.000 ;  1200.000 ;     220.69 ;  S1  ;    2 ;
 ; 10 ;MEDIA  ;   14 ;  0014 ; G ;     BARRA14  ;   220.00 ;  489.63 ;   -269.63;   220.000 ;   800.000 ;     220.71 ;  S2  ;    2 ;
 ; 10 ;MEDIA  ;   15 ;  0015 ; G ;     BARRA15  ;   471.83 ;  799.74 ;   -327.91;  1293.000 ;  1600.000 ;     220.49 ;  S2  ;    2 ;
 ; 10 ;MEDIA  ;   16 ;  0016 ; G ;     BARRA16  ;    55.38 ;  252.38 ;   -197.00;  1192.000 ;  1600.000 ;     220.73 ;  S2  ;    2 ;
 ; 10 ;MEDIA  ;   17 ;  0017 ; G ;     BARRA17  ;    -     ;   -     ;      0.00;     0.000 ;  1200.000 ;     219.78 ;  S2  ;    2 ;
*; 10 ;MEDIA  ;   18 ;  0018 ; G ;     BARRA18  ;   909.50 ;  840.58 ;     68.92;  2082.000 ;  1200.000 ;     219.96 ;  S2  ;    2 ;
 ; 10 ;MEDIA  ;   19 ;  0019 ; G ;     BARRA19  ;    -     ;  456.83 ;   -456.83;     0.000 ;  1200.000 ;     220.72 ;  S2  ;    2 ;
 ; 10 ;MEDIA  ;   20 ;  0020 ; G ;     BARRA20  ;    -     ;  323.07 ;   -323.07;     0.000 ;  1600.000 ;     220.71 ;  S2  ;    2 ;
 ; 10 ;MEDIA  ;   21 ;  0021 ; G ;     BARRA21  ;   400.00 ;   -     ;    400.00;     0.000 ;  2000.000 ;     220.13 ;  S2  ;    2 ;
*; 10 ;MEDIA  ;   22 ;  0022 ; G ;     BARRA22  ;   412.10 ;   -     ;    412.10;  1513.000 ;   800.000 ;     219.99 ;  S2  ;    2 ;
 ; 10 ;MEDIA  ;   23 ;  0023 ; G ;     BARRA23  ;   307.22 ;   -     ;    307.22;   855.000 ;  1600.000 ;     220.71 ;  S2  ;    2 ;
 ; 10 ;MEDIA  ;   24 ;  0024 ; G ;     BARRA24  ;    -     ;   -     ;      0.00;     0.000 ;   800.000 ;     220.53 ;  S2  ;    2 ;
*; 11 ;MEDIA  ;    1 ;  0001 ; G ;     BARRA01  ;   728.72 ;  135.86 ;    592.86;  1969.000 ;  1200.000 ;     219.97 ;  S1  ;    1 ;
 ; 11 ;MEDIA  ;    2 ;  0002 ; G ;     BARRA02  ;   377.53 ;  122.04 ;    255.49;   562.000 ;  1200.000 ;     219.97 ;  S1  ;    1 ;
 ; 11 ;MEDIA  ;    3 ;  0003 ; G ;     BARRA03  ;   200.00 ;  226.51 ;    -26.51;   200.000 ;  1200.000 ;     219.97 ;  S1  ;    1 ;
 ; 11 ;MEDIA  ;    4 ;  0004 ; G ;     BARRA04  ;     0.00 ;   93.10 ;    -93.10;    80.400 ;   800.000 ;     219.97 ;  S1  ;    1 ;
 ; 11 ;MEDIA  ;    5 ;  0005 ; G ;     BARRA05  ;    41.30 ;   89.35 ;    -48.05;   108.800 ;   800.000 ;     219.97 ;  S1  ;    1 ;
 ; 11 ;MEDIA  ;    6 ;  0006 ; G ;     BARRA06  ;    -     ;  171.14 ;   -171.14;     0.000 ;   800.000 ;     219.97 ;  S1  ;    1 ;
 ; 11 ;MEDIA  ;    7 ;  0007 ; G ;     BARRA07  ;   250.00 ;  157.32 ;     92.68;     0.000 ;   400.000 ;     219.97 ;  S1  ;    1 ;
 ; 11 ;MEDIA  ;    8 ;  0008 ; G ;     BARRA08  ;    -     ;  215.14 ;   -215.14;     0.000 ;  1200.000 ;     219.97 ;  S1  ;    1 ;
 ; 11 ;MEDIA  ;    9 ;  0009 ; G ;     BARRA09  ;    -     ;  220.18 ;   -220.18;     0.000 ;  2000.000 ;     219.97 ;  S1  ;    1 ;
 ; 11 ;MEDIA  ;   10 ;  0010 ; G ;     BARRA10  ;    -     ;  245.38 ;   -245.38;     0.000 ;  2000.000 ;     219.97 ;  S1  ;    1 ;
 ; 11 ;MEDIA  ;   11 ;  0011 ; G ;     BARRA11  ;    -     ;   -     ;      0.00;     0.000 ;  1600.000 ;     219.97 ;  S1  ;    1 ;
 ; 11 ;MEDIA  ;   12 ;  0012 ; G ;     BARRA12  ;    -     ;   -     ;      0.00;     0.000 ;  1600.000 ;     219.97 ;  S1  ;    1 ;
*; 11 ;MEDIA  ;   13 ;  0013 ; G ;     BARRA13  ;   837.27 ;  316.76 ;    520.51;  1477.000 ;  1200.000 ;     219.97 ;  S1  ;    2 ;
 ; 11 ;MEDIA  ;   14 ;  0014 ; G ;     BARRA14  ;   220.00 ;  475.72 ;   -255.72;   220.000 ;   800.000 ;     219.97 ;  S2  ;    2 ;
 ; 11 ;MEDIA  ;   15 ;  0015 ; G ;     BARRA15  ;   130.41 ;  777.02 ;   -646.61;  1293.000 ;  1600.000 ;     219.97 ;  S2  ;    2 ;
 ; 11 ;MEDIA  ;   16 ;  0016 ; G ;     BARRA16  ;    55.38 ;  245.21 ;   -189.83;  1192.000 ;  1600.000 ;     219.97 ;  S2  ;    2 ;
 ; 11 ;MEDIA  ;   17 ;  0017 ; G ;     BARRA17  ;    -     ;   -     ;      0.00;     0.000 ;  1200.000 ;     219.97 ;  S2  ;    2 ;
*; 11 ;MEDIA  ;   18 ;  0018 ; G ;     BARRA18  ;  1049.61 ;  816.70 ;    232.91;  2082.000 ;  1200.000 ;     219.97 ;  S2  ;    2 ;
 ; 11 ;MEDIA  ;   19 ;  0019 ; G ;     BARRA19  ;    -     ;  443.85 ;   -443.85;     0.000 ;  1200.000 ;     219.97 ;  S2  ;    2 ;
 ; 11 ;MEDIA  ;   20 ;  0020 ; G ;     BARRA20  ;    -     ;  313.89 ;   -313.89;     0.000 ;  1600.000 ;     219.97 ;  S2  ;    2 ;
 ; 11 ;MEDIA  ;   21 ;  0021 ; G ;     BARRA21  ;   400.00 ;   -     ;    400.00;     0.000 ;  2000.000 ;     219.97 ;  S2  ;    2 ;
*; 11 ;MEDIA  ;   22 ;  0022 ; G ;     BARRA22  ;   467.73 ;   -     ;    467.73;  1513.000 ;   800.000 ;     219.97 ;  S2  ;    2 ;
 ; 11 ;MEDIA  ;   23 ;  0023 ; G ;     BARRA23  ;   307.22 ;   -     ;    307.22;   855.000 ;  1600.000 ;     219.97 ;  S2  ;    2 ;
 ; 11 ;MEDIA  ;   24 ;  0024 ; G ;     BARRA24  ;    -     ;   -     ;      0.00;     0.000 ;   800.000 ;     219.97 ;  S2  ;    2 ;
*; 12 ;MEDIA  ;    1 ;  0001 ; G ;     BARRA01  ;   753.91 ;  188.70 ;    565.21;  1969.000 ;  1200.000 ;     256.77 ;  S1  ;    1 ;
 ; 12 ;MEDIA  ;    2 ;  0002 ; G ;     BARRA02  ;   387.97 ;  169.50 ;    218.47;   562.000 ;  1200.000 ;     257.07 ;  S1  ;    1 ;
 ; 12 ;MEDIA  ;    3 ;  0003 ; G ;     BARRA03  ;   200.00 ;  314.60 ;   -114.60;   200.000 ;  1200.000 ;     247.08 ;  S1  ;    1 ;
 ; 12 ;MEDIA  ;    4 ;  0004 ; G ;     BARRA04  ;    73.97 ;  129.30 ;    -55.33;    80.400 ;   800.000 ;     257.96 ;  S1  ;    1 ;
 ; 12 ;MEDIA  ;    5 ;  0005 ; G ;     BARRA05  ;   103.78 ;  124.10 ;    -20.32;   108.800 ;   800.000 ;     258.78 ;  S1  ;    1 ;
 ; 12 ;MEDIA  ;    6 ;  0006 ; G ;     BARRA06  ;    -     ;  237.70 ;   -237.70;     0.000 ;   800.000 ;     259.97 ;  S1  ;    1 ;
 ; 12 ;MEDIA  ;    7 ;  0007 ; G ;     BARRA07  ;   250.00 ;  218.50 ;     31.50;     0.000 ;   400.000 ;     259.78 ;  S1  ;    1 ;
 ; 12 ;MEDIA  ;    8 ;  0008 ; G ;     BARRA08  ;    -     ;  298.80 ;   -298.80;     0.000 ;  1200.000 ;     259.78 ;  S1  ;    1 ;
 ; 12 ;MEDIA  ;    9 ;  0009 ; G ;     BARRA09  ;    -     ;  305.80 ;   -305.80;     0.000 ;  2000.000 ;     258.68 ;  S1  ;    1 ;
 ; 12 ;MEDIA  ;   10 ;  0010 ; G ;     BARRA10  ;    -     ;  340.80 ;   -340.80;     0.000 ;  2000.000 ;     260.88 ;  S1  ;    1 ;
