***********************************************************************
*                                                                     *
*            CEPEL - CENTRO DE PESQUISAS DE ENERGIA ELETRICA          *
*  MODELO DESSEM     - VERSAO 19.0.14.1.3 - Marco de 2021 (CPLEX) (ACADEMICA)        *
*                                                                     *
***********************************************************************


   PROGRAMA LICENCIADO PARA CEMEAI                                                                                                                                                


____________________________________________________________________

  te  caso exemplo - sistema reduzido                                            - Data do Caso: 06/01/2017                                                       
____________________________________________________________________


  
Geraco das barras                                                                                   
  
-;----;-------;------;-------;---;--------------;----------;---------;----------;-----------;-----------;------------;------;------;
 ;    ;       ;      ;       ;   ;              ; Geracao  ;  Carga  ;    Liq   ;   Gmax    ;Max.trans  ;     CMO    ;      ;      ;
 ;IPER;  Pat  ; Ind  ; BAR   ;NV ;    Nome      ;  (MW)    ;   (MW)  ;   (MW)   ;   (MW)    ;    (MW)   ;  (R$/MWh)  ; Sist ; Area ;
-;----;-------;------;-------;---;--------------;----------;---------;----------;-----------;-----------;------------;------;------,
 ;  2 ;LEVE   ;    7 ;  0007 ; G ;     BARRA07  ;   250.00 ;  154.37 ;     95.63;     0.000 ;   300.000 ;     220.67 ;  S1  ;    1 ;
 ;  2 ;LEVE   ;    8 ;  0008 ; G ;     BARRA08  ;    -     ;  211.24 ;   -211.24;     0.000 ;   900.000 ;     220.67 ;  S1  ;    1 ;
 ;  2 ;LEVE   ;    9 ;  0009 ; G ;     BARRA09  ;    -     ;  216.23 ;   -216.23;     0.000 ;  1500.000 ;     220.67 ;  S1  ;    1 ;
 ;  2 ;LEVE   ;   10 ;  0010 ; G ;     BARRA10  ;    -     ;  240.90 ;   -240.90;     0.000 ;  1500.000 ;     220.68 ;  S1  ;    1 ;
 ;  2 ;LEVE   ;   11 ;  0011 ; G ;     BARRA11  ;    -     ;   -     ;      0.00;     0.000 ;  1200.000 ;     220.69 ;  S1  ;    1 ;
 ;  2 ;LEVE   ;   12 ;  0012 ; G ;     BARRA12  ;    -     ;   -     ;      0.00;     0.000 ;  1200.000 ;     220.69 ;  S1  ;    1 ;
*;  2 ;LEVE   ;   13 ;  0013 ; G ;     BARRA13  ;   837.27 ;  327.34 ;    509.93;  1477.000 ;   900.000 ;     220.69 ;  S1  ;    1 ;
 ;  2 ;LEVE   ;   14 ;  0014 ; G ;     BARRA14  ;   220.00 ;  469.59 ;   -249.59;   220.000 ;   600.000 ;     220.71 ;  S2  ;    2 ;
*;  2 ;LEVE   ;   15 ;  0015 ; G ;     BARRA15  ;   506.92 ;  767.47 ;   -260.55;  1293.000 ;  1200.000 ;     220.49 ;  S2  ;    2 ;
 ;  2 ;LEVE   ;   16 ;  0016 ; G ;     BARRA16  ;    55.38 ;  242.07 ;   -186.68;  1192.000 ;  1200.000 ;     220.73 ;  S2  ;    2 ;
 ;  2 ;LEVE   ;   17 ;  0017 ; G ;     BARRA17  ;    -     ;   -     ;      0.00;     0.000 ;   900.000 ;     219.78 ;  S2  ;    2 ;
*;  2 ;LEVE   ;   18 ;  0018 ; G ;     BARRA18  ;   738.01 ;  806.19 ;    -68.18;  2082.000 ;   900.000 ;     219.96 ;  S2  ;    2 ;
 ;  2 ;LEVE   ;   19 ;  0019 ; G ;     BARRA19  ;    -     ;  438.32 ;   -438.32;     0.000 ;   900.000 ;     220.72 ;  S2  ;    2 ;
 ;  2 ;LEVE   ;   20 ;  0020 ; G ;     BARRA20  ;    -     ;  309.79 ;   -309.79;     0.000 ;  1200.000 ;     220.71 ;  S2  ;    2 ;
 ;  2 ;LEVE   ;   21 ;  0021 ; G ;     BARRA21  ;   400.00 ;   -     ;    400.00;     0.000 ;  1500.000 ;     220.13 ;  S2  ;    2 ;
*;  2 ;LEVE   ;   22 ;  0022 ; G ;     BARRA22  ;   344.02 ;   -     ;    344.02;  1513.000 ;   600.000 ;     219.99 ;  S2  ;    2 ;
 ;  2 ;LEVE   ;   23 ;  0023 ; G ;     BARRA23  ;   307.22 ;   -     ;    307.22;   855.000 ;  1200.000 ;     220.71 ;  S2  ;    2 ;
 ;  2 ;LEVE   ;   24 ;  0024 ; G ;     BARRA24  ;    -     ;   -     ;      0.00;     0.000 ;   600.000 ;     220.53 ;  S2  ;    2 ;
*;  3 ;LEVE   ;    1 ;  0001 ; G ;     BARRA01  ;   728.53 ;  121.50 ;    607.03;  1969.000 ;   900.000 ;     219.97 ;  S1  ;    1 ;
 ;  3 ;LEVE   ;    2 ;  0002 ; G ;     BARRA02  ;   377.53 ;  109.11 ;    268.41;   562.000 ;   900.000 ;     219.97 ;  S1  ;    1 ;
 ;  3 ;LEVE   ;    3 ;  0003 ; G ;     BARRA03  ;   200.00 ;  202.45 ;     -2.45;   200.000 ;   900.000 ;     219.97 ;  S1  ;    1 ;
 ;  3 ;LEVE   ;    4 ;  0004 ; G ;     BARRA04  ;     0.00 ;   83.26 ;    -83.26;    80.400 ;   600.000 ;     219.97 ;  S1  ;    1 ;
 ;  3 ;LEVE   ;    5 ;  0005 ; G ;     BARRA05  ;    41.30 ;   79.87 ;    -38.57;   108.800 ;   600.000 ;     219.97 ;  S1  ;    1 ;
 ;  3 ;LEVE   ;    6 ;  0006 ; G ;     BARRA06  ;    -     ;  152.98 ;   -152.98;     0.000 ;   600.000 ;     219.97 ;  S1  ;    1 ;
 ;  3 ;LEVE   ;    7 ;  0007 ; G ;     BARRA07  ;   250.00 ;  140.59 ;    109.41;     0.000 ;   300.000 ;     219.97 ;  S1  ;    1 ;
 ;  3 ;LEVE   ;    8 ;  0008 ; G ;     BARRA08  ;    -     ;  192.38 ;   -192.38;     0.000 ;   900.000 ;     219.97 ;  S1  ;    1 ;
 ;  3 ;LEVE   ;    9 ;  0009 ; G ;     BARRA09  ;    -     ;  196.92 ;   -196.92;     0.000 ;  1500.000 ;     219.97 ;  S1  ;    1 ;
 ;  3 ;LEVE   ;   10 ;  0010 ; G ;     BARRA10  ;    -     ;  219.39 ;   -219.39;     0.000 ;  1500.000 ;     219.97 ;  S1  ;    1 ;
 ;  3 ;LEVE   ;   11 ;  0011 ; G ;     BARRA11  ;    -     ;   -     ;      0.00;     0.000 ;  1200.000 ;     219.97 ;  S1  ;    1 ;
 ;  3 ;LEVE   ;   12 ;  0012 ; G ;     BARRA12  ;    -     ;   -     ;      0.00;     0.000 ;  1200.000 ;     219.97 ;  S1  ;    1 ;
*;  3 ;LEVE   ;   13 ;  0013 ; G ;     BARRA13  ;   837.27 ;  298.10 ;    539.16;  1477.000 ;   900.000 ;     219.97 ;  S1  ;    1 ;
 ;  3 ;LEVE   ;   14 ;  0014 ; G ;     BARRA14  ;   220.00 ;  426.19 ;   -206.19;   220.000 ;   600.000 ;     219.97 ;  S2  ;    2 ;
*;  3 ;LEVE   ;   15 ;  0015 ; G ;     BARRA15  ;   128.69 ;  696.55 ;   -567.86;  1293.000 ;  1200.000 ;     219.97 ;  S2  ;    2 ;
 ;  3 ;LEVE   ;   16 ;  0016 ; G ;     BARRA16  ;    55.38 ;  219.70 ;   -164.31;  1192.000 ;  1200.000 ;     219.97 ;  S2  ;    2 ;
 ;  3 ;LEVE   ;   17 ;  0017 ; G ;     BARRA17  ;    -     ;   -     ;      0.00;     0.000 ;   900.000 ;     219.97 ;  S2  ;    2 ;
*;  3 ;LEVE   ;   18 ;  0018 ; G ;     BARRA18  ;   681.98 ;  731.69 ;    -49.72;  2082.000 ;   900.000 ;     219.97 ;  S2  ;    2 ;
 ;  3 ;LEVE   ;   19 ;  0019 ; G ;     BARRA19  ;    -     ;  397.81 ;   -397.81;     0.000 ;   900.000 ;     219.97 ;  S2  ;    2 ;
 ;  3 ;LEVE   ;   20 ;  0020 ; G ;     BARRA20  ;    -     ;  281.16 ;   -281.16;     0.000 ;  1200.000 ;     219.97 ;  S2  ;    2 ;
 ;  3 ;LEVE   ;   21 ;  0021 ; G ;     BARRA21  ;   400.00 ;   -     ;    400.00;     0.000 ;  1500.000 ;     219.97 ;  S2  ;    2 ;
*;  3 ;LEVE   ;   22 ;  0022 ; G ;     BARRA22  ;   410.29 ;   -     ;    410.29;  1513.000 ;   600.000 ;     219.97 ;  S2  ;    2 ;
 ;  3 ;LEVE   ;   23 ;  0023 ; G ;     BARRA23  ;   218.70 ;   -     ;    218.70;   855.000 ;  1200.000 ;     219.97 ;  S2  ;    2 ;
 ;  3 ;LEVE   ;   24 ;  0024 ; G ;     BARRA24  ;    -     ;   -     ;      0.00;     0.000 ;   600.000 ;     219.97 ;  S2  ;    2 ;
*;  4 ;LEVE   ;    1 ;  0001 ; G ;     BARRA01  ;   728.55 ;  125.33 ;    603.22;  1969.000 ;   900.000 ;     219.97 ;  S1  ;    1 ;
 ;  4 ;LEVE   ;    2 ;  0002 ; G ;     BARRA02  ;   377.53 ;  112.55 ;    264.98;   562.000 ;   900.000 ;     219.97 ;  S1  ;    1 ;
 ;  4 ;LEVE   ;    3 ;  0003 ; G ;     BARRA03  ;   200.00 ;  208.83 ;     -8.83;   200.000 ;   900.000 ;     219.97 ;  S1  ;    1 ;
 ;  4 ;LEVE   ;    4 ;  0004 ; G ;     BARRA04  ;     0.00 ;   85.88 ;    -85.88;    80.400 ;   600.000 ;     219.97 ;  S1  ;    1 ;
 ;  4 ;LEVE   ;    5 ;  0005 ; G ;     BARRA05  ;    41.30 ;   82.39 ;    -41.09;   108.800 ;   600.000 ;     219.97 ;  S1  ;    1 ;
 ;  4 ;LEVE   ;    6 ;  0006 ; G ;     BARRA06  ;    -     ;  157.79 ;   -157.79;     0.000 ;   600.000 ;     219.97 ;  S1  ;    1 ;
 ;  4 ;LEVE   ;    7 ;  0007 ; G ;     BARRA07  ;   250.00 ;  145.01 ;    104.99;     0.000 ;   300.000 ;     219.97 ;  S1  ;    1 ;
 ;  4 ;LEVE   ;    8 ;  0008 ; G ;     BARRA08  ;    -     ;  198.43 ;   -198.43;     0.000 ;   900.000 ;     219.97 ;  S1  ;    1 ;
 ;  4 ;LEVE   ;    9 ;  0009 ; G ;     BARRA09  ;    -     ;  203.12 ;   -203.12;     0.000 ;  1500.000 ;     219.97 ;  S1  ;    1 ;
 ;  4 ;LEVE   ;   10 ;  0010 ; G ;     BARRA10  ;    -     ;  226.29 ;   -226.29;     0.000 ;  1500.000 ;     219.97 ;  S1  ;    1 ;
 ;  4 ;LEVE   ;   11 ;  0011 ; G ;     BARRA11  ;    -     ;   -     ;      0.00;     0.000 ;  1200.000 ;     219.97 ;  S1  ;    1 ;
 ;  4 ;LEVE   ;   12 ;  0012 ; G ;     BARRA12  ;    -     ;   -     ;      0.00;     0.000 ;  1200.000 ;     219.97 ;  S1  ;    1 ;
*;  4 ;LEVE   ;   13 ;  0013 ; G ;     BARRA13  ;   837.27 ;  307.49 ;    529.78;  1477.000 ;   900.000 ;     219.97 ;  S1  ;    1 ;
 ;  4 ;LEVE   ;   14 ;  0014 ; G ;     BARRA14  ;   220.00 ;  416.90 ;   -196.90;   220.000 ;   600.000 ;     219.97 ;  S2  ;    2 ;
*;  4 ;LEVE   ;   15 ;  0015 ; G ;     BARRA15  ;   128.90 ;  681.35 ;   -552.45;  1293.000 ;  1200.000 ;     219.97 ;  S2  ;    2 ;
 ;  4 ;LEVE   ;   16 ;  0016 ; G ;     BARRA16  ;    55.38 ;  214.90 ;   -159.52;  1192.000 ;  1200.000 ;     219.97 ;  S2  ;    2 ;
 ;  4 ;LEVE   ;   17 ;  0017 ; G ;     BARRA17  ;    -     ;   -     ;      0.00;     0.000 ;   900.000 ;     219.97 ;  S2  ;    2 ;
*;  4 ;LEVE   ;   18 ;  0018 ; G ;     BARRA18  ;   679.29 ;  715.73 ;    -36.44;  2082.000 ;   900.000 ;     219.97 ;  S2  ;    2 ;
 ;  4 ;LEVE   ;   19 ;  0019 ; G ;     BARRA19  ;    -     ;  389.14 ;   -389.14;     0.000 ;   900.000 ;     219.97 ;  S2  ;    2 ;
 ;  4 ;LEVE   ;   20 ;  0020 ; G ;     BARRA20  ;    -     ;  275.03 ;   -275.03;     0.000 ;  1200.000 ;     219.97 ;  S2  ;    2 ;
 ;  4 ;LEVE   ;   21 ;  0021 ; G ;     BARRA21  ;   400.00 ;   -     ;    400.00;     0.000 ;  1500.000 ;     219.97 ;  S2  ;    2 ;
*;  4 ;LEVE   ;   22 ;  0022 ; G ;     BARRA22  ;   320.70 ;   -     ;    320.70;  1513.000 ;   600.000 ;     219.97 ;  S2  ;    2 ;
 ;  4 ;LEVE   ;   23 ;  0023 ; G ;     BARRA23  ;   307.22 ;   -     ;    307.22;   855.000 ;  1200.000 ;     219.97 ;  S2  ;    2 ;
 ;  4 ;LEVE   ;   24 ;  0024 ; G ;     BARRA24  ;    -     ;   -     ;      0.00;     0.000 ;   600.000 ;     219.97 ;  S2  ;    2 ;
*;  5 ;LEVE   ;    1 ;  0001 ; G ;     BARRA01  ;   728.58 ;  118.42 ;    610.16;  1969.000 ;   900.000 ;     213.71 ;  S1  ;    1 ;
 ;  5 ;LEVE   ;    2 ;  0002 ; G ;     BARRA02  ;   377.53 ;  106.34 ;    271.19;   562.000 ;   900.000 ;     213.71 ;  S1  ;    1 ;
