***********************************************************************
*                                                                     *
*            CEPEL - CENTRO DE PESQUISAS DE ENERGIA ELETRICA          *
*  MODELO DESSEM     - VERSAO 19.0.14.1.3 - Marco de 2021 (CPLEX) (ACADEMICA)        *
*                                                                     *
***********************************************************************


   PROGRAMA LICENCIADO PARA CEMEAI                                                                                                                                                


____________________________________________________________________

  te  caso exemplo - sistema reduzido                                            - Data do Caso: 06/01/2017                                                       
____________________________________________________________________


  
Memoria de calculo do CMO das barras - calculo final.
  
-----------------;-----------------;-----------------;-----------------;-----------------;-----------------;-----------------;-----------------;
       IPER      ;       NUM       ;      SIST       ;       CMO       ;  PI SUBMERCADO  ; SOM. PI LINHA   ; SOM. PI SOM.FLUX;     PI ILHA     ;
-----------------;-----------------;-----------------;-----------------;-----------------;-----------------;-----------------;-----------------;
        22       ;          1      ;       S1        ;       256.69074 ;  18895040.09841 ; -18894783.40768 ;         0.00000 ;         0.00000 ;
        22       ;          2      ;       S1        ;  29544335.82357 ;  18895040.09841 ;  10649295.72516 ;         0.00000 ;         0.00000 ;
        22       ;          3      ;       S1        ;   6559582.07141 ;  18895040.09841 ; -12335458.02700 ;         0.00000 ;         0.00000 ;
        22       ;          4      ;       S1        ;  21847743.23282 ;  18895040.09841 ;   2952703.13440 ;         0.00000 ;         0.00000 ;
        22       ;          5      ;       S1        ;   7359603.86505 ;  18895040.09841 ; -11535436.23337 ;         0.00000 ;         0.00000 ;
        22       ;          6      ;       S1        ;  18522827.21542 ;  18895040.09841 ;   -372212.88300 ;         0.00000 ;         0.00000 ;
        22       ;          7      ;       S1        ;  15299113.03817 ;  18895040.09841 ;  -3595927.06025 ;         0.00000 ;         0.00000 ;
        22       ;          8      ;       S1        ;  15299113.03817 ;  18895040.09841 ;  -3595927.06025 ;         0.00000 ;         0.00000 ;
        22       ;          9      ;       S1        ;  15548322.14630 ;  18895040.09841 ;  -3346717.95211 ;         0.00000 ;         0.00000 ;
        22       ;         10      ;       S1        ;  15049903.93003 ;  18895040.09841 ;  -3845136.16838 ;         0.00000 ;         0.00000 ;
        22       ;         11      ;       S1        ;  13306855.35347 ;  18895040.09841 ;  -5588184.74495 ;         0.00000 ;         0.00000 ;
        22       ;         12      ;       S1        ;  19157232.01164 ;  18895040.09841 ;    262191.91323 ;         0.00000 ;         0.00000 ;
        22       ;         13      ;       S1        ;  18895040.09841 ;  18895040.09841 ;         0.00000 ;         0.00000 ;         0.00000 ;
        22       ;         14      ;       S2        ;   6414449.87786 ;  18895040.09862 ; -12480590.22075 ;         0.00000 ;         0.00000 ;
        22       ;         15      ;       S2        ;    519439.92582 ;  18895040.09862 ; -18375600.17279 ;         0.00000 ;         0.00000 ;
        22       ;         16      ;       S2        ;       225.64320 ;  18895040.09862 ; -18894814.45541 ;         0.00000 ;         0.00000 ;
        22       ;         17      ;       S2        ;   -183018.28618 ;  18895040.09862 ; -19078058.38479 ;         0.00000 ;         0.00000 ;
        22       ;         18      ;       S2        ;       230.43244 ;  18895040.09862 ; -18894809.66617 ;         0.00000 ;         0.00000 ;
        22       ;         19      ;       S2        ;  34980247.53954 ;  18895040.09862 ;  16085207.44092 ;         0.00000 ;         0.00000 ;
        22       ;         20      ;       S2        ;  30834755.15609 ;  18895040.09862 ;  11939715.05747 ;         0.00000 ;         0.00000 ;
        22       ;         21      ;       S2        ;    165027.02314 ;  18895040.09862 ; -18730013.07547 ;         0.00000 ;         0.00000 ;
        22       ;         22      ;       S2        ;       227.64881 ;  18895040.09862 ; -18894812.44981 ;         0.00000 ;         0.00000 ;
        22       ;         23      ;       S2        ;  28573577.49239 ;  18895040.09862 ;   9678537.39377 ;         0.00000 ;         0.00000 ;
        22       ;         24      ;       S2        ;   2827859.49406 ;  18895040.09862 ; -16067180.60456 ;         0.00000 ;         0.00000 ;
