***********************************************************************
*                                                                     *
*            CEPEL - CENTRO DE PESQUISAS DE ENERGIA ELETRICA          *
*  MODELO DESSEM     - VERSAO 19.0.14.1.3 - Marco de 2021 (CPLEX) (ACADEMICA)        *
*                                                                     *
***********************************************************************


   PROGRAMA LICENCIADO PARA CEMEAI                                                                                                                                                


____________________________________________________________________

  te  caso exemplo - sistema reduzido                                            - Data do Caso: 06/01/2017                                                       
____________________________________________________________________


  
Memoria de calculo do CMO das barras - participacao nas restricoes de limites de fluxo
  
-----------------;-----------------;-----------------;-----------------;-----------------;-----------------;-----------------;-----------------;-----------------;-----------------;-----------------;
      IPER       ;      NUM        ;      SIST       ;     BARRA DE    ;    BARRA PARA   ;     CIRCUITO    ;  SOM. PI LINHA  ;     PARCELA     ;      FATOR      ;    LBD. FLUX    ;     SENTIDO     ;
-----------------;-----------------;-----------------;-----------------;-----------------;-----------------;-----------------;-----------------;-----------------;-----------------;-----------------;
        15       ;         14      ;       S2        ;         16      ;         19      ;          1      ;        -0.83122 ;         0.96057 ;         0.30538 ;        -3.14546 ;        1        ;
        15       ;         15      ;       S2        ;         16      ;         19      ;          1      ;        -2.91999 ;         1.37557 ;         0.43732 ;        -3.14546 ;        1        ;
        15       ;         16      ;       S2        ;         16      ;         19      ;          1      ;        -1.18273 ;         1.44183 ;         0.45838 ;        -3.14546 ;        1        ;
        15       ;         17      ;       S2        ;         16      ;         19      ;          1      ;        -8.27650 ;         1.41864 ;         0.45101 ;        -3.14546 ;        1        ;
        15       ;         18      ;       S2        ;         16      ;         19      ;          1      ;        -6.89221 ;         1.40751 ;         0.44747 ;        -3.14546 ;        1        ;
        15       ;         19      ;       S2        ;         16      ;         19      ;          1      ;         1.50219 ;        -1.30868 ;        -0.41606 ;        -3.14546 ;        1        ;
        15       ;         20      ;       S2        ;         16      ;         19      ;          1      ;         1.10745 ;        -0.97016 ;        -0.30843 ;        -3.14546 ;        1        ;
        15       ;         21      ;       S2        ;         16      ;         19      ;          1      ;        -5.64732 ;         1.39750 ;         0.44429 ;        -3.14546 ;        1        ;
        15       ;         22      ;       S2        ;         16      ;         19      ;          1      ;        -6.67712 ;         1.40578 ;         0.44692 ;        -3.14546 ;        1        ;
        15       ;         23      ;       S2        ;         16      ;         19      ;          1      ;         0.89213 ;        -0.78552 ;        -0.24973 ;        -3.14546 ;        1        ;
        15       ;         24      ;       S2        ;         16      ;         19      ;          1      ;        -2.35427 ;         1.13032 ;         0.35935 ;        -3.14546 ;        1        ;
