***********************************************************************
*                                                                     *
*            CEPEL - CENTRO DE PESQUISAS DE ENERGIA ELETRICA          *
*  MODELO DESSEM     - VERSAO 19.0.14.1.3 - Marco de 2021 (CPLEX) (ACADEMICA)        *
*                                                                     *
***********************************************************************


   PROGRAMA LICENCIADO PARA CEMEAI                                                                                                                                                


____________________________________________________________________

  te  caso exemplo - sistema reduzido                                            - Data do Caso: 06/01/2017                                                       
____________________________________________________________________

--------------------------------------------------
Dados de manutencao de usinas e unidades geradoras                              
--------------------------------------------------
---------------------------------------------------------------
IPER:          Indice do periodo.                                                                                                                                                                       
TP.ENTID:      Tipo de entidade:                                                                                                                                                                        
               SIST:   Subsistema                                                                                                                                                                       
               USIH:   Usina hidroeletrica                                                                                                                                                              
               USIHTV: Usina hidroeletrica com tempo de viagem                                                                                                                                          
               USIT:   Usina termoeletrica                                                                                                                                                              
               USIE:   Usina elevatoria                                                                                                                                                                 
               CONTR:  Contrato de Importacao/Exportacao                                                                                                                                                
               INTERC: Intercambio entre subsistemas                                                                                                                                                    
ID.ENTID:      Numero da entidade                                                                                                                                                                       
ID.UNID.ENTID: Numero da unidade da entidade                                                                                                                                                            
NomeEntid:     Nome da entidade                                                                                                                                                                         
FatorManut:    Fator de disponibilidade a manutencao programada                                                                                                                                         
---------------------------------------------------------------

-----;--------;------;------;---------------;---------;
IPER ;TP.ENTID;ID.ENT;ID.UNI;   NomeEntid   ;FatorManu;
  -  ;   -    ;  -   ;  -   ;       -       ;   (%)   ;
-----;--------;------;------;---------------;---------;
   9 ; USIH   ;     7;    99; M. DE MORAES  ;   100.00;
   9 ; USIH   ;     8;    99; ESTREITO      ;   100.00;
   9 ; USIH   ;    10;    99; IGARAPAVA     ;   100.00;
   9 ; USIH   ;    14;    99; CACONDE       ;   100.00;
   9 ; USIH   ;    15;    99; E. DA CUNHA   ;   100.00;
   9 ; USIH   ;    16;    99; A.S.OLIVEIRA  ;   100.00;
   9 ; USIH   ;    24;    99; EMBORCACAO    ;   100.00;
   9 ; USIH   ;    25;    99; NOVA PONTE    ;   100.00;
   9 ; USIH   ;    26;    99; MIRANDA       ;   100.00;
   9 ; USIH   ;    30;    99; CORUMBA I     ;   100.00;
   9 ; USIH   ;    31;    99; ITUMBIARA     ;   100.00;
   9 ; USIH   ;    32;    99; CACH.DOURADA  ;   100.00;
   9 ; USIH   ;    33;    99; SAO SIMAO     ;   100.00;
   9 ; USIT   ;     1;     1; ANGRA 1       ;   100.00;
   9 ; USIT   ;     2;     1; IGARAPE       ;   100.00;
   9 ; USIT   ;     3;     1; ST.CRUZ 12    ;   100.00;
   9 ; USIT   ;    50;     1; PIRAT.12 G    ;   100.00;
   9 ; USIT   ;     4;     1; ST.CRUZ 34    ;   100.00;
  10 ; USIH   ;     6;    99; FURNAS        ;   100.00;
  10 ; USIH   ;     7;    99; M. DE MORAES  ;   100.00;
  10 ; USIH   ;     8;    99; ESTREITO      ;   100.00;
  10 ; USIH   ;    10;    99; IGARAPAVA     ;   100.00;
  10 ; USIH   ;    14;    99; CACONDE       ;   100.00;
  10 ; USIH   ;    15;    99; E. DA CUNHA   ;   100.00;
  10 ; USIH   ;    16;    99; A.S.OLIVEIRA  ;   100.00;
  10 ; USIH   ;    24;    99; EMBORCACAO    ;   100.00;
  10 ; USIH   ;    25;    99; NOVA PONTE    ;   100.00;
  10 ; USIH   ;    26;    99; MIRANDA       ;   100.00;
  10 ; USIH   ;    30;    99; CORUMBA I     ;   100.00;
  10 ; USIH   ;    31;    99; ITUMBIARA     ;   100.00;
  10 ; USIH   ;    32;    99; CACH.DOURADA  ;   100.00;
  10 ; USIH   ;    33;    99; SAO SIMAO     ;   100.00;
  10 ; USIT   ;     1;     1; ANGRA 1       ;   100.00;
  10 ; USIT   ;     2;     1; IGARAPE       ;   100.00;
  10 ; USIT   ;     3;     1; ST.CRUZ 12    ;   100.00;
  10 ; USIT   ;    50;     1; PIRAT.12 G    ;   100.00;
  10 ; USIT   ;     4;     1; ST.CRUZ 34    ;   100.00;
  11 ; USIH   ;     6;    99; FURNAS        ;   100.00;
  11 ; USIH   ;     7;    99; M. DE MORAES  ;   100.00;
  11 ; USIH   ;     8;    99; ESTREITO      ;   100.00;
  11 ; USIH   ;    10;    99; IGARAPAVA     ;   100.00;
  11 ; USIH   ;    14;    99; CACONDE       ;   100.00;
  11 ; USIH   ;    15;    99; E. DA CUNHA   ;   100.00;
  11 ; USIH   ;    16;    99; A.S.OLIVEIRA  ;   100.00;
  11 ; USIH   ;    24;    99; EMBORCACAO    ;   100.00;
  11 ; USIH   ;    25;    99; NOVA PONTE    ;   100.00;
  11 ; USIH   ;    26;    99; MIRANDA       ;   100.00;
  11 ; USIH   ;    30;    99; CORUMBA I     ;   100.00;
  11 ; USIH   ;    31;    99; ITUMBIARA     ;   100.00;
  11 ; USIH   ;    32;    99; CACH.DOURADA  ;   100.00;
  11 ; USIH   ;    33;    99; SAO SIMAO     ;   100.00;
  11 ; USIT   ;     1;     1; ANGRA 1       ;   100.00;
  11 ; USIT   ;     2;     1; IGARAPE       ;   100.00;
  11 ; USIT   ;     3;     1; ST.CRUZ 12    ;   100.00;
  11 ; USIT   ;    50;     1; PIRAT.12 G    ;   100.00;
  11 ; USIT   ;     4;     1; ST.CRUZ 34    ;   100.00;
  12 ; USIH   ;     6;    99; FURNAS        ;   100.00;
  12 ; USIH   ;     7;    99; M. DE MORAES  ;   100.00;
  12 ; USIH   ;     8;    99; ESTREITO      ;   100.00;
  12 ; USIH   ;    10;    99; IGARAPAVA     ;   100.00;
  12 ; USIH   ;    14;    99; CACONDE       ;   100.00;
  12 ; USIH   ;    15;    99; E. DA CUNHA   ;   100.00;
  12 ; USIH   ;    16;    99; A.S.OLIVEIRA  ;   100.00;
  12 ; USIH   ;    24;    99; EMBORCACAO    ;   100.00;
  12 ; USIH   ;    25;    99; NOVA PONTE    ;   100.00;
  12 ; USIH   ;    26;    99; MIRANDA       ;   100.00;
  12 ; USIH   ;    30;    99; CORUMBA I     ;   100.00;
  12 ; USIH   ;    31;    99; ITUMBIARA     ;   100.00;
  12 ; USIH   ;    32;    99; CACH.DOURADA  ;   100.00;
  12 ; USIH   ;    33;    99; SAO SIMAO     ;   100.00;
  12 ; USIT   ;     1;     1; ANGRA 1       ;   100.00;
  12 ; USIT   ;     2;     1; IGARAPE       ;   100.00;
  12 ; USIT   ;     3;     1; ST.CRUZ 12    ;   100.00;
  12 ; USIT   ;    50;     1; PIRAT.12 G    ;   100.00;
  12 ; USIT   ;     4;     1; ST.CRUZ 34    ;   100.00;
  13 ; USIH   ;     6;    99; FURNAS        ;   100.00;
  13 ; USIH   ;     7;    99; M. DE MORAES  ;   100.00;
  13 ; USIH   ;     8;    99; ESTREITO      ;   100.00;
  13 ; USIH   ;    10;    99; IGARAPAVA     ;   100.00;
  13 ; USIH   ;    14;    99; CACONDE       ;   100.00;
  13 ; USIH   ;    15;    99; E. DA CUNHA   ;   100.00;
  13 ; USIH   ;    16;    99; A.S.OLIVEIRA  ;   100.00;
  13 ; USIH   ;    24;    99; EMBORCACAO    ;   100.00;
  13 ; USIH   ;    25;    99; NOVA PONTE    ;   100.00;
  13 ; USIH   ;    26;    99; MIRANDA       ;   100.00;
