***********************************************************************
*                                                                     *
*            CEPEL - CENTRO DE PESQUISAS DE ENERGIA ELETRICA          *
*  MODELO DESSEM     - VERSAO 19.0.14.1.3 - Marco de 2021 (CPLEX) (ACADEMICA)        *
*                                                                     *
***********************************************************************


   PROGRAMA LICENCIADO PARA CEMEAI                                                                                                                                                


____________________________________________________________________

  te  caso exemplo - sistema reduzido                                            - Data do Caso: 06/01/2017                                                       
____________________________________________________________________


  
 Relatorio dos fluxos nas linhas
  
----;-------;--;-;-;-;-;------;----;------;------;----;------;----;-----;-----------;-----------;-----------;--------;-----------;-----------;-----------;-----------;-----------;
    ;       ;FLAGS;;;;;       ;    ; BAR  ; Sist ;    ; BAR  ;Sist;     ;   Fluxo   ;   Capac   ;         Perdas    ;;  Multipl. ;  ger de   ; ger para  ; carga de  ;carga para ;
IPER;  Pat  ;  ; ; ; ; ; IND  ; Nv ; DE   ;  De  ; Nv ; PARA ;para; CIR ;    (MW)   ;    (MW)   ;    (MW)   ;   %    ;  ($/MWh)  ;   (MW)    ;   (MW)    ;   (MW)    ;   (MW)    ;
----;-------;--;-;-;-;-;------;----;------;------;----;------;----;-----;-----------;-----------;-----------;--------;-----------;-----------;-----------;-----------;-----------;
   1; LEVE  ;  ; ; ; ; ;   24 ; G  ; 00015;  S2  ; G  ; 00016; S2 ;   1 ;   300.000 ;       300 ;           ;        ;     5.160 ;   734.093 ;   100.454 ;   749.738 ;   236.474 ;
   1; LEVE  ;  ; ; ; ; ;   25 ; G  ; 00015;  S2  ; G  ; 00021; S2 ;   1 ;  -159.844 ;       300 ;           ;        ;     0.000 ;   734.093 ;   400.000 ;   749.738 ;     -     ;
   1; LEVE  ;  ; ; ; ; ;   26 ; G  ; 00015;  S2  ; G  ; 00021; S2 ;   2 ;  -159.844 ;       300 ;           ;        ;     0.000 ;   734.093 ;   400.000 ;   749.738 ;     -     ;
   1; LEVE  ;  ; ; ; ; ;   27 ; G  ; 00015;  S2  ; G  ; 00024; S2 ;   1 ;     4.043 ;       300 ;           ;        ;     0.000 ;   734.093 ;     -     ;   749.738 ;     -     ;
   1; LEVE  ;  ; ; ; ; ;   28 ; G  ; 00016;  S2  ; G  ; 00017; S2 ;   1 ;  -300.000 ;       300 ;           ;        ;     6.200 ;   100.454 ;     -     ;   236.474 ;     -     ;
   1; LEVE  ;  ; ; ;V; ;   29 ; G  ; 00016;  S2  ; G  ; 00019; S2 ;   1 ;   317.532 ;       300 ;           ;        ;     0.000 ;   100.454 ;     -     ;   236.474 ;   428.194 ;
   1; LEVE  ;  ; ; ; ; ;   30 ; G  ; 00017;  S2  ; G  ; 00018; S2 ;   1 ;  -143.236 ;       300 ;           ;        ;     0.000 ;     -     ;   684.489 ;     -     ;   787.567 ;
   1; LEVE  ;  ; ; ; ; ;   31 ; G  ; 00017;  S2  ; G  ; 00022; S2 ;   1 ;  -156.764 ;       300 ;           ;        ;     0.000 ;     -     ;   322.766 ;     -     ;     -     ;
   1; LEVE  ;  ; ; ; ; ;   32 ; G  ; 00018;  S2  ; G  ; 00021; S2 ;   1 ;  -123.157 ;       300 ;           ;        ;     0.000 ;   684.489 ;   400.000 ;   787.567 ;     -     ;
   1; LEVE  ;  ; ; ; ; ;   33 ; G  ; 00018;  S2  ; G  ; 00021; S2 ;   2 ;  -123.157 ;       300 ;           ;        ;     0.000 ;   684.489 ;   400.000 ;   787.567 ;     -     ;
