-----;--------------;-----;---------------------;---------------------;---------------------;-------;---------------------;-------;---------------------;-------;---------------------;-------;---------------------;-------;---------------------;-------;
USIH ;   NomeUsih   ;ICOEF;    Cota X Volume    ;     Area X Cota     ;Cota X Vazao (Hjus1) ; Hjus1 ;Cota X Vazao (Hjus2) ; Hjus2 ;Cota X Vazao (Hjus3) ; Hjus3 ;Cota X Vazao (Hjus4) ; Hjus4 ;Cota X Vazao (Hjus5) ; Hjus5 ;Cota X Vazao (Hjus6) ; Hjus6 ;
  -  ;      -       ;  -  ;  (m/((hm3)^(IND)))  ;  (m/((km2)^(IND)))  ;  (m/((km2)^(IND)))  ;  (m)  ;  (m/((km2)^(IND)))  ;  (m)  ;  (m/((km2)^(IND)))  ;  (m)  ;  (m/((km2)^(IND)))  ;  (m)  ;  (m/((km2)^(IND)))  ;  (m)  ;  (m/((km2)^(IND)))  ;  (m)  ;
-----;--------------;-----;---------------------;---------------------;---------------------;-------;---------------------;-------;---------------------;-------;---------------------;-------;---------------------;-------;---------------------;-------;
 008 ; ESTREITO     ;  0  ;      0.62250000E+03 ;      0.46529999E+02 ;      0.55671777E+03 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;
 008 ; ESTREITO     ;  1  ;      0.00000000E+00 ;      0.00000000E+00 ;      0.12217599E-02 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;
 008 ; ESTREITO     ;  2  ;      0.00000000E+00 ;      0.00000000E+00 ;     -0.75121591E-07 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;
 008 ; ESTREITO     ;  3  ;      0.00000000E+00 ;      0.00000000E+00 ;      0.21663190E-11 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;
 008 ; ESTREITO     ;  4  ;      0.00000000E+00 ;      0.00000000E+00 ;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;
 010 ; IGARAPAVA    ;  0  ;      0.51200000E+03 ;      0.52000000E+02 ;      0.49420190E+03 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;
 010 ; IGARAPAVA    ;  1  ;      0.00000000E+00 ;      0.00000000E+00 ;      0.78165182E-03 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;
 010 ; IGARAPAVA    ;  2  ;      0.00000000E+00 ;      0.00000000E+00 ;     -0.10431100E-06 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;
 010 ; IGARAPAVA    ;  3  ;      0.00000000E+00 ;      0.00000000E+00 ;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;
 010 ; IGARAPAVA    ;  4  ;      0.00000000E+00 ;      0.00000000E+00 ;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;
 014 ; CACONDE      ;  0  ;      0.81634692E+03 ;      0.15248800E+06 ;      0.74721100E+03 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;
 014 ; CACONDE      ;  1  ;      0.19769000E+00 ;     -0.39167679E+03 ;      0.10032200E+00 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;
 014 ; CACONDE      ;  2  ;     -0.57356991E-03 ;      0.11214700E+00 ;     -0.32746099E-03 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;
 014 ; CACONDE      ;  3  ;      0.96903750E-06 ;      0.36798490E-03 ;     -0.17168099E-06 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;
 014 ; CACONDE      ;  4  ;     -0.63293681E-09 ;     -0.24243400E-06 ;      0.17280500E-08 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;
 015 ; E. DA CUNHA  ;  0  ;      0.66500000E+03 ;      0.10700001E+01 ;      0.57229901E+03 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;
 015 ; E. DA CUNHA  ;  1  ;      0.00000000E+00 ;      0.00000000E+00 ;      0.64610898E-01 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;
 015 ; E. DA CUNHA  ;  2  ;      0.00000000E+00 ;      0.00000000E+00 ;     -0.23239800E-03 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;
 015 ; E. DA CUNHA  ;  3  ;      0.00000000E+00 ;      0.00000000E+00 ;      0.43903901E-06 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;
 015 ; E. DA CUNHA  ;  4  ;      0.00000000E+00 ;      0.00000000E+00 ;     -0.31241801E-09 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;      0.00000000E+00 ;   0.00;
