-----;-----;--------------;----------;----------;---------;---------;---------;----;----------;----------;------------;------------;------;
USIH ;IPER ;   NomeUsih   ; Varm Med ;  Vutil   ;  Qtur   ;  Qver   ;  Qjus   ;Afog;Ghid (FPH);Ghid (FPHA; Desvio Abs ; DesvioPerc ;Vtfuga;
  -  ;  -  ;      -       ;  (hm3)   ;   (%)    ; (m3/s)  ; (m3/s)  ; (m3/s)  ;    ;   (MW)   ;   (MW)   ;    (MW)    ;    (%)     ;  -   ;
-----;-----;--------------;----------;----------;---------;---------;---------;----;----------;----------;------------;------------;------;
 030 ;   2 ; CORUMBA I    ;    -     ;    63.21 ;    74.00;     0.00;     0.00;  0 ;    49.42 ;    61.01 ;      11.59 ;      23.46 ;   1  ;
 031 ;   2 ; ITUMBIARA    ;    -     ;    54.10 ;  1095.08;     0.00;     0.00;  0 ;   733.15 ;   738.01 ;       4.86 ;       0.66 ;   1  ;
 032 ;   2 ; CACH.DOURADA ;    -     ;   100.00 ;  1207.08;     0.00;     0.00;  0 ;   344.35 ;   344.02 ;      -0.34 ;      -0.10 ;   1  ;
 033 ;   2 ; SAO SIMAO    ;    -     ;    84.88 ;   450.00;     0.00;     0.00;  0 ;   306.59 ;   307.22 ;       0.63 ;       0.21 ;   0  ;
 006 ;   3 ; FURNAS       ;    -     ;    10.16 ;   102.00;     0.00;     0.00;  0 ;    70.73 ;    71.53 ;       0.80 ;       1.13 ;   1  ;
 007 ;   3 ; M. DE MORAES ;    -     ;     9.69 ;  1100.00;     0.00;     0.00;  1 ;   293.09 ;   293.53 ;       0.44 ;       0.15 ;   1  ;
 008 ;   3 ; ESTREITO     ;    -     ;   100.00 ;  1131.00;     0.00;     0.00;  0 ;   634.42 ;   646.81 ;      12.39 ;       1.95 ;   1  ;
 010 ;   3 ; IGARAPAVA    ;    -     ;   100.00 ;  1180.00;     0.00;     0.00;  0 ;   178.09 ;   178.03 ;      -0.06 ;      -0.03 ;   1  ;
 014 ;   3 ; CACONDE      ;    -     ;    50.15 ;     0.00;     0.00;     0.00;  0 ;     0.00 ;     0.00 ;       0.00 ;       0.00 ;   1  ;
 015 ;   3 ; E. DA CUNHA  ;    -     ;   100.00 ;    55.00;     0.00;     0.00;  0 ;    40.26 ;    41.30 ;       1.04 ;       2.58 ;   1  ;
 016 ;   3 ; A.S.OLIVEIRA ;    -     ;   100.00 ;    57.00;     0.00;     0.00;  0 ;    12.42 ;    12.43 ;       0.01 ;       0.09 ;   1  ;
 024 ;   3 ; EMBORCACAO   ;    -     ;    53.54 ;    51.00;     0.00;     0.00;  0 ;    55.31 ;    55.38 ;       0.07 ;       0.12 ;   0  ;
 025 ;   3 ; NOVA PONTE   ;    -     ;    73.42 ;    40.00;     0.00;     0.00;  1 ;    41.03 ;    41.02 ;      -0.01 ;      -0.02 ;   1  ;
 026 ;   3 ; MIRANDA      ;    -     ;    99.53 ;    42.00;     0.00;     0.00;  0 ;    26.41 ;    26.44 ;       0.03 ;       0.11 ;   0  ;
 030 ;   3 ; CORUMBA I    ;    -     ;    63.41 ;    74.00;     0.00;     0.00;  0 ;    49.44 ;    61.23 ;      11.78 ;      23.83 ;   1  ;
 031 ;   3 ; ITUMBIARA    ;    -     ;    54.09 ;  1011.94;     0.00;     0.00;  0 ;   678.53 ;   681.98 ;       3.45 ;       0.51 ;   1  ;
 032 ;   3 ; CACH.DOURADA ;    -     ;   100.00 ;  1123.94;     0.00;     0.00;  0 ;   321.91 ;   321.77 ;      -0.14 ;      -0.04 ;   1  ;
 033 ;   3 ; SAO SIMAO    ;    -     ;    85.00 ;   450.00;     0.00;     0.00;  0 ;   306.63 ;   307.22 ;       0.58 ;       0.19 ;   0  ;
 006 ;   4 ; FURNAS       ;    -     ;    10.19 ;   102.00;     0.00;     0.00;  0 ;    70.74 ;    71.55 ;       0.82 ;       1.15 ;   1  ;
 007 ;   4 ; M. DE MORAES ;    -     ;     9.57 ;  1100.00;     0.00;     0.00;  1 ;   292.91 ;   293.53 ;       0.61 ;       0.21 ;   1  ;
 008 ;   4 ; ESTREITO     ;    -     ;   100.00 ;  1131.00;     0.00;     0.00;  0 ;   634.42 ;   646.81 ;      12.39 ;       1.95 ;   1  ;
 010 ;   4 ; IGARAPAVA    ;    -     ;   100.00 ;  1180.00;     0.00;     0.00;  0 ;   178.09 ;   178.03 ;      -0.06 ;      -0.03 ;   1  ;
 014 ;   4 ; CACONDE      ;    -     ;    50.21 ;     0.00;     0.00;     0.00;  0 ;     0.00 ;     0.00 ;       0.00 ;       0.00 ;   1  ;
 015 ;   4 ; E. DA CUNHA  ;    -     ;   100.00 ;    55.00;     0.00;     0.00;  0 ;    40.26 ;    41.30 ;       1.04 ;       2.58 ;   1  ;
 016 ;   4 ; A.S.OLIVEIRA ;    -     ;   100.00 ;    57.00;     0.00;     0.00;  0 ;    12.42 ;    12.43 ;       0.01 ;       0.09 ;   1  ;
 024 ;   4 ; EMBORCACAO   ;    -     ;    53.56 ;    51.00;     0.00;     0.00;  0 ;    55.32 ;    55.38 ;       0.07 ;       0.12 ;   0  ;
 025 ;   4 ; NOVA PONTE   ;    -     ;    73.44 ;    40.00;     0.00;     0.00;  1 ;    41.03 ;    41.02 ;      -0.01 ;      -0.02 ;   1  ;
 026 ;   4 ; MIRANDA      ;    -     ;    99.72 ;    42.00;     0.00;     0.00;  0 ;    26.41 ;    26.44 ;       0.03 ;       0.10 ;   0  ;
 030 ;   4 ; CORUMBA I    ;    -     ;    63.62 ;    74.00;     0.00;     0.00;  0 ;    49.47 ;    61.44 ;      11.97 ;      24.19 ;   1  ;
 031 ;   4 ; ITUMBIARA    ;    -     ;    54.08 ;  1007.95;     0.00;     0.00;  0 ;   675.88 ;   679.29 ;       3.41 ;       0.50 ;   1  ;
 032 ;   4 ; CACH.DOURADA ;    -     ;   100.00 ;  1119.95;     0.00;     0.00;  0 ;   320.82 ;   320.70 ;      -0.12 ;      -0.04 ;   1  ;
 033 ;   4 ; SAO SIMAO    ;    -     ;    85.12 ;   450.00;     0.00;     0.00;  0 ;   306.68 ;   307.22 ;       0.54 ;       0.18 ;   0  ;
 006 ;   5 ; FURNAS       ;    -     ;    10.21 ;   102.00;     0.00;     0.00;  0 ;    70.74 ;    71.58 ;       0.83 ;       1.18 ;   1  ;
 007 ;   5 ; M. DE MORAES ;    -     ;     9.45 ;  1100.00;     0.00;     0.00;  1 ;   292.74 ;   293.53 ;       0.79 ;       0.27 ;   1  ;
 008 ;   5 ; ESTREITO     ;    -     ;   100.00 ;  1131.00;     0.00;     0.00;  0 ;   634.42 ;   646.81 ;      12.39 ;       1.95 ;   1  ;
 010 ;   5 ; IGARAPAVA    ;    -     ;   100.00 ;  1180.00;     0.00;     0.00;  0 ;   178.09 ;   178.03 ;      -0.06 ;      -0.03 ;   1  ;
 014 ;   5 ; CACONDE      ;    -     ;    50.27 ;     0.00;     0.00;     0.00;  0 ;     0.00 ;     0.00 ;       0.00 ;       0.00 ;   1  ;
 015 ;   5 ; E. DA CUNHA  ;    -     ;   100.00 ;    55.00;     0.00;     0.00;  0 ;    40.26 ;    41.30 ;       1.04 ;       2.58 ;   1  ;
 016 ;   5 ; A.S.OLIVEIRA ;    -     ;   100.00 ;    57.00;     0.00;     0.00;  0 ;    12.42 ;    12.43 ;       0.01 ;       0.09 ;   1  ;
 024 ;   5 ; EMBORCACAO   ;    -     ;    53.58 ;    51.00;     0.00;     0.00;  0 ;    55.32 ;    55.38 ;       0.06 ;       0.11 ;   0  ;
 025 ;   5 ; NOVA PONTE   ;    -     ;    73.46 ;    40.00;     0.00;     0.00;  1 ;    41.03 ;    41.02 ;      -0.01 ;      -0.02 ;   1  ;
 026 ;   5 ; MIRANDA      ;    -     ;    99.91 ;    42.00;     0.00;     0.00;  0 ;    26.42 ;    26.44 ;       0.02 ;       0.09 ;   0  ;
 030 ;   5 ; CORUMBA I    ;    -     ;    63.82 ;    74.00;     0.00;     0.00;  0 ;    49.50 ;    61.66 ;      12.16 ;      24.56 ;   1  ;
 031 ;   5 ; ITUMBIARA    ;    -     ;    54.07 ;   719.84;     0.00;     0.00;  1 ;   485.25 ;   485.12 ;      -0.12 ;      -0.03 ;   1  ;
 032 ;   5 ; CACH.DOURADA ;    -     ;   100.00 ;   831.84;     0.00;     0.00;  0 ;   241.71 ;   245.55 ;       3.83 ;       1.59 ;   1  ;
 033 ;   5 ; SAO SIMAO    ;    -     ;    85.23 ;   450.00;     0.00;     0.00;  0 ;   306.72 ;   307.22 ;       0.50 ;       0.16 ;   0  ;
 006 ;   6 ; FURNAS       ;    -     ;    10.24 ;   102.00;     0.00;     0.00;  0 ;    70.75 ;    71.60 ;       0.85 ;       1.20 ;   1  ;
 007 ;   6 ; M. DE MORAES ;    -     ;     9.33 ;  1100.00;     0.00;     0.00;  1 ;   292.56 ;   293.53 ;       0.96 ;       0.33 ;   1  ;
 008 ;   6 ; ESTREITO     ;    -     ;   100.00 ;  1131.00;     0.00;     0.00;  0 ;   634.42 ;   646.81 ;      12.39 ;       1.95 ;   1  ;
 010 ;   6 ; IGARAPAVA    ;    -     ;   100.00 ;  1180.00;     0.00;     0.00;  0 ;   178.09 ;   178.03 ;      -0.06 ;      -0.03 ;   1  ;
 014 ;   6 ; CACONDE      ;    -     ;    50.33 ;     0.00;     0.00;     0.00;  0 ;     0.00 ;     0.00 ;       0.00 ;       0.00 ;   1  ;
 015 ;   6 ; E. DA CUNHA  ;    -     ;   100.00 ;    55.00;     0.00;     0.00;  0 ;    40.26 ;    41.30 ;       1.04 ;       2.58 ;   1  ;
 016 ;   6 ; A.S.OLIVEIRA ;    -     ;   100.00 ;    57.00;     0.00;     0.00;  0 ;    12.42 ;    12.43 ;       0.01 ;       0.09 ;   1  ;
