-----;-----;------;--------------;--------;--------;-------;--------;---------;---------;---------;---------;---------;-----;-----;---;---------;----------;---------;---------;----------;------------;------------;------------------------------;------------;------------;-----;------------;
IPER ;USIT ;UNIDT ;  Nome Usit   ;NomeSist;NumBarra;NOscil.;GtMinMax;  Gtmin  ;Gtminunid;  Gtmax  ;Gtmaxunid;GtminAcio; Ton ;Toff ;Sta;  GTER   ;  Tempo   ; CustLin ;  CSTF   ;   CMO    ;    CMB     ;  DualUnid  ;          Titulacao           ;   RAMPUP   ;   RAMPDN   ;UEQV ; RAMPTRANS  ;
  -  ;  -  ;  -   ;      -       ;   -    ;   -    ;   -   ;   -    ;  (MW)   ;  (MW)   ;  (MW)   ;  (MW)   ;  (MW)   ; (h) ; (h) ; - ;  (MW)   ;   (h)    ; ($/MWh) ;  (MW)   ; (R$/MWh) ;  (R$/MWh)  ;     $      ;              -               ;     MW     ;     MW     ;     ;     MW     ;
-----;-----;------;--------------;--------;--------;-------;--------;---------;---------;---------;---------;---------;-----;-----;---;---------;----------;---------;---------;----------;------------;------------;------------------------------;------------;------------;-----;------------;
   5 ; 050 ; 001  ; PIRAT.12 G   ; S1     ;     3  ;   0   ;   0    ;     0.00;     0.00;  200.000;   200.00;    50.00;  5  ;  5  ;1  ;   200.00;      5.0 ;  205.340;     0.00;  213.700 ;         21 ;       0.00 ; Ordem de merito              ; 1000000.00 ; 1000000.00 ;   0 ;    2000.00 ;
   5 ; 004 ; 001  ; ST.CRUZ 34   ; S2     ;    14  ;   0   ;   0    ;     0.00;     0.00;  220.000;   220.00;    50.00;  5  ;  5  ;1  ;   220.00;     15.0 ;  210.410;     0.00;  213.700 ;         21 ;       0.00 ; Ordem de merito              ; 1000000.00 ; 1000000.00 ;   0 ;    2200.00 ;
   6 ; 001 ; 001  ; ANGRA 1      ; S1     ;     1  ;   0   ;   0    ;     0.00;     0.00;  657.000;   657.00;   500.00; 13  ;  5  ;1  ;   657.00;      6.0 ;  200.000;     0.00;  225.500 ;         22 ;       0.00 ; Ordem de merito              ; 1000000.00 ; 1000000.00 ;   0 ;    6570.00 ;
   6 ; 002 ; 001  ; IGARAPE      ; S1     ;    13  ;   0   ;   0    ;     0.00;     0.00;  131.000;   131.00;    50.00;  5  ;  5  ;0  ;     0.00;     -6.0 ;  253.430;     0.00;  225.500 ;         22 ;       0.00 ; Sem geracao                  ; 1000000.00 ; 1000000.00 ;   0 ;    1310.00 ;
   6 ; 003 ; 001  ; ST.CRUZ 12   ; S1     ;     2  ;   0   ;   0    ;     0.00;     0.00;   84.000;    84.00;    50.00;  5  ;  5  ;1  ;    84.00;     16.0 ;  210.000;     0.00;  225.500 ;         22 ;       0.00 ; Ordem de merito              ; 1000000.00 ; 1000000.00 ;   0 ;     840.00 ;
   6 ; 050 ; 001  ; PIRAT.12 G   ; S1     ;     3  ;   0   ;   0    ;     0.00;     0.00;  200.000;   200.00;    50.00;  5  ;  5  ;1  ;   200.00;      6.0 ;  205.340;     0.00;  225.500 ;         22 ;       0.00 ; Ordem de merito              ; 1000000.00 ; 1000000.00 ;   0 ;    2000.00 ;
   6 ; 004 ; 001  ; ST.CRUZ 34   ; S2     ;    14  ;   0   ;   0    ;     0.00;     0.00;  220.000;   220.00;    50.00;  5  ;  5  ;1  ;   220.00;     16.0 ;  210.410;     0.00;  223.500 ;         22 ;       0.00 ; Ordem de merito              ; 1000000.00 ; 1000000.00 ;   0 ;    2200.00 ;
   7 ; 001 ; 001  ; ANGRA 1      ; S1     ;     1  ;   0   ;   0    ;     0.00;     0.00;  657.000;   657.00;   500.00; 13  ;  5  ;1  ;   657.00;      7.0 ;  200.000;     0.00;  225.500 ;         22 ;       0.00 ; Ordem de merito              ; 1000000.00 ; 1000000.00 ;   0 ;    6570.00 ;
   7 ; 002 ; 001  ; IGARAPE      ; S1     ;    13  ;   0   ;   0    ;     0.00;     0.00;  131.000;   131.00;    50.00;  5  ;  5  ;0  ;     0.00;     -7.0 ;  253.430;     0.00;  225.500 ;         22 ;       0.00 ; Sem geracao                  ; 1000000.00 ; 1000000.00 ;   0 ;    1310.00 ;
   7 ; 003 ; 001  ; ST.CRUZ 12   ; S1     ;     2  ;   0   ;   0    ;     0.00;     0.00;   84.000;    84.00;    50.00;  5  ;  5  ;1  ;    84.00;     17.0 ;  210.000;     0.00;  225.500 ;         22 ;       0.00 ; Ordem de merito              ; 1000000.00 ; 1000000.00 ;   0 ;     840.00 ;
   7 ; 050 ; 001  ; PIRAT.12 G   ; S1     ;     3  ;   0   ;   0    ;     0.00;     0.00;  200.000;   200.00;    50.00;  5  ;  5  ;1  ;   200.00;      7.0 ;  205.340;     0.00;  225.500 ;         22 ;       0.00 ; Ordem de merito              ; 1000000.00 ; 1000000.00 ;   0 ;    2000.00 ;
   7 ; 004 ; 001  ; ST.CRUZ 34   ; S2     ;    14  ;   0   ;   0    ;     0.00;     0.00;  220.000;   220.00;    50.00;  5  ;  5  ;1  ;   220.00;     17.0 ;  210.410;     0.00;  223.500 ;         22 ;       0.00 ; Ordem de merito              ; 1000000.00 ; 1000000.00 ;   0 ;    2200.00 ;
   8 ; 001 ; 001  ; ANGRA 1      ; S1     ;     1  ;   0   ;   0    ;     0.00;     0.00;  657.000;   657.00;   500.00; 13  ;  5  ;1  ;   657.00;      8.0 ;  200.000;     0.00;  219.970 ;         21 ;       0.00 ; Ordem de merito              ; 1000000.00 ; 1000000.00 ;   0 ;    6570.00 ;
   8 ; 002 ; 001  ; IGARAPE      ; S1     ;    13  ;   0   ;   0    ;     0.00;     0.00;  131.000;   131.00;    50.00;  5  ;  5  ;0  ;     0.00;     -8.0 ;  253.430;     0.00;  219.970 ;         21 ;       0.00 ; Sem geracao                  ; 1000000.00 ; 1000000.00 ;   0 ;    1310.00 ;
   8 ; 003 ; 001  ; ST.CRUZ 12   ; S1     ;     2  ;   0   ;   0    ;     0.00;     0.00;   84.000;    84.00;    50.00;  5  ;  5  ;1  ;    84.00;     18.0 ;  210.000;     0.00;  219.970 ;         21 ;       0.00 ; Ordem de merito              ; 1000000.00 ; 1000000.00 ;   0 ;     840.00 ;
   8 ; 050 ; 001  ; PIRAT.12 G   ; S1     ;     3  ;   0   ;   0    ;     0.00;     0.00;  200.000;   200.00;    50.00;  5  ;  5  ;1  ;   200.00;      8.0 ;  205.340;     0.00;  219.970 ;         21 ;       0.00 ; Ordem de merito              ; 1000000.00 ; 1000000.00 ;   0 ;    2000.00 ;
