***********************************************************************
*                                                                     *
*            CEPEL - CENTRO DE PESQUISAS DE ENERGIA ELETRICA          *
*  MODELO DESSEM     - VERSAO 19.0.14.1.3 - Marco de 2021 (CPLEX) (ACADEMICA)        *
*                                                                     *
***********************************************************************


   PROGRAMA LICENCIADO PARA CEMEAI                                                                                                                                                


____________________________________________________________________

  te  caso exemplo - sistema reduzido                                            - Data do Caso: 06/01/2017                                                       
____________________________________________________________________


 Problemas no Tratamento da Soleria do Desvio                                                       

------;------;------;-------;------;--------------;----------;----------;---;-------;-------------;-----------;-------------------;------------;
 IPER ; ITER ; IDES ;  Pat  ; USIH ;     Nome     ;  Vdisp.  ;  VolSol. ;Reg;   Tratamento PL    ;;   Vert    ;     Problema      ; Delta Vdisp;
   -  ;   -  ;   -  ;   -   ;   -  ;      -       ; ( Total  -   hm3 )  ;   ;Status ;Vertmax(hm3);;   (m3/s)  ;         -         ;   (hm3)    ;
------;------;------;-------;------;--------------;----------;----------;---;-------;-------------;-----------;-------------------;------------;
   4  ;   1  ;  S   ;LEVE   ;  24  ; EMBORCACAO   ; 11662.92 ; 10626.45 ; M ; LIBER ;     1037.17 ;      0.00 ;                   ;       0.70 ;
   4  ;   1  ;  S   ;LEVE   ;  25  ; NOVA PONTE   ; 10035.97 ;  5500.05 ; M ; LIBER ;     4537.97 ;      0.00 ;                   ;       2.05 ;
   4  ;   1  ;  S   ;LEVE   ;  26  ; MIRANDA      ;  1119.88 ;   975.00 ; M ; LIBER ;      148.20 ;      0.00 ;                   ;       1.25 ;
   4  ;   1  ;  S   ;LEVE   ;  30  ; CORUMBA I    ;  1126.59 ;   739.04 ; M ; LIBER ;      388.35 ;      0.00 ;                   ;       0.80 ;
   4  ;   1  ;  S   ;LEVE   ;  31  ; ITUMBIARA    ; 11311.31 ;  6915.60 ; M ; LIBER ;     4409.66 ;      0.00 ;                   ;       5.70 ;
   4  ;   1  ;  S   ;LEVE   ;  33  ; SAO SIMAO    ; 11720.56 ;  7000.00 ; M ; LIBER ;     4717.99 ;      0.00 ;                   ;     -11.62 ;
   5  ;   1  ;  S   ;LEVE   ;   6  ; FURNAS       ;  7493.76 ;  6173.76 ; M ; LIBER ;     1321.47 ;      0.00 ;                   ;       1.47 ;
   5  ;   1  ;  S   ;LEVE   ;   7  ; M. DE MORAES ;  1774.72 ;  1895.00 ; M ; PROIB ;        0.00 ;      0.00 ;                   ;      17.96 ;
   5  ;   1  ;  S   ;LEVE   ;  14  ; CACONDE      ;   304.53 ;   363.98 ; M ; PROIB ;        0.00 ;      0.00 ;                   ;       0.00 ;
   5  ;   1  ;  S   ;LEVE   ;  24  ; EMBORCACAO   ; 11665.15 ; 10626.45 ; M ; LIBER ;     1039.58 ;      0.00 ;                   ;       0.88 ;
   5  ;   1  ;  S   ;LEVE   ;  25  ; NOVA PONTE   ; 10037.60 ;  5500.05 ; M ; LIBER ;     4539.74 ;      0.00 ;                   ;       2.20 ;
   5  ;   1  ;  S   ;LEVE   ;  26  ; MIRANDA      ;  1120.15 ;   975.00 ; M ; LIBER ;      148.48 ;      0.00 ;                   ;       1.25 ;
   5  ;   1  ;  S   ;LEVE   ;  30  ; CORUMBA I    ;  1128.70 ;   739.04 ; M ; LIBER ;      390.73 ;      0.00 ;                   ;       1.07 ;
   5  ;   1  ;  S   ;LEVE   ;  31  ; ITUMBIARA    ; 11309.88 ;  6915.60 ; M ; LIBER ;     4411.26 ;      0.00 ;                   ;       8.73 ;
   5  ;   1  ;  S   ;LEVE   ;  33  ; SAO SIMAO    ; 11726.08 ;  7000.00 ; M ; LIBER ;     4722.13 ;      0.00 ;                   ;     -13.00 ;
   6  ;   1  ;  S   ;LEVE   ;   6  ; FURNAS       ;  7498.05 ;  6173.76 ; M ; LIBER ;     1326.13 ;      0.00 ;                   ;       1.84 ;
   6  ;   1  ;  S   ;LEVE   ;   7  ; M. DE MORAES ;  1771.66 ;  1895.00 ; M ; PROIB ;        0.00 ;      0.00 ;                   ;      21.56 ;
   6  ;   1  ;  S   ;LEVE   ;  14  ; CACONDE      ;   304.84 ;   363.98 ; M ; PROIB ;        0.00 ;      0.00 ;                   ;       0.00 ;
   6  ;   1  ;  S   ;LEVE   ;  24  ; EMBORCACAO   ; 11667.39 ; 10626.45 ; M ; LIBER ;     1042.00 ;      0.00 ;                   ;       1.07 ;
   6  ;   1  ;  S   ;LEVE   ;  25  ; NOVA PONTE   ; 10039.23 ;  5500.05 ; M ; LIBER ;     4541.52 ;      0.00 ;                   ;       2.34 ;
   6  ;   1  ;  S   ;LEVE   ;  26  ; MIRANDA      ;  1121.47 ;   975.00 ; M ; LIBER ;      148.76 ;      0.00 ;                   ;       0.21 ;
   6  ;   1  ;  S   ;LEVE   ;  30  ; CORUMBA I    ;  1130.82 ;   739.04 ; M ; LIBER ;      393.11 ;      0.00 ;                   ;       1.33 ;
   6  ;   1  ;  S   ;LEVE   ;  31  ; ITUMBIARA    ; 11311.88 ;  6915.60 ; M ; LIBER ;     4412.86 ;      0.00 ;                   ;       8.32 ;
