***********************************************************************
*                                                                     *
*            CEPEL - CENTRO DE PESQUISAS DE ENERGIA ELETRICA          *
*  MODELO DESSEM     - VERSAO 19.0.14.1.3 - Marco de 2021 (CPLEX) (ACADEMICA)        *
*                                                                     *
***********************************************************************


   PROGRAMA LICENCIADO PARA CEMEAI                                                                                                                                                


____________________________________________________________________

  te  caso exemplo - sistema reduzido                                            - Data do Caso: 06/01/2017                                                       
____________________________________________________________________


 Problemas no Tratamento da Soleria do Desvio                                                       

------;------;------;-------;------;--------------;----------;----------;---;-------;-------------;-----------;-------------------;------------;
 IPER ; ITER ; IDES ;  Pat  ; USIH ;     Nome     ;  Vdisp.  ;  VolSol. ;Reg;   Tratamento PL    ;;   Vert    ;     Problema      ; Delta Vdisp;
   -  ;   -  ;   -  ;   -   ;   -  ;      -       ; ( Total  -   hm3 )  ;   ;Status ;Vertmax(hm3);;   (m3/s)  ;         -         ;   (hm3)    ;
------;------;------;-------;------;--------------;----------;----------;---;-------;-------------;-----------;-------------------;------------;
  15  ;   1  ;  S   ;MEDIA  ;  33  ; SAO SIMAO    ; 11795.14 ;  7000.00 ; M ; LIBER ;     4763.53 ;      0.00 ;                   ;     -40.66 ;
  16  ;   1  ;  S   ;MEDIA  ;   6  ; FURNAS       ;  7540.87 ;  6173.76 ; M ; LIBER ;     1372.75 ;      0.00 ;                   ;       5.64 ;
  16  ;   1  ;  S   ;MEDIA  ;   7  ; M. DE MORAES ;  1741.09 ;  1895.00 ; M ; PROIB ;        0.00 ;      0.00 ;                   ;      57.49 ;
  16  ;   1  ;  S   ;MEDIA  ;  14  ; CACONDE      ;   307.57 ;   363.98 ; M ; PROIB ;        0.00 ;      0.00 ;                   ;       0.33 ;
  16  ;   1  ;  S   ;MEDIA  ;  24  ; EMBORCACAO   ; 11683.72 ; 10626.45 ; M ; LIBER ;     1066.16 ;      0.00 ;                   ;       8.89 ;
  16  ;   1  ;  S   ;MEDIA  ;  25  ; NOVA PONTE   ; 10045.87 ;  5500.05 ; M ; LIBER ;     4559.27 ;      0.00 ;                   ;      13.45 ;
  16  ;   1  ;  S   ;MEDIA  ;  26  ; MIRANDA      ;  1122.07 ;   975.00 ; M ; LIBER ;      151.57 ;      0.00 ;                   ;       2.42 ;
  16  ;   1  ;  S   ;MEDIA  ;  30  ; CORUMBA I    ;  1151.95 ;   739.04 ; M ; LIBER ;      416.91 ;      0.00 ;                   ;       4.00 ;
  16  ;   1  ;  S   ;MEDIA  ;  31  ; ITUMBIARA    ; 11307.52 ;  6915.60 ; M ; LIBER ;     4428.85 ;      0.00 ;                   ;      28.67 ;
  16  ;   1  ;  S   ;MEDIA  ;  33  ; SAO SIMAO    ; 11801.91 ;  7000.00 ; M ; LIBER ;     4767.67 ;      0.00 ;                   ;     -43.29 ;
  17  ;   1  ;  S   ;MEDIA  ;   6  ; FURNAS       ;  7545.16 ;  6173.76 ; M ; LIBER ;     1377.42 ;      0.00 ;                   ;       6.01 ;
  17  ;   1  ;  S   ;MEDIA  ;   7  ; M. DE MORAES ;  1738.03 ;  1895.00 ; M ; PROIB ;        0.00 ;      0.00 ;                   ;      61.09 ;
  17  ;   1  ;  S   ;MEDIA  ;  14  ; CACONDE      ;   307.87 ;   363.98 ; M ; PROIB ;        0.00 ;      0.00 ;                   ;       0.33 ;
  17  ;   1  ;  S   ;MEDIA  ;  24  ; EMBORCACAO   ; 11684.98 ; 10626.45 ; M ; LIBER ;     1068.57 ;      0.00 ;                   ;      10.04 ;
  17  ;   1  ;  S   ;MEDIA  ;  25  ; NOVA PONTE   ; 10045.85 ;  5500.05 ; M ; LIBER ;     4561.04 ;      0.00 ;                   ;      15.24 ;
  17  ;   1  ;  S   ;MEDIA  ;  26  ; MIRANDA      ;  1121.81 ;   975.00 ; M ; LIBER ;      151.85 ;      0.00 ;                   ;       2.96 ;
  17  ;   1  ;  S   ;MEDIA  ;  30  ; CORUMBA I    ;  1154.06 ;   739.04 ; M ; LIBER ;      419.29 ;      0.00 ;                   ;       4.26 ;
  17  ;   1  ;  S   ;MEDIA  ;  31  ; ITUMBIARA    ; 11307.88 ;  6915.60 ; M ; LIBER ;     4430.44 ;      0.00 ;                   ;      29.90 ;
  17  ;   1  ;  S   ;MEDIA  ;  33  ; SAO SIMAO    ; 11808.30 ;  7000.00 ; M ; LIBER ;     4771.81 ;      0.00 ;                   ;     -45.54 ;
  18  ;   1  ;  S   ;MEDIA  ;   6  ; FURNAS       ;  7549.46 ;  6173.76 ; M ; LIBER ;     1382.08 ;      0.00 ;                   ;       6.37 ;
  18  ;   1  ;  S   ;MEDIA  ;   7  ; M. DE MORAES ;  1734.98 ;  1895.00 ; M ; PROIB ;        0.00 ;      0.00 ;                   ;      64.68 ;
  18  ;   1  ;  S   ;MEDIA  ;  14  ; CACONDE      ;   308.18 ;   363.98 ; M ; PROIB ;        0.00 ;      0.00 ;                   ;       0.33 ;
  18  ;   1  ;  S   ;MEDIA  ;  24  ; EMBORCACAO   ; 11686.08 ; 10626.45 ; M ; LIBER ;     1070.99 ;      0.00 ;                   ;      11.36 ;
  18  ;   1  ;  S   ;MEDIA  ;  25  ; NOVA PONTE   ; 10045.84 ;  5500.05 ; M ; LIBER ;     4562.82 ;      0.00 ;                   ;      17.03 ;
  18  ;   1  ;  S   ;MEDIA  ;  26  ; MIRANDA      ;  1121.55 ;   975.00 ; M ; LIBER ;      152.13 ;      0.00 ;                   ;       3.51 ;
  18  ;   1  ;  S   ;MEDIA  ;  30  ; CORUMBA I    ;  1156.17 ;   739.04 ; M ; LIBER ;      421.67 ;      0.00 ;                   ;       4.53 ;
  18  ;   1  ;  S   ;MEDIA  ;  31  ; ITUMBIARA    ; 11307.62 ;  6915.60 ; M ; LIBER ;     4432.04 ;      0.00 ;                   ;      31.77 ;
  18  ;   1  ;  S   ;MEDIA  ;  33  ; SAO SIMAO    ; 11814.53 ;  7000.00 ; M ; LIBER ;     4775.95 ;      0.00 ;                   ;     -47.63 ;
  19  ;   1  ;  S   ;MEDIA  ;   6  ; FURNAS       ;  7553.75 ;  6173.76 ; M ; LIBER ;     1386.74 ;      0.00 ;                   ;       6.74 ;
  19  ;   1  ;  S   ;MEDIA  ;   7  ; M. DE MORAES ;  1732.09 ;  1895.00 ; M ; PROIB ;        0.00 ;      0.00 ;                   ;      68.10 ;
  19  ;   1  ;  S   ;MEDIA  ;  14  ; CACONDE      ;   308.16 ;   363.98 ; M ; PROIB ;        0.00 ;      0.00 ;                   ;       0.66 ;
  19  ;   1  ;  S   ;MEDIA  ;  24  ; EMBORCACAO   ; 11686.86 ; 10626.45 ; M ; LIBER ;     1073.40 ;      0.00 ;                   ;      12.99 ;
  19  ;   1  ;  S   ;MEDIA  ;  25  ; NOVA PONTE   ; 10045.82 ;  5500.05 ; M ; LIBER ;     4564.59 ;      0.00 ;                   ;      18.82 ;
  19  ;   1  ;  S   ;MEDIA  ;  26  ; MIRANDA      ;  1122.07 ;   975.00 ; M ; LIBER ;      152.41 ;      0.00 ;                   ;       3.26 ;
  19  ;   1  ;  S   ;MEDIA  ;  30  ; CORUMBA I    ;  1158.29 ;   739.04 ; M ; LIBER ;      424.05 ;      0.00 ;                   ;       4.80 ;
  19  ;   1  ;  S   ;MEDIA  ;  31  ; ITUMBIARA    ; 11307.43 ;  6915.60 ; M ; LIBER ;     4433.64 ;      0.00 ;                   ;      33.55 ;
  19  ;   1  ;  S   ;MEDIA  ;  33  ; SAO SIMAO    ; 11820.80 ;  7000.00 ; M ; LIBER ;     4780.09 ;      0.00 ;                   ;     -49.76 ;
  20  ;   1  ;  S   ;MEDIA  ;   6  ; FURNAS       ;  7557.74 ;  6173.76 ; M ; LIBER ;     1391.40 ;      0.00 ;                   ;       7.42 ;
  20  ;   1  ;  S   ;MEDIA  ;   7  ; M. DE MORAES ;  1730.87 ;  1895.00 ; M ; PROIB ;        0.00 ;      0.00 ;                   ;      69.85 ;
  20  ;   1  ;  S   ;MEDIA  ;  14  ; CACONDE      ;   308.13 ;   363.98 ; M ; PROIB ;        0.00 ;      0.00 ;                   ;       0.99 ;
  20  ;   1  ;  S   ;MEDIA  ;  24  ; EMBORCACAO   ; 11687.96 ; 10626.45 ; M ; LIBER ;     1075.82 ;      0.00 ;                   ;      14.31 ;
  20  ;   1  ;  S   ;MEDIA  ;  25  ; NOVA PONTE   ; 10045.81 ;  5500.05 ; M ; LIBER ;     4566.37 ;      0.00 ;                   ;      20.61 ;
  20  ;   1  ;  S   ;MEDIA  ;  26  ; MIRANDA      ;  1122.07 ;   975.00 ; M ; LIBER ;      152.69 ;      0.00 ;                   ;       3.54 ;
  20  ;   1  ;  S   ;MEDIA  ;  30  ; CORUMBA I    ;  1160.40 ;   739.04 ; M ; LIBER ;      426.43 ;      0.00 ;                   ;       5.06 ;
  20  ;   1  ;  S   ;MEDIA  ;  31  ; ITUMBIARA    ; 11309.56 ;  6915.60 ; M ; LIBER ;     4435.24 ;      0.00 ;                   ;      33.03 ;
  20  ;   1  ;  S   ;MEDIA  ;  33  ; SAO SIMAO    ; 11824.29 ;  7000.00 ; M ; LIBER ;     4784.23 ;      0.00 ;                   ;     -49.11 ;
  21  ;   1  ;  S   ;PESADA ;   6  ; FURNAS       ;  7560.07 ;  6173.76 ; M ; LIBER ;     1396.06 ;      0.00 ;                   ;       9.75 ;
  21  ;   1  ;  S   ;PESADA ;   7  ; M. DE MORAES ;  2186.96 ;  1895.00 ; M ; PROIB ;        0.00 ;      0.00 ; PROIB. VERTIMENTO ;    -385.69 ;
  21  ;   1  ;  S   ;PESADA ;  14  ; CACONDE      ;   308.11 ;   363.98 ; M ; PROIB ;        0.00 ;      0.00 ;                   ;       1.32 ;
  21  ;   1  ;  S   ;PESADA ;  24  ; EMBORCACAO   ; 11686.93 ; 10626.45 ; M ; LIBER ;     1078.23 ;      0.00 ;                   ;      17.76 ;
  21  ;   1  ;  S   ;PESADA ;  25  ; NOVA PONTE   ; 10045.79 ;  5500.05 ; M ; LIBER ;     4568.14 ;      0.00 ;                   ;      22.40 ;
  21  ;   1  ;  S   ;PESADA ;  26  ; MIRANDA      ;  1121.81 ;   975.00 ; M ; LIBER ;      152.97 ;      0.00 ;                   ;       4.09 ;
  21  ;   1  ;  S   ;PESADA ;  30  ; CORUMBA I    ;  1162.51 ;   739.04 ; M ; LIBER ;      428.81 ;      0.00 ;                   ;       5.33 ;
  21  ;   1  ;  S   ;PESADA ;  31  ; ITUMBIARA    ; -3252.11 ;  6915.60 ; M ; LIBER ;     4436.84 ;      0.00 ;                   ;   14596.29 ;
  21  ;   1  ;  S   ;PESADA ;  33  ; SAO SIMAO    ; 22526.52 ;  7000.00 ; M ; LIBER ;     4788.37 ;      0.00 ;                   ;  -10747.20 ;
  22  ;   1  ;  S   ;MEDIA  ;   6  ; FURNAS       ;  7105.09 ;  6173.76 ; M ; LIBER ;     1400.73 ;      0.00 ;                   ;     469.39 ;
  22  ;   1  ;  S   ;MEDIA  ;   7  ; M. DE MORAES ;  2187.26 ;  1895.00 ; M ; PROIB ;        0.00 ;      0.00 ; PROIB. VERTIMENTO ;    -385.46 ;
  22  ;   1  ;  S   ;MEDIA  ;  14  ; CACONDE      ;   308.09 ;   363.98 ; M ; PROIB ;        0.00 ;      0.00 ;                   ;       1.64 ;
  22  ;   1  ;  S   ;MEDIA  ;  24  ; EMBORCACAO   ; 11686.94 ; 10626.45 ; M ; LIBER ;     1080.65 ;      0.00 ;                   ;      20.16 ;
  22  ;   1  ;  S   ;MEDIA  ;  25  ; NOVA PONTE   ; 10045.77 ;  5500.05 ; M ; LIBER ;     4569.92 ;      0.00 ;                   ;      24.19 ;
  22  ;   1  ;  S   ;MEDIA  ;  26  ; MIRANDA      ;  1121.55 ;   975.00 ; M ; LIBER ;      153.25 ;      0.00 ;                   ;       4.63 ;
  22  ;   1  ;  S   ;MEDIA  ;  30  ; CORUMBA I    ; 15729.44 ;   739.04 ; M ; LIBER ;      431.19 ;      0.00 ;                   ;  -14559.22 ;
  22  ;   1  ;  S   ;MEDIA  ;  31  ; ITUMBIARA    ; ******** ;  6915.60 ; M ; LIBER ;     4438.44 ;      0.00 ;                   ;   25295.32 ;
  22  ;   1  ;  S   ;MEDIA  ;  33  ; SAO SIMAO    ; 22500.93 ;  7000.00 ; M ; LIBER ;     4792.51 ;      0.00 ;                   ;  -10717.47 ;
  23  ;   1  ;  S   ;MEDIA  ;   6  ; FURNAS       ;  7105.90 ;  6173.76 ; M ; LIBER ;     1405.39 ;      0.00 ;                   ;     473.25 ;
  23  ;   1  ;  S   ;MEDIA  ;   7  ; M. DE MORAES ;  2184.86 ;  1895.00 ; M ; PROIB ;        0.00 ;      0.00 ; PROIB. VERTIMENTO ;    -382.53 ;
  23  ;   1  ;  S   ;MEDIA  ;  14  ; CACONDE      ;   308.07 ;   363.98 ; M ; PROIB ;        0.00 ;      0.00 ;                   ;       1.97 ;
  23  ;   1  ;  S   ;MEDIA  ;  24  ; EMBORCACAO   ; 11690.52 ; 10626.45 ; M ; LIBER ;     1083.07 ;      0.00 ;                   ;      18.99 ;
  23  ;   1  ;  S   ;MEDIA  ;  25  ; NOVA PONTE   ; 10045.76 ;  5500.05 ; M ; LIBER ;     4571.69 ;      0.00 ;                   ;      25.98 ;
  23  ;   1  ;  S   ;MEDIA  ;  26  ; MIRANDA      ;  1121.29 ;   975.00 ; M ; LIBER ;      153.53 ;      0.00 ;                   ;       5.17 ;
  23  ;   1  ;  S   ;MEDIA  ;  30  ; CORUMBA I    ; 15729.82 ;   739.04 ; M ; LIBER ;      433.56 ;      0.00 ;                   ;  -14557.22 ;
  23  ;   1  ;  S   ;MEDIA  ;  31  ; ITUMBIARA    ; ******** ;  6915.60 ; M ; LIBER ;     4440.03 ;      0.00 ;                   ;   25297.36 ;
  23  ;   1  ;  S   ;MEDIA  ;  33  ; SAO SIMAO    ; 22504.90 ;  7000.00 ; M ; LIBER ;     4796.65 ;      0.00 ;                   ;  -10717.30 ;
  24  ;   1  ;  S   ;MEDIA  ;   6  ; FURNAS       ;  7109.40 ;  6173.76 ; M ; LIBER ;     1410.05 ;      0.00 ;                   ;     474.40 ;
  24  ;   1  ;  S   ;MEDIA  ;   7  ; M. DE MORAES ;  2181.81 ;  1895.00 ; M ; PROIB ;        0.00 ;      0.00 ; PROIB. VERTIMENTO ;    -378.93 ;
  24  ;   1  ;  S   ;MEDIA  ;  14  ; CACONDE      ;   308.37 ;   363.98 ; M ; PROIB ;        0.00 ;      0.00 ;                   ;       1.97 ;
  24  ;   1  ;  S   ;MEDIA  ;  24  ; EMBORCACAO   ; 11693.06 ; 10626.45 ; M ; LIBER ;     1085.48 ;      0.00 ;                   ;      18.88 ;
  24  ;   1  ;  S   ;MEDIA  ;  25  ; NOVA PONTE   ; 10045.74 ;  5500.05 ; M ; LIBER ;     4573.47 ;      0.00 ;                   ;      27.77 ;
  24  ;   1  ;  S   ;MEDIA  ;  26  ; MIRANDA      ;  1121.02 ;   975.00 ; M ; LIBER ;      153.81 ;      0.00 ;                   ;       5.72 ;
  24  ;   1  ;  S   ;MEDIA  ;  30  ; CORUMBA I    ; 15730.19 ;   739.04 ; M ; LIBER ;      435.94 ;      0.00 ;                   ;  -14555.21 ;
  24  ;   1  ;  S   ;MEDIA  ;  31  ; ITUMBIARA    ; ******** ;  6915.60 ; M ; LIBER ;     4441.63 ;      0.00 ;                   ;   25298.57 ;
  24  ;   1  ;  S   ;MEDIA  ;  33  ; SAO SIMAO    ; 22508.72 ;  7000.00 ; M ; LIBER ;     4800.79 ;      0.00 ;                   ;  -10716.98 ;
