***********************************************************************
*                                                                     *
*            CEPEL - CENTRO DE PESQUISAS DE ENERGIA ELETRICA          *
*  MODELO DESSEM     - VERSAO 19.0.14.1.3 - Marco de 2021 (CPLEX) (ACADEMICA)        *
*                                                                     *
***********************************************************************


   PROGRAMA LICENCIADO PARA CEMEAI                                                                                                                                                


____________________________________________________________________

  te  caso exemplo - sistema reduzido                                            - Data do Caso: 06/01/2017                                                       
____________________________________________________________________



CUSTO MARGINAL DE OPERACAO  ($/MWh) / barra / hora

------;-------;-------;-------------;-------;-------------;
 IPER ; Pat   ; BAR   ; Nome        ; Sist  ;    Cmarg    ;
------;-------;-------;-------------;-------;-------------;
   3  ; LEVE  ;    24 ;    BARRA24  ;  S2   ;      219.97 ;
   4  ; LEVE  ;     1 ;    BARRA01  ;  S1   ;      219.97 ;
   4  ; LEVE  ;     2 ;    BARRA02  ;  S1   ;      219.97 ;
   4  ; LEVE  ;     3 ;    BARRA03  ;  S1   ;      219.97 ;
   4  ; LEVE  ;     4 ;    BARRA04  ;  S1   ;      219.97 ;
   4  ; LEVE  ;     5 ;    BARRA05  ;  S1   ;      219.97 ;
   4  ; LEVE  ;     6 ;    BARRA06  ;  S1   ;      219.97 ;
   4  ; LEVE  ;     7 ;    BARRA07  ;  S1   ;      219.97 ;
   4  ; LEVE  ;     8 ;    BARRA08  ;  S1   ;      219.97 ;
   4  ; LEVE  ;     9 ;    BARRA09  ;  S1   ;      219.97 ;
   4  ; LEVE  ;    10 ;    BARRA10  ;  S1   ;      219.97 ;
   4  ; LEVE  ;    11 ;    BARRA11  ;  S1   ;      219.97 ;
   4  ; LEVE  ;    12 ;    BARRA12  ;  S1   ;      219.97 ;
   4  ; LEVE  ;    13 ;    BARRA13  ;  S1   ;      219.97 ;
   4  ; LEVE  ;    14 ;    BARRA14  ;  S2   ;      219.97 ;
   4  ; LEVE  ;    15 ;    BARRA15  ;  S2   ;      219.97 ;
   4  ; LEVE  ;    16 ;    BARRA16  ;  S2   ;      219.97 ;
   4  ; LEVE  ;    17 ;    BARRA17  ;  S2   ;      219.97 ;
   4  ; LEVE  ;    18 ;    BARRA18  ;  S2   ;      219.97 ;
   4  ; LEVE  ;    19 ;    BARRA19  ;  S2   ;      219.97 ;
   4  ; LEVE  ;    20 ;    BARRA20  ;  S2   ;      219.97 ;
   4  ; LEVE  ;    21 ;    BARRA21  ;  S2   ;      219.97 ;
   4  ; LEVE  ;    22 ;    BARRA22  ;  S2   ;      219.97 ;
   4  ; LEVE  ;    23 ;    BARRA23  ;  S2   ;      219.97 ;
   4  ; LEVE  ;    24 ;    BARRA24  ;  S2   ;      219.97 ;
   5  ; LEVE  ;     1 ;    BARRA01  ;  S1   ;      213.71 ;
   5  ; LEVE  ;     2 ;    BARRA02  ;  S1   ;      213.71 ;
   5  ; LEVE  ;     3 ;    BARRA03  ;  S1   ;      213.71 ;
   5  ; LEVE  ;     4 ;    BARRA04  ;  S1   ;      213.71 ;
   5  ; LEVE  ;     5 ;    BARRA05  ;  S1   ;      213.71 ;
   5  ; LEVE  ;     6 ;    BARRA06  ;  S1   ;      213.71 ;
   5  ; LEVE  ;     7 ;    BARRA07  ;  S1   ;      213.71 ;
   5  ; LEVE  ;     8 ;    BARRA08  ;  S1   ;      213.71 ;
   5  ; LEVE  ;     9 ;    BARRA09  ;  S1   ;      213.71 ;
   5  ; LEVE  ;    10 ;    BARRA10  ;  S1   ;      213.71 ;
   5  ; LEVE  ;    11 ;    BARRA11  ;  S1   ;      213.71 ;
   5  ; LEVE  ;    12 ;    BARRA12  ;  S1   ;      213.71 ;
   5  ; LEVE  ;    13 ;    BARRA13  ;  S1   ;      213.71 ;
   5  ; LEVE  ;    14 ;    BARRA14  ;  S2   ;      213.71 ;
   5  ; LEVE  ;    15 ;    BARRA15  ;  S2   ;      213.71 ;
   5  ; LEVE  ;    16 ;    BARRA16  ;  S2   ;      213.71 ;
   5  ; LEVE  ;    17 ;    BARRA17  ;  S2   ;      213.71 ;
   5  ; LEVE  ;    18 ;    BARRA18  ;  S2   ;      213.71 ;
   5  ; LEVE  ;    19 ;    BARRA19  ;  S2   ;      213.71 ;
   5  ; LEVE  ;    20 ;    BARRA20  ;  S2   ;      213.71 ;
   5  ; LEVE  ;    21 ;    BARRA21  ;  S2   ;      213.71 ;
   5  ; LEVE  ;    22 ;    BARRA22  ;  S2   ;      213.71 ;
   5  ; LEVE  ;    23 ;    BARRA23  ;  S2   ;      213.71 ;
   5  ; LEVE  ;    24 ;    BARRA24  ;  S2   ;      213.71 ;
   6  ; LEVE  ;     1 ;    BARRA01  ;  S1   ;      225.19 ;
   6  ; LEVE  ;     2 ;    BARRA02  ;  S1   ;      225.24 ;
   6  ; LEVE  ;     3 ;    BARRA03  ;  S1   ;      223.63 ;
