***********************************************************************
*                                                                     *
*            CEPEL - CENTRO DE PESQUISAS DE ENERGIA ELETRICA          *
*  MODELO DESSEM     - VERSAO 19.0.14.1.3 - Marco de 2021 (CPLEX) (ACADEMICA)        *
*                                                                     *
***********************************************************************


   PROGRAMA LICENCIADO PARA CEMEAI                                                                                                                                                


____________________________________________________________________

  te  caso exemplo - sistema reduzido                                            - Data do Caso: 06/01/2017                                                       
____________________________________________________________________



CUSTO MARGINAL DE OPERACAO  ($/MWh) / barra / hora

------;-------;-------;-------------;-------;-------------;
 IPER ; Pat   ; BAR   ; Nome        ; Sist  ;    Cmarg    ;
------;-------;-------;-------------;-------;-------------;
  13  ; MEDIA ;    20 ;    BARRA20  ;  S2   ;      227.98 ;
  13  ; MEDIA ;    21 ;    BARRA21  ;  S2   ;      220.13 ;
  13  ; MEDIA ;    22 ;    BARRA22  ;  S2   ;      219.98 ;
  13  ; MEDIA ;    23 ;    BARRA23  ;  S2   ;      227.68 ;
  13  ; MEDIA ;    24 ;    BARRA24  ;  S2   ;      221.70 ;
  14  ; MEDIA ;     1 ;    BARRA01  ;  S1   ;      226.09 ;
  14  ; MEDIA ;     2 ;    BARRA02  ;  S1   ;      226.11 ;
  14  ; MEDIA ;     3 ;    BARRA03  ;  S1   ;      225.35 ;
  14  ; MEDIA ;     4 ;    BARRA04  ;  S1   ;      226.18 ;
  14  ; MEDIA ;     5 ;    BARRA05  ;  S1   ;      226.24 ;
  14  ; MEDIA ;     6 ;    BARRA06  ;  S1   ;      226.33 ;
  14  ; MEDIA ;     7 ;    BARRA07  ;  S1   ;      226.32 ;
  14  ; MEDIA ;     8 ;    BARRA08  ;  S1   ;      226.32 ;
  14  ; MEDIA ;     9 ;    BARRA09  ;  S1   ;      226.23 ;
  14  ; MEDIA ;    10 ;    BARRA10  ;  S1   ;      226.40 ;
  14  ; MEDIA ;    11 ;    BARRA11  ;  S1   ;      226.34 ;
  14  ; MEDIA ;    12 ;    BARRA12  ;  S1   ;      226.76 ;
  14  ; MEDIA ;    13 ;    BARRA13  ;  S1   ;      226.79 ;
  14  ; MEDIA ;    14 ;    BARRA14  ;  S2   ;      225.96 ;
  14  ; MEDIA ;    15 ;    BARRA15  ;  S2   ;      223.87 ;
  14  ; MEDIA ;    16 ;    BARRA16  ;  S2   ;      225.61 ;
  14  ; MEDIA ;    17 ;    BARRA17  ;  S2   ;      218.52 ;
  14  ; MEDIA ;    18 ;    BARRA18  ;  S2   ;      219.90 ;
  14  ; MEDIA ;    19 ;    BARRA19  ;  S2   ;      228.29 ;
  14  ; MEDIA ;    20 ;    BARRA20  ;  S2   ;      227.90 ;
  14  ; MEDIA ;    21 ;    BARRA21  ;  S2   ;      221.15 ;
  14  ; MEDIA ;    22 ;    BARRA22  ;  S2   ;      220.12 ;
  14  ; MEDIA ;    23 ;    BARRA23  ;  S2   ;      227.68 ;
  14  ; MEDIA ;    24 ;    BARRA24  ;  S2   ;      224.44 ;
  15  ; MEDIA ;     1 ;    BARRA01  ;  S1   ;      226.09 ;
  15  ; MEDIA ;     2 ;    BARRA02  ;  S1   ;      226.11 ;
  15  ; MEDIA ;     3 ;    BARRA03  ;  S1   ;      225.35 ;
  15  ; MEDIA ;     4 ;    BARRA04  ;  S1   ;      226.18 ;
  15  ; MEDIA ;     5 ;    BARRA05  ;  S1   ;      226.24 ;
  15  ; MEDIA ;     6 ;    BARRA06  ;  S1   ;      226.33 ;
  15  ; MEDIA ;     7 ;    BARRA07  ;  S1   ;      226.32 ;
  15  ; MEDIA ;     8 ;    BARRA08  ;  S1   ;      226.32 ;
  15  ; MEDIA ;     9 ;    BARRA09  ;  S1   ;      226.23 ;
  15  ; MEDIA ;    10 ;    BARRA10  ;  S1   ;      226.40 ;
  15  ; MEDIA ;    11 ;    BARRA11  ;  S1   ;      226.34 ;
  15  ; MEDIA ;    12 ;    BARRA12  ;  S1   ;      226.76 ;
  15  ; MEDIA ;    13 ;    BARRA13  ;  S1   ;      226.79 ;
  15  ; MEDIA ;    14 ;    BARRA14  ;  S2   ;      225.96 ;
  15  ; MEDIA ;    15 ;    BARRA15  ;  S2   ;      223.87 ;
  15  ; MEDIA ;    16 ;    BARRA16  ;  S2   ;      225.61 ;
  15  ; MEDIA ;    17 ;    BARRA17  ;  S2   ;      218.52 ;
  15  ; MEDIA ;    18 ;    BARRA18  ;  S2   ;      219.90 ;
  15  ; MEDIA ;    19 ;    BARRA19  ;  S2   ;      228.29 ;
  15  ; MEDIA ;    20 ;    BARRA20  ;  S2   ;      227.90 ;
  15  ; MEDIA ;    21 ;    BARRA21  ;  S2   ;      221.15 ;
  15  ; MEDIA ;    22 ;    BARRA22  ;  S2   ;      220.12 ;
  15  ; MEDIA ;    23 ;    BARRA23  ;  S2   ;      227.68 ;
  15  ; MEDIA ;    24 ;    BARRA24  ;  S2   ;      224.44 ;
  16  ; MEDIA ;     1 ;    BARRA01  ;  S1   ;      226.09 ;
  16  ; MEDIA ;     2 ;    BARRA02  ;  S1   ;      226.11 ;
  16  ; MEDIA ;     3 ;    BARRA03  ;  S1   ;      225.35 ;
  16  ; MEDIA ;     4 ;    BARRA04  ;  S1   ;      226.18 ;
  16  ; MEDIA ;     5 ;    BARRA05  ;  S1   ;      226.24 ;
  16  ; MEDIA ;     6 ;    BARRA06  ;  S1   ;      226.33 ;
  16  ; MEDIA ;     7 ;    BARRA07  ;  S1   ;      226.32 ;
  16  ; MEDIA ;     8 ;    BARRA08  ;  S1   ;      226.32 ;
  16  ; MEDIA ;     9 ;    BARRA09  ;  S1   ;      226.23 ;
  16  ; MEDIA ;    10 ;    BARRA10  ;  S1   ;      226.40 ;
  16  ; MEDIA ;    11 ;    BARRA11  ;  S1   ;      226.34 ;
  16  ; MEDIA ;    12 ;    BARRA12  ;  S1   ;      226.76 ;
  16  ; MEDIA ;    13 ;    BARRA13  ;  S1   ;      226.79 ;
  16  ; MEDIA ;    14 ;    BARRA14  ;  S2   ;      225.96 ;
  16  ; MEDIA ;    15 ;    BARRA15  ;  S2   ;      223.87 ;
  16  ; MEDIA ;    16 ;    BARRA16  ;  S2   ;      225.61 ;
  16  ; MEDIA ;    17 ;    BARRA17  ;  S2   ;      218.52 ;
  16  ; MEDIA ;    18 ;    BARRA18  ;  S2   ;      219.90 ;
  16  ; MEDIA ;    19 ;    BARRA19  ;  S2   ;      228.29 ;
  16  ; MEDIA ;    20 ;    BARRA20  ;  S2   ;      227.90 ;
  16  ; MEDIA ;    21 ;    BARRA21  ;  S2   ;      221.15 ;
  16  ; MEDIA ;    22 ;    BARRA22  ;  S2   ;      220.12 ;
  16  ; MEDIA ;    23 ;    BARRA23  ;  S2   ;      227.68 ;
  16  ; MEDIA ;    24 ;    BARRA24  ;  S2   ;      224.44 ;
  17  ; MEDIA ;     1 ;    BARRA01  ;  S1   ;      226.09 ;
  17  ; MEDIA ;     2 ;    BARRA02  ;  S1   ;      226.11 ;
  17  ; MEDIA ;     3 ;    BARRA03  ;  S1   ;      225.35 ;
  17  ; MEDIA ;     4 ;    BARRA04  ;  S1   ;      226.18 ;
  17  ; MEDIA ;     5 ;    BARRA05  ;  S1   ;      226.24 ;
  17  ; MEDIA ;     6 ;    BARRA06  ;  S1   ;      226.33 ;
  17  ; MEDIA ;     7 ;    BARRA07  ;  S1   ;      226.32 ;
  17  ; MEDIA ;     8 ;    BARRA08  ;  S1   ;      226.32 ;
  17  ; MEDIA ;     9 ;    BARRA09  ;  S1   ;      226.23 ;
  17  ; MEDIA ;    10 ;    BARRA10  ;  S1   ;      226.40 ;
  17  ; MEDIA ;    11 ;    BARRA11  ;  S1   ;      226.34 ;
  17  ; MEDIA ;    12 ;    BARRA12  ;  S1   ;      226.76 ;
  17  ; MEDIA ;    13 ;    BARRA13  ;  S1   ;      226.79 ;
  17  ; MEDIA ;    14 ;    BARRA14  ;  S2   ;      225.96 ;
  17  ; MEDIA ;    15 ;    BARRA15  ;  S2   ;      223.87 ;
  17  ; MEDIA ;    16 ;    BARRA16  ;  S2   ;      225.61 ;
  17  ; MEDIA ;    17 ;    BARRA17  ;  S2   ;      218.52 ;
  17  ; MEDIA ;    18 ;    BARRA18  ;  S2   ;      219.90 ;
  17  ; MEDIA ;    19 ;    BARRA19  ;  S2   ;      228.29 ;
  17  ; MEDIA ;    20 ;    BARRA20  ;  S2   ;      227.90 ;
  17  ; MEDIA ;    21 ;    BARRA21  ;  S2   ;      221.15 ;
  17  ; MEDIA ;    22 ;    BARRA22  ;  S2   ;      220.12 ;
  17  ; MEDIA ;    23 ;    BARRA23  ;  S2   ;      227.68 ;
  17  ; MEDIA ;    24 ;    BARRA24  ;  S2   ;      224.44 ;
  18  ; MEDIA ;     1 ;    BARRA01  ;  S1   ;      226.09 ;
  18  ; MEDIA ;     2 ;    BARRA02  ;  S1   ;      226.11 ;
  18  ; MEDIA ;     3 ;    BARRA03  ;  S1   ;      225.35 ;
  18  ; MEDIA ;     4 ;    BARRA04  ;  S1   ;      226.18 ;
  18  ; MEDIA ;     5 ;    BARRA05  ;  S1   ;      226.24 ;
  18  ; MEDIA ;     6 ;    BARRA06  ;  S1   ;      226.33 ;
  18  ; MEDIA ;     7 ;    BARRA07  ;  S1   ;      226.32 ;
  18  ; MEDIA ;     8 ;    BARRA08  ;  S1   ;      226.32 ;
  18  ; MEDIA ;     9 ;    BARRA09  ;  S1   ;      226.23 ;
  18  ; MEDIA ;    10 ;    BARRA10  ;  S1   ;      226.40 ;
  18  ; MEDIA ;    11 ;    BARRA11  ;  S1   ;      226.34 ;
  18  ; MEDIA ;    12 ;    BARRA12  ;  S1   ;      226.76 ;
  18  ; MEDIA ;    13 ;    BARRA13  ;  S1   ;      226.79 ;
  18  ; MEDIA ;    14 ;    BARRA14  ;  S2   ;      225.96 ;
  18  ; MEDIA ;    15 ;    BARRA15  ;  S2   ;      223.87 ;
  18  ; MEDIA ;    16 ;    BARRA16  ;  S2   ;      225.61 ;
  18  ; MEDIA ;    17 ;    BARRA17  ;  S2   ;      218.52 ;
  18  ; MEDIA ;    18 ;    BARRA18  ;  S2   ;      219.90 ;
  18  ; MEDIA ;    19 ;    BARRA19  ;  S2   ;      228.29 ;
  18  ; MEDIA ;    20 ;    BARRA20  ;  S2   ;      227.90 ;
  18  ; MEDIA ;    21 ;    BARRA21  ;  S2   ;      221.15 ;
  18  ; MEDIA ;    22 ;    BARRA22  ;  S2   ;      220.12 ;
  18  ; MEDIA ;    23 ;    BARRA23  ;  S2   ;      227.68 ;
  18  ; MEDIA ;    24 ;    BARRA24  ;  S2   ;      224.44 ;
  19  ; MEDIA ;     1 ;    BARRA01  ;  S1   ;      256.72 ;
  19  ; MEDIA ;     2 ;    BARRA02  ;  S1   ;      257.05 ;
  19  ; MEDIA ;     3 ;    BARRA03  ;  S1   ;      246.36 ;
  19  ; MEDIA ;     4 ;    BARRA04  ;  S1   ;      258.00 ;
  19  ; MEDIA ;     5 ;    BARRA05  ;  S1   ;      258.87 ;
  19  ; MEDIA ;     6 ;    BARRA06  ;  S1   ;      260.15 ;
  19  ; MEDIA ;     7 ;    BARRA07  ;  S1   ;      259.95 ;
  19  ; MEDIA ;     8 ;    BARRA08  ;  S1   ;      259.95 ;
  19  ; MEDIA ;     9 ;    BARRA09  ;  S1   ;      258.77 ;
  19  ; MEDIA ;    10 ;    BARRA10  ;  S1   ;      261.12 ;
  19  ; MEDIA ;    11 ;    BARRA11  ;  S1   ;      270.01 ;
  19  ; MEDIA ;    12 ;    BARRA12  ;  S1   ;      256.31 ;
  19  ; MEDIA ;    13 ;    BARRA13  ;  S1   ;      258.80 ;
  19  ; MEDIA ;    14 ;    BARRA14  ;  S2   ;      289.90 ;
  19  ; MEDIA ;    15 ;    BARRA15  ;  S2   ;      225.52 ;
  19  ; MEDIA ;    16 ;    BARRA16  ;  S2   ;      225.61 ;
  19  ; MEDIA ;    17 ;    BARRA17  ;  S2   ;      217.91 ;
  19  ; MEDIA ;    18 ;    BARRA18  ;  S2   ;      219.87 ;
  19  ; MEDIA ;    19 ;    BARRA19  ;  S2   ;      233.05 ;
  19  ; MEDIA ;    20 ;    BARRA20  ;  S2   ;      239.44 ;
  19  ; MEDIA ;    21 ;    BARRA21  ;  S2   ;      221.65 ;
  19  ; MEDIA ;    22 ;    BARRA22  ;  S2   ;      220.18 ;
  19  ; MEDIA ;    23 ;    BARRA23  ;  S2   ;      242.92 ;
  19  ; MEDIA ;    24 ;    BARRA24  ;  S2   ;      233.49 ;
  20  ; MEDIA ;     1 ;    BARRA01  ;  S1   ;      256.71 ;
  20  ; MEDIA ;     2 ;    BARRA02  ;  S1   ;      257.02 ;
  20  ; MEDIA ;     3 ;    BARRA03  ;  S1   ;      247.05 ;
  20  ; MEDIA ;     4 ;    BARRA04  ;  S1   ;      257.90 ;
  20  ; MEDIA ;     5 ;    BARRA05  ;  S1   ;      258.72 ;
  20  ; MEDIA ;     6 ;    BARRA06  ;  S1   ;      259.91 ;
  20  ; MEDIA ;     7 ;    BARRA07  ;  S1   ;      259.72 ;
  20  ; MEDIA ;     8 ;    BARRA08  ;  S1   ;      259.72 ;
  20  ; MEDIA ;     9 ;    BARRA09  ;  S1   ;      258.63 ;
  20  ; MEDIA ;    10 ;    BARRA10  ;  S1   ;      260.82 ;
  20  ; MEDIA ;    11 ;    BARRA11  ;  S1   ;      269.41 ;
  20  ; MEDIA ;    12 ;    BARRA12  ;  S1   ;      256.04 ;
  20  ; MEDIA ;    13 ;    BARRA13  ;  S1   ;      258.41 ;
  20  ; MEDIA ;    14 ;    BARRA14  ;  S2   ;      288.72 ;
  20  ; MEDIA ;    15 ;    BARRA15  ;  S2   ;      227.62 ;
  20  ; MEDIA ;    16 ;    BARRA16  ;  S2   ;      225.61 ;
  20  ; MEDIA ;    17 ;    BARRA17  ;  S2   ;      226.32 ;
  20  ; MEDIA ;    18 ;    BARRA18  ;  S2   ;      226.65 ;
  20  ; MEDIA ;    19 ;    BARRA19  ;  S2   ;      232.98 ;
  20  ; MEDIA ;    20 ;    BARRA20  ;  S2   ;      239.29 ;
  20  ; MEDIA ;    21 ;    BARRA21  ;  S2   ;      226.96 ;
  20  ; MEDIA ;    22 ;    BARRA22  ;  S2   ;      226.71 ;
  20  ; MEDIA ;    23 ;    BARRA23  ;  S2   ;      242.74 ;
  20  ; MEDIA ;    24 ;    BARRA24  ;  S2   ;      235.05 ;
  21  ; PESADA;     1 ;    BARRA01  ;  S1   ;      258.71 ;
  21  ; PESADA;     2 ;    BARRA02  ;  S1   ;      258.96 ;
  21  ; PESADA;     3 ;    BARRA03  ;  S1   ;      250.66 ;
  21  ; PESADA;     4 ;    BARRA04  ;  S1   ;      259.70 ;
  21  ; PESADA;     5 ;    BARRA05  ;  S1   ;      260.38 ;
  21  ; PESADA;     6 ;    BARRA06  ;  S1   ;      261.37 ;
  21  ; PESADA;     7 ;    BARRA07  ;  S1   ;      261.21 ;
  21  ; PESADA;     8 ;    BARRA08  ;  S1   ;      261.21 ;
  21  ; PESADA;     9 ;    BARRA09  ;  S1   ;      260.30 ;
  21  ; PESADA;    10 ;    BARRA10  ;  S1   ;      262.13 ;
  21  ; PESADA;    11 ;    BARRA11  ;  S1   ;      257.98 ;
  21  ; PESADA;    12 ;    BARRA12  ;  S1   ;      269.45 ;
  21  ; PESADA;    13 ;    BARRA13  ;  S1   ;      269.16 ;
  21  ; PESADA;    14 ;    BARRA14  ;  S2   ;      244.94 ;
  21  ; PESADA;    15 ;    BARRA15  ;  S2   ;      234.47 ;
  21  ; PESADA;    16 ;    BARRA16  ;  S2   ;      232.80 ;
  21  ; PESADA;    17 ;    BARRA17  ;  S2   ;      233.39 ;
  21  ; PESADA;    18 ;    BARRA18  ;  S2   ;      233.67 ;
  21  ; PESADA;    19 ;    BARRA19  ;  S2   ;      302.17 ;
  21  ; PESADA;    20 ;    BARRA20  ;  S2   ;      293.63 ;
  21  ; PESADA;    21 ;    BARRA21  ;  S2   ;      233.92 ;
  21  ; PESADA;    22 ;    BARRA22  ;  S2   ;      233.71 ;
  21  ; PESADA;    23 ;    BARRA23  ;  S2   ;      288.97 ;
  21  ; PESADA;    24 ;    BARRA24  ;  S2   ;      240.66 ;
  22  ; MEDIA ;     1 ;    BARRA01  ;  S1   ;      256.69 ;
  22  ; MEDIA ;     2 ;    BARRA02  ;  S1   ; 29544335.82 ;
  22  ; MEDIA ;     3 ;    BARRA03  ;  S1   ;  6559582.07 ;
  22  ; MEDIA ;     4 ;    BARRA04  ;  S1   ; 21847743.23 ;
  22  ; MEDIA ;     5 ;    BARRA05  ;  S1   ;  7359603.87 ;
  22  ; MEDIA ;     6 ;    BARRA06  ;  S1   ; 18522827.22 ;
  22  ; MEDIA ;     7 ;    BARRA07  ;  S1   ; 15299113.04 ;
  22  ; MEDIA ;     8 ;    BARRA08  ;  S1   ; 15299113.04 ;
  22  ; MEDIA ;     9 ;    BARRA09  ;  S1   ; 15548322.15 ;
  22  ; MEDIA ;    10 ;    BARRA10  ;  S1   ; 15049903.93 ;
  22  ; MEDIA ;    11 ;    BARRA11  ;  S1   ; 13306855.35 ;
  22  ; MEDIA ;    12 ;    BARRA12  ;  S1   ; 19157232.01 ;
  22  ; MEDIA ;    13 ;    BARRA13  ;  S1   ; 18895040.10 ;
  22  ; MEDIA ;    14 ;    BARRA14  ;  S2   ;  6414449.88 ;
  22  ; MEDIA ;    15 ;    BARRA15  ;  S2   ;   519439.93 ;
  22  ; MEDIA ;    16 ;    BARRA16  ;  S2   ;      225.64 ;
  22  ; MEDIA ;    17 ;    BARRA17  ;  S2   ;  -183018.29 ;
  22  ; MEDIA ;    18 ;    BARRA18  ;  S2   ;      230.43 ;
  22  ; MEDIA ;    19 ;    BARRA19  ;  S2   ; 34980247.54 ;
  22  ; MEDIA ;    20 ;    BARRA20  ;  S2   ; 30834755.16 ;
  22  ; MEDIA ;    21 ;    BARRA21  ;  S2   ;   165027.02 ;
  22  ; MEDIA ;    22 ;    BARRA22  ;  S2   ;      227.65 ;
  22  ; MEDIA ;    23 ;    BARRA23  ;  S2   ; 28573577.49 ;
  22  ; MEDIA ;    24 ;    BARRA24  ;  S2   ;  2827859.49 ;
  23  ; MEDIA ;     1 ;    BARRA01  ;  S1   ;      256.68 ;
  23  ; MEDIA ;     2 ;    BARRA02  ;  S1   ;      256.99 ;
  23  ; MEDIA ;     3 ;    BARRA03  ;  S1   ;      247.04 ;
  23  ; MEDIA ;     4 ;    BARRA04  ;  S1   ;      257.87 ;
  23  ; MEDIA ;     5 ;    BARRA05  ;  S1   ;      258.69 ;
  23  ; MEDIA ;     6 ;    BARRA06  ;  S1   ;      259.87 ;
  23  ; MEDIA ;     7 ;    BARRA07  ;  S1   ;      259.68 ;
  23  ; MEDIA ;     8 ;    BARRA08  ;  S1   ;      259.68 ;
  23  ; MEDIA ;     9 ;    BARRA09  ;  S1   ;      258.59 ;
  23  ; MEDIA ;    10 ;    BARRA10  ;  S1   ;      260.78 ;
  23  ; MEDIA ;    11 ;    BARRA11  ;  S1   ;      269.35 ;
  23  ; MEDIA ;    12 ;    BARRA12  ;  S1   ;      256.01 ;
  23  ; MEDIA ;    13 ;    BARRA13  ;  S1   ;      258.38 ;
  23  ; MEDIA ;    14 ;    BARRA14  ;  S2   ;      288.61 ;
  23  ; MEDIA ;    15 ;    BARRA15  ;  S2   ;      227.66 ;
  23  ; MEDIA ;    16 ;    BARRA16  ;  S2   ;      225.66 ;
  23  ; MEDIA ;    17 ;    BARRA17  ;  S2   ;      226.36 ;
  23  ; MEDIA ;    18 ;    BARRA18  ;  S2   ;      226.70 ;
  23  ; MEDIA ;    19 ;    BARRA19  ;  S2   ;      233.01 ;
  23  ; MEDIA ;    20 ;    BARRA20  ;  S2   ;      239.31 ;
  23  ; MEDIA ;    21 ;    BARRA21  ;  S2   ;      227.00 ;
  23  ; MEDIA ;    22 ;    BARRA22  ;  S2   ;      226.75 ;
  23  ; MEDIA ;    23 ;    BARRA23  ;  S2   ;      242.74 ;
  23  ; MEDIA ;    24 ;    BARRA24  ;  S2   ;      235.07 ;
  24  ; MEDIA ;     1 ;    BARRA01  ;  S1   ;      228.77 ;
  24  ; MEDIA ;     2 ;    BARRA02  ;  S1   ;      228.80 ;
  24  ; MEDIA ;     3 ;    BARRA03  ;  S1   ;      227.99 ;
  24  ; MEDIA ;     4 ;    BARRA04  ;  S1   ;      228.87 ;
  24  ; MEDIA ;     5 ;    BARRA05  ;  S1   ;      228.93 ;
  24  ; MEDIA ;     6 ;    BARRA06  ;  S1   ;      229.03 ;
  24  ; MEDIA ;     7 ;    BARRA07  ;  S1   ;      229.01 ;
  24  ; MEDIA ;     8 ;    BARRA08  ;  S1   ;      229.01 ;
  24  ; MEDIA ;     9 ;    BARRA09  ;  S1   ;      228.92 ;
  24  ; MEDIA ;    10 ;    BARRA10  ;  S1   ;      229.10 ;
  24  ; MEDIA ;    11 ;    BARRA11  ;  S1   ;      229.79 ;
  24  ; MEDIA ;    12 ;    BARRA12  ;  S1   ;      228.72 ;
  24  ; MEDIA ;    13 ;    BARRA13  ;  S1   ;      228.91 ;
  24  ; MEDIA ;    14 ;    BARRA14  ;  S2   ;      231.34 ;
  24  ; MEDIA ;    15 ;    BARRA15  ;  S2   ;      226.44 ;
  24  ; MEDIA ;    16 ;    BARRA16  ;  S2   ;      226.27 ;
  24  ; MEDIA ;    17 ;    BARRA17  ;  S2   ;      226.33 ;
  24  ; MEDIA ;    18 ;    BARRA18  ;  S2   ;      226.36 ;
  24  ; MEDIA ;    19 ;    BARRA19  ;  S2   ;      226.87 ;
  24  ; MEDIA ;    20 ;    BARRA20  ;  S2   ;      227.37 ;
  24  ; MEDIA ;    21 ;    BARRA21  ;  S2   ;      226.38 ;
  24  ; MEDIA ;    22 ;    BARRA22  ;  S2   ;      226.36 ;
  24  ; MEDIA ;    23 ;    BARRA23  ;  S2   ;      227.65 ;
  24  ; MEDIA ;    24 ;    BARRA24  ;  S2   ;      227.03 ;
