NUM     NOME      itp   DI HI M DF HF M      VAZAO                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
XXX XXXXXXXXXXXX   X    XXxXXxXxXXxXXxX     XXXXXXXXX                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
  6 FURNAS         1    29      F                 207
  7 M. DE MORAES   1    28      F                  27
  7 M. DE MORAES   1    29      F                  23
  8 ESTREITO       1    28      F                   6
  8 ESTREITO       1    29      F                   5
 12 P. COLOMBIA    1    28      F                  35
 12 P. COLOMBIA    1    29      F                  54
 17 MARIMBONDO     1    28      F                 346
 17 MARIMBONDO     1    29      F                 307
 31 ITUMBIARA      1    28      F                  73
 31 ITUMBIARA      1    29      F                 101
 30 CORUMBA I      1    28      F                  49
 30 CORUMBA I      1    29      F                  60
251 SERRA MESA     1    28      F                 149
251 SERRA MESA     1    29      F                 134
278 MANSO          1    28      F                  44
278 MANSO          1    29      F                  59
123 FUNIL          1    28      F                  39
123 FUNIL          1    29      F                  39
129 SIMPLICIO      1    24      F                 105 
 20 BATALHA        1    28      F                  13
 20 BATALHA        1    29      F                  20
287 STO ANTONIO    1    28      F                 267
287 STO ANTONIO    1    29      F                 265
257 PEIXE ANGIC    1    28      F                  75
257 PEIXE ANGIC    1    29      F                  78
122 SANTA BRANCA   1    28      F                   5
122 SANTA BRANCA   1    29      F                   9
124 LAJES          1    24      F                   3 
130 ILHA POMBOS    1    28      F                  33
130 ILHA POMBOS    1    29      F                  13
131 NILO PECANHA   1    24      F                   0 
133 P. PASSOS      1    24      F                   0 
125 STA CECILIA    1    28      F                  15
125 STA CECILIA    1    29      F                  40
180 TOCOS          1    24      F                   9 
181 SANTANA        1    24      F                   4 
182 VIGARIO        1    24      F                   0 
183 FONTES A       1    24      F                   0 
184 FONTES BC      1    24      F                   0 
107 EDGARD SOUZA   1    24      F                  30 
108 TRAICAO        1    24      F                   0 
109 PEDREIRA       1    24      F                   0 
117 GUARAPIRANGA   1    24      F                  20 
118 BILLINGS       1    24      F                  16 
119 HENRY BORDEN   1    24      F                   0 
 32 CACH.DOURADA   1    28      F                  27
 32 CACH.DOURADA   1    29      F                  38
135 P. ESTRELA     1    28      F                   1
135 P. ESTRELA     1    29      F                   1
139 CANDONGA       1    28      F                  42
139 CANDONGA       1    29      F                  53
262 SALTO          1    28      F                 125
262 SALTO          1    29      F                 129
 89 GARIBALDI      1    24      F                 682 
144 MASCARENHAS    1    28      F                  18
144 MASCARENHAS    1    29      F                  19
 66 ITAIPU         1    28      F                2932
 66 ITAIPU         1    29      F                3690
110 ERNESTINA      1    28      F                  24
110 ERNESTINA      1    29      F                  54
111 PASSO REAL     1    28      F                 335
111 PASSO REAL     1    29      F                 326
112 JACUI          1    28      F                   1
112 JACUI          1    29      F                   4
113 ITAUBA         1    28      F                  60
113 ITAUBA         1    29      F                 104
114 D. FRANCISCA   1    28      F                   8
114 D. FRANCISCA   1    29      F                 121
 74 G.B. MUNHOZ    1    28      F                 440
 74 G.B. MUNHOZ    1    29      F                 606
 76 SEGREDO        1    28      F                 110
 76 SEGREDO        1    29      F                  90
 82 SALTO CAXIAS   1    28      F                 240
 82 SALTO CAXIAS   1    29      F                 316
115 G.P. SOUZA     1    28      F                  15
115 G.P. SOUZA     1    29      F                  26
 73 JORDAO         1    28      F                  12
 73 JORDAO         1    29      F                  12
 71 STA CLARA PR   1    28      F                  88
 71 STA CLARA PR   1    29      F                  84
 72 FUNDAO         1    28      F                   5
 72 FUNDAO         1    29      F                   4
 57 MAUA           1    28      F                 444
 57 MAUA           1    29      F                 404
 77 SLT.SANTIAGO   1    28      F                 150
 77 SLT.SANTIAGO   1    29      F                  87
 78 SALTO OSORIO   1    28      F                  55
 78 SALTO OSORIO   1    29      F                  39
 93 PASSO FUNDO    1    28      F                  70
 93 PASSO FUNDO    1    29      F                 114
 91 MACHADINHO     1    28      F                 155
 91 MACHADINHO     1    29      F                 219
 92 ITA            1    28      F                 150
 92 ITA            1    29      F                 553
