& ARQUIVO COM RESTRICOES OPERACIONAIS PARA AS UNIDADES TERMICAS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
& (NA CONFIGURACAO DO DESSEM)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
&
&
& CONDICOES INICIAIS DAS UNIDADES                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
&
INIT                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
&us     nome       ug   st   GerInic                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
&XX XXXXXXXXXXXX   XX   X    XXXXXXXXXX                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
 12 CUIABA CC     1 24  0 0 F                               511.77
 12 CUIABA CC     2 24  0 0 F                               511.77
 12 CUIABA CC     3 24  0 0 F                               511.77
153 DAIA          1 24  0 0 F                               751.28
153 DAIA          2 24  0 0 F                               751.28
153 DAIA          3 24  0 0 F                               751.28
 65 ATLAN_CSA     1 24  0 0 F                                 0.00
183 ATLANTICO     1 24  0 0 F                               172.42
213 BLSOBR_L1     1 24  0 0 F                               282.39
214 BLSOBR_L13    1 24  0 0 F                               242.10
110 FGASPARIAN    1 24  0 0 F                               399.02
110 FGASPARIAN    2 24  0 0 F                               399.02
110 FGASPARIAN    3 24  0 0 F                               399.02
110 FGASPARIAN    4 24  0 0 F                               399.02
110 FGASPARIAN    5 24  0 0 F                               399.02
110 FGASPARIAN    6 24  0 0 F                               399.02
155 GOIANIA 2     1 24  0 0 F                               778.78
155 GOIANIA 2     2 24  0 0 F                               778.78
 63 AUR.CHAVES    1 24  0 0 F                               237.71
 63 AUR.CHAVES    2 24  0 0 F                               237.71
  2 IGARAPE       1 24  0 0 F                               653.43
 54 JUIZ DE FO    1 24  0 0 F                               213.84
 54 JUIZ DE FO    2 24  0 0 F                               213.84
 15 LUIZORMELO    1 24  0 0 F                               200.28
 15 LUIZORMELO    2 24  0 0 F                               200.28
 15 LUIZORMELO    3 24  0 0 F                               200.28
 15 LUIZORMELO    4 24  0 0 F                               200.28
171 NORTEFLU 1    1 24  0 0 F                                50.93
172 NORTEFLU 2    1 24  0 0 F                                59.94
173 NORTEFLU 3    1 24  0 0 F                               114.06
174 NORTEFLU 4    1 24  0 0 F                               232.56
182 PALMEIR_GO    1 24  0 0 F                               592.39
182 PALMEIR_GO    2 24  0 0 F                               592.39
 50 PIRAT.12 O    1 24  0 0 F                               470.34
 50 PIRAT.12 O    2 24  0 0 F                               470.34
  9 CAMPOS        1 24  0 0 F                               630.47
  9 CAMPOS        2 24  0 0 F                               630.47
  4 ST.CRUZ 34    1 24  0 0 F                               310.41
  4 ST.CRUZ 34    2 24  0 0 F                               310.41
 86 SANTA CRUZ    1 24  0 0 F                               133.57
 86 SANTA CRUZ    2 24  0 0 F                               133.57
 86 SANTA CRUZ    3 24  0 0 F                               133.57
 86 SANTA CRUZ    4 24  0 0 F                               133.57
217 LCPRES_L1     1 24  0 0 F                               182.41
218 LCPRES_L13    1 24  0 0 F                               234.33
194 TNORTE 2      1 24  0 0 F                               678.04
194 TNORTE 2      2 24  0 0 F                               678.04
194 TNORTE 2      3 24  0 0 F                               678.04
194 TNORTE 2      4 24  0 0 F                               678.04
 90 M.LAGO        1 24  0 0 F                               504.21
 90 M.LAGO        2 24  0 0 F                               504.21
 90 M.LAGO        3 24  0 0 F                               504.21
 90 M.LAGO        4 24  0 0 F                               504.21
 90 M.LAGO        5 24  0 0 F                               504.21
 90 M.LAGO        6 24  0 0 F                               504.21
 90 M.LAGO        7 24  0 0 F                               504.21
 90 M.LAGO        8 24  0 0 F                               504.21
 90 M.LAGO        9 24  0 0 F                               504.21
 90 M.LAGO       10 24  0 0 F                               504.21
 90 M.LAGO       11 24  0 0 F                               504.21
 90 M.LAGO       12 24  0 0 F                               504.21
 90 M.LAGO       13 24  0 0 F                               504.21
 90 M.LAGO       14 24  0 0 F                               504.21
 90 M.LAGO       15 24  0 0 F                               504.21
 90 M.LAGO       16 24  0 0 F                               504.21
 90 M.LAGO       17 24  0 0 F                               504.21
 90 M.LAGO       18 24  0 0 F                               504.21
 90 M.LAGO       19 24  0 0 F                               504.21
 90 M.LAGO       20 24  0 0 F                               504.21
215 GLBRIZ_L1     1 24  0 0 F                               216.12
216 GLBRIZ_L13    1 24  0 0 F                               239.47
 19 UTE BRASIL    1 24  0 0 F                              1047.38
 19 UTE BRASIL    2 24  0 0 F                              1047.38
 49 VIANA         1 24  0 0 F                               409.51
 49 VIANA         2 24  0 0 F                               409.51
 49 VIANA         3 24  0 0 F                               409.51
 49 VIANA         4 24  0 0 F                               409.51
 34 W.ARJONA      1 24  0 0 F                               297.27
 34 W.ARJONA      2 24  0 0 F                               297.27
 34 W.ARJONA      3 24  0 0 F                               297.27
 34 W.ARJONA      4 24  0 0 F                               297.27
 34 W.ARJONA      5 24  0 0 F                               297.27
108 XAVANTES      1 24  0 0 F                              1077.00
108 XAVANTES      2 24  0 0 F                              1077.00
 48 ARAUCARIA     1 24  0 0 F                               710.65
 48 ARAUCARIA     2 24  0 0 F                               710.65
 48 ARAUCARIA     3 24  0 0 F                               710.65
156 CANDIOTA_3    1 24  0 0 F                                77.57
 64 S.TIARAJU     1 24  0 0 F                               698.14
 64 S.TIARAJU     2 24  0 0 F                               698.14
169 MADEIRA       1 24  0 0 F                               277.87
