-----;-----;--------------;------;--------;---------;--------;-------;--------;---------;---------;---------;-----;-----;
IPER ;USIT ;  Nome Usit   ;UNIDT ;NomeSist; CustLin ;NumBarra;NOscil.;GtMinMax;  Gtmin  ;  Gtmax  ;GtminAcio; Ton ;Toff ;
  -  ;  -  ;      -       ;  -   ;   -    ; ($/MWh) ;   -    ;   -   ;   -    ;  (MW)   ;  (MW)   ;  (MW)   ; (h) ; (h) ;
-----;-----;--------------;------;--------;---------;--------;-------;--------;---------;---------;---------;-----;-----;
   3 ; 050 ; PIRAT.12 G   ; 099  ; S1     ;    0.000;   -    ;   0   ;   0    ;     0.00;  200.000;     0.00;  0  ;  0  ;
   3 ; 004 ; ST.CRUZ 34   ; 001  ; S2     ;  210.410;     1  ;   0   ;   0    ;     0.00;  220.000;   500.00; 13  ;  5  ;
   3 ; 004 ; ST.CRUZ 34   ; 099  ; S2     ;    0.000;   -    ;   0   ;   0    ;     0.00;  220.000;     0.00;  0  ;  0  ;
   4 ; 001 ; ANGRA 1      ; 001  ; S1     ;  200.000;     1  ;   0   ;   0    ;     0.00;  657.000;   500.00; 13  ;  5  ;
   4 ; 001 ; ANGRA 1      ; 099  ; S1     ;    0.000;   -    ;   0   ;   0    ;     0.00;  657.000;     0.00;  0  ;  0  ;
   4 ; 002 ; IGARAPE      ; 001  ; S1     ;  253.430;     1  ;   0   ;   0    ;     0.00;  131.000;   500.00; 13  ;  5  ;
   4 ; 002 ; IGARAPE      ; 099  ; S1     ;    0.000;   -    ;   0   ;   0    ;     0.00;  131.000;     0.00;  0  ;  0  ;
   4 ; 003 ; ST.CRUZ 12   ; 001  ; S1     ;  210.000;     1  ;   0   ;   0    ;     0.00;   84.000;   500.00; 13  ;  5  ;
   4 ; 003 ; ST.CRUZ 12   ; 099  ; S1     ;    0.000;   -    ;   0   ;   0    ;     0.00;   84.000;     0.00;  0  ;  0  ;
   4 ; 050 ; PIRAT.12 G   ; 001  ; S1     ;  205.340;     1  ;   0   ;   0    ;     0.00;  200.000;   500.00; 13  ;  5  ;
   4 ; 050 ; PIRAT.12 G   ; 099  ; S1     ;    0.000;   -    ;   0   ;   0    ;     0.00;  200.000;     0.00;  0  ;  0  ;
   4 ; 004 ; ST.CRUZ 34   ; 001  ; S2     ;  210.410;     1  ;   0   ;   0    ;     0.00;  220.000;   500.00; 13  ;  5  ;
   4 ; 004 ; ST.CRUZ 34   ; 099  ; S2     ;    0.000;   -    ;   0   ;   0    ;     0.00;  220.000;     0.00;  0  ;  0  ;
   5 ; 001 ; ANGRA 1      ; 001  ; S1     ;  200.000;     1  ;   0   ;   0    ;     0.00;  657.000;   500.00; 13  ;  5  ;
   5 ; 001 ; ANGRA 1      ; 099  ; S1     ;    0.000;   -    ;   0   ;   0    ;     0.00;  657.000;     0.00;  0  ;  0  ;
   5 ; 002 ; IGARAPE      ; 001  ; S1     ;  253.430;     1  ;   0   ;   0    ;     0.00;  131.000;   500.00; 13  ;  5  ;
   5 ; 002 ; IGARAPE      ; 099  ; S1     ;    0.000;   -    ;   0   ;   0    ;     0.00;  131.000;     0.00;  0  ;  0  ;
   5 ; 003 ; ST.CRUZ 12   ; 001  ; S1     ;  210.000;     1  ;   0   ;   0    ;     0.00;   84.000;   500.00; 13  ;  5  ;
   5 ; 003 ; ST.CRUZ 12   ; 099  ; S1     ;    0.000;   -    ;   0   ;   0    ;     0.00;   84.000;     0.00;  0  ;  0  ;
   5 ; 050 ; PIRAT.12 G   ; 001  ; S1     ;  205.340;     1  ;   0   ;   0    ;     0.00;  200.000;   500.00; 13  ;  5  ;
   5 ; 050 ; PIRAT.12 G   ; 099  ; S1     ;    0.000;   -    ;   0   ;   0    ;     0.00;  200.000;     0.00;  0  ;  0  ;
   5 ; 004 ; ST.CRUZ 34   ; 001  ; S2     ;  210.410;     1  ;   0   ;   0    ;     0.00;  220.000;   500.00; 13  ;  5  ;
   5 ; 004 ; ST.CRUZ 34   ; 099  ; S2     ;    0.000;   -    ;   0   ;   0    ;     0.00;  220.000;     0.00;  0  ;  0  ;
   6 ; 001 ; ANGRA 1      ; 001  ; S1     ;  200.000;     1  ;   0   ;   0    ;     0.00;  657.000;   500.00; 13  ;  5  ;
   6 ; 001 ; ANGRA 1      ; 099  ; S1     ;    0.000;   -    ;   0   ;   0    ;     0.00;  657.000;     0.00;  0  ;  0  ;
   6 ; 002 ; IGARAPE      ; 001  ; S1     ;  253.430;     1  ;   0   ;   0    ;     0.00;  131.000;   500.00; 13  ;  5  ;
   6 ; 002 ; IGARAPE      ; 099  ; S1     ;    0.000;   -    ;   0   ;   0    ;     0.00;  131.000;     0.00;  0  ;  0  ;
   6 ; 003 ; ST.CRUZ 12   ; 001  ; S1     ;  210.000;     1  ;   0   ;   0    ;     0.00;   84.000;   500.00; 13  ;  5  ;
   6 ; 003 ; ST.CRUZ 12   ; 099  ; S1     ;    0.000;   -    ;   0   ;   0    ;     0.00;   84.000;     0.00;  0  ;  0  ;
   6 ; 050 ; PIRAT.12 G   ; 001  ; S1     ;  205.340;     1  ;   0   ;   0    ;     0.00;  200.000;   500.00; 13  ;  5  ;
   6 ; 050 ; PIRAT.12 G   ; 099  ; S1     ;    0.000;   -    ;   0   ;   0    ;     0.00;  200.000;     0.00;  0  ;  0  ;
   6 ; 004 ; ST.CRUZ 34   ; 001  ; S2     ;  210.410;     1  ;   0   ;   0    ;     0.00;  220.000;   500.00; 13  ;  5  ;
   6 ; 004 ; ST.CRUZ 34   ; 099  ; S2     ;    0.000;   -    ;   0   ;   0    ;     0.00;  220.000;     0.00;  0  ;  0  ;
   7 ; 001 ; ANGRA 1      ; 001  ; S1     ;  200.000;     1  ;   0   ;   0    ;     0.00;  657.000;   500.00; 13  ;  5  ;
