***********************************************************************
*                                                                     *
*            CEPEL - CENTRO DE PESQUISAS DE ENERGIA ELETRICA          *
*  MODELO DESSEM     - VERSAO 19.0.14.1.3 - Marco de 2021 (CPLEX) (ACADEMICA)        *
*                                                                     *
***********************************************************************


   PROGRAMA LICENCIADO PARA CEMEAI                                                                                                                                                


____________________________________________________________________

  te  caso exemplo - sistema reduzido                                            - Data do Caso: 06/01/2017                                                       
____________________________________________________________________



Dados Relativos as Usinas Hidraulicas:

----;--------;----;--------------;----;-----;-------;-----------;-----------;-----------;-----------;-----------;-----------;-----------;-----------;-----------;-----------;-----------;-----------;-----------;------------;------------;-----------;-----------;-----------;-----------;-----------;-----------;-----------;-----------;-----------;-----------;-----------;------------;------------;-----;-----------;-----------;
    ;        ;    ;              ;    ;     ;       ;   Vagua   ;       Vol.Final ;     ;         Qincr        ;;         Qmont        ;;         Qmontv       ;;         Qdesv        ;;         QEvap        ;;      VazUsoAltern      ;;         Qtur         ;;        QturMin       ;;        QturMax       ;;        Engolimento   ;;         Vert         ;;  Geracao  ;    Gmax    ; Capacidade ;     ;  Perdhid  ;  Hqueda   ;
IPER;   Pat  ;USIH;     Nome     ;SIST;CONJ ; Unid  ;   $/MWh   ;    Hm3    ;   %       ;   m3/s    ;    Hm3    ;   m3/s    ;    Hm3    ;    m3/s   ;     Hm3   ;     m3/s  ;      Hm3  ;    m3/s   ;     Hm3   ;  m3/s      ;    Hm3     ;     m3/s  ;      Hm3  ;    m3/s   ;     Hm3   ;   m3/s    ;    Hm3    ;   m3/s    ;    Hm3    ;    m3/s   ;     Hm3/s ;     MW    ;     MW     ;     MW     ; L/D ;     MW    ;     m     ;
----;--------;----;--------------;----;-----;-------;-----------;-----------;-----------;-----------;-----------;-----------;-----------;-----------;-----------;-----------;-----------;-----------;-----------;------------;------------;-----------;-----------;-----------;-----------;-----------;-----------;-----------;-----------;-----------;-----------;-----------;------------;------------;-----;-----------;-----------;
  1 ; LEVE   ;  7 ; M. DE MORAES ; S1 ;   3 ;    1  ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;            ;            ;           ;           ;           ;           ;   1328.00 ;      4.78 ;           ;           ;           ;           ;     51.00 ;     -      ;      51.00 ;  L  ;      0.00 ;           ;
  1 ; LEVE   ;  7 ; M. DE MORAES ; S1 ;   3 ;    2  ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;            ;            ;           ;           ;           ;           ;   1328.00 ;      4.78 ;           ;           ;           ;           ;     51.00 ;     -      ;      51.00 ;  L  ;      0.00 ;           ;
  1 ; LEVE   ;  7 ; M. DE MORAES ; S1 ;   3 ;    3  ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;            ;            ;           ;           ;           ;           ;   1328.00 ;      4.78 ;           ;           ;           ;           ;     25.53 ;     -      ;      51.00 ;  L  ;      0.00 ;           ;
  1 ; LEVE   ;  7 ; M. DE MORAES ; S1 ;   3 ;    4  ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;            ;            ;           ;           ;           ;           ;   1328.00 ;      4.78 ;           ;           ;           ;           ;      0.00 ;     -      ;      51.00 ;  L  ;      0.00 ;           ;
  1 ; LEVE   ;  7 ; M. DE MORAES ; S1 ;   4 ;    1  ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;            ;            ;           ;           ;           ;           ;   1328.00 ;      4.78 ;           ;           ;           ;           ;      0.00 ;     -      ;      54.00 ;  L  ;      0.00 ;           ;
  1 ; LEVE   ;  7 ; M. DE MORAES ; S1 ;   4 ;    2  ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;            ;            ;           ;           ;           ;           ;   1328.00 ;      4.78 ;           ;           ;           ;           ;      0.00 ;     -      ;      54.00 ;  L  ;      0.00 ;           ;
  1 ; LEVE   ;  7 ; M. DE MORAES ; S1 ;  99 ;   99  ;    243.60 ;    246.94 ;      9.88 ;    149.00 ;      0.54 ;    102.00 ;      0.37 ;      0.00 ;      0.00 ;      0.00 ;      0.00 ;     -     ;     -     ;      0.00  ;      0.00  ;   1100.00 ;      3.96 ;      0.00 ;      0.00 ;   1142.90 ;      4.11 ;   1142.90 ;      4.11 ;      0.00 ;      0.00 ;    293.53 ;     478.00 ;     478.00 ;  -  ;      0.00 ;     31.99 ;
  1 ; LEVE   ;  8 ; ESTREITO     ; S1 ;   1 ;    1  ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;            ;            ;           ;           ;           ;           ;   2028.00 ;      7.30 ;           ;           ;           ;           ;    184.00 ;     -      ;     184.00 ;  L  ;      0.00 ;           ;
  1 ; LEVE   ;  8 ; ESTREITO     ; S1 ;   1 ;    2  ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;            ;            ;           ;           ;           ;           ;   2028.00 ;      7.30 ;           ;           ;           ;           ;    184.00 ;     -      ;     184.00 ;  L  ;      0.00 ;           ;
  1 ; LEVE   ;  8 ; ESTREITO     ; S1 ;   1 ;    3  ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;            ;            ;           ;           ;           ;           ;   2028.00 ;      7.30 ;           ;           ;           ;           ;    184.00 ;     -      ;     184.00 ;  L  ;      0.00 ;           ;
