***********************************************************************
*                                                                     *
*            CEPEL - CENTRO DE PESQUISAS DE ENERGIA ELETRICA          *
*  MODELO DESSEM     - VERSAO 19.0.14.1.3 - Marco de 2021 (CPLEX) (ACADEMICA)        *
*                                                                     *
***********************************************************************


   PROGRAMA LICENCIADO PARA CEMEAI                                                                                                                                                


____________________________________________________________________

  te  caso exemplo - sistema reduzido                                            - Data do Caso: 06/01/2017                                                       
____________________________________________________________________


  
Memoria de calculo do CMO das barras - participacao nas restricoes de limites de fluxo
  
-----------------;-----------------;-----------------;-----------------;-----------------;-----------------;-----------------;-----------------;-----------------;-----------------;-----------------;
      IPER       ;      NUM        ;      SIST       ;     BARRA DE    ;    BARRA PARA   ;     CIRCUITO    ;  SOM. PI LINHA  ;     PARCELA     ;      FATOR      ;    LBD. FLUX    ;     SENTIDO     ;
-----------------;-----------------;-----------------;-----------------;-----------------;-----------------;-----------------;-----------------;-----------------;-----------------;-----------------;
         1       ;          1      ;       S1        ;         15      ;         16      ;          1      ;        -0.63884 ;         0.63884 ;         0.12381 ;        -5.15993 ;        1        ;
         1       ;          2      ;       S1        ;         15      ;         16      ;          1      ;        -0.60961 ;         0.60961 ;         0.11814 ;        -5.15993 ;        1        ;
         1       ;          3      ;       S1        ;         15      ;         16      ;          1      ;        -1.56195 ;         1.56195 ;         0.30271 ;        -5.15993 ;        1        ;
         1       ;          4      ;       S1        ;         15      ;         16      ;          1      ;        -0.52520 ;         0.52520 ;         0.10178 ;        -5.15993 ;        1        ;
         1       ;          5      ;       S1        ;         15      ;         16      ;          1      ;        -0.44718 ;         0.44718 ;         0.08666 ;        -5.15993 ;        1        ;
         1       ;          6      ;       S1        ;         15      ;         16      ;          1      ;        -0.33381 ;         0.33381 ;         0.06469 ;        -5.15993 ;        1        ;
         1       ;          7      ;       S1        ;         15      ;         16      ;          1      ;        -0.35151 ;         0.35151 ;         0.06812 ;        -5.15993 ;        1        ;
         1       ;          8      ;       S1        ;         15      ;         16      ;          1      ;        -0.35151 ;         0.35151 ;         0.06812 ;        -5.15993 ;        1        ;
         1       ;          9      ;       S1        ;         15      ;         16      ;          1      ;        -0.45611 ;         0.45611 ;         0.08840 ;        -5.15993 ;        1        ;
         1       ;         10      ;       S1        ;         15      ;         16      ;          1      ;        -0.24690 ;         0.24690 ;         0.04785 ;        -5.15993 ;        1        ;
         1       ;         11      ;       S1        ;         15      ;         16      ;          1      ;        -0.02227 ;         0.02227 ;         0.00432 ;        -5.15993 ;        1        ;
         1       ;         12      ;       S1        ;         15      ;         16      ;          1      ;        -0.10756 ;         0.10756 ;         0.02084 ;        -5.15993 ;        1        ;
         1       ;         13      ;       S1        ;         15      ;         16      ;          1      ;         0.00000 ;         0.00000 ;         0.00000 ;        -5.15993 ;        1        ;
         1       ;         14      ;       S2        ;         15      ;         16      ;          1      ;         0.28623 ;        -0.28623 ;        -0.05547 ;        -5.15993 ;        1        ;
         1       ;         15      ;       S2        ;         15      ;         16      ;          1      ;        -3.41746 ;         3.41746 ;         0.66231 ;        -5.15993 ;        1        ;
         1       ;         16      ;       S2        ;         15      ;         16      ;          1      ;         0.57333 ;        -0.57333 ;        -0.11111 ;        -5.15993 ;        1        ;
