***********************************************************************
*                                                                     *
*            CEPEL - CENTRO DE PESQUISAS DE ENERGIA ELETRICA          *
*  MODELO DESSEM     - VERSAO 19.0.14.1.3 - Marco de 2021 (CPLEX) (ACADEMICA)        *
*                                                                     *
***********************************************************************


   PROGRAMA LICENCIADO PARA CEMEAI                                                                                                                                                


____________________________________________________________________

  te  caso exemplo - sistema reduzido                                            - Data do Caso: 06/01/2017                                                       
____________________________________________________________________

---------------------------------------------------------
Avaliacao do Engolimento Maximo das Usinas Hidroeletricas                       
---------------------------------------------------------
----------------------------------------------------
IPER:      Indice do periodo.                                                                                                                                                                           
USIH:      Numero de cadastro da usina hidroeletrica                                                                                                                                                    
NomeUsih:  Nome de cadastro da usina hidroeletrica                                                                                                                                                      
Vutil Med: Volume armazenado Util medio                                                                                                                                                                 
Qtur:      Vazao turbinada                                                                                                                                                                              
Qver:      Vazao vertida                                                                                                                                                                                
QturMax:   Vazao turbinada Maxima                                                                                                                                                                       
Engolim:   Engolimento Maximo                                                                                                                                                                           
----------------------------------------------------

-----;-----;--------------;----------;---------;---------;---------;------------;
IPER ;USIH ;   NomeUsih   ;Vutil Med ;  Qtur   ;  Qver   ; QturMax ;  Engolim   ;
  -  ;  -  ;      -       ;   (%)    ; (m3/s)  ; (m3/s)  ; (m3/s)  ;   (m3/s)   ;
-----;-----;--------------;----------;---------;---------;---------;------------;
   4 ; 016 ; A.S.OLIVEIRA ;    -     ;    65.00;     0.00;   178.00;     185.04 ;
   4 ; 024 ; EMBORCACAO   ;    53.56 ;    51.00;     0.00;  1048.00;    1023.29 ;
   4 ; 025 ; NOVA PONTE   ;    73.45 ;    40.00;     0.00;   576.00;     619.97 ;
   4 ; 026 ; MIRANDA      ;    99.72 ;    42.00;     0.00;   675.00;     688.00 ;
   4 ; 030 ; CORUMBA I    ;    63.03 ;   555.91;     0.00;   570.00;     556.25 ;
   4 ; 031 ; ITUMBIARA    ;    54.15 ;   707.86;     0.00;  2940.00;    2868.87 ;
   4 ; 032 ; CACH.DOURADA ;    -     ;   819.86;     0.00;  2513.00;    2566.07 ;
   4 ; 033 ; SAO SIMAO    ;    85.07 ;   450.00;     0.00;  2670.00;    2755.41 ;
   5 ; 006 ; FURNAS       ;    10.21 ;   102.00;     0.00;  1692.00;    1599.24 ;
   5 ; 007 ; M. DE MORAES ;     9.45 ;  1100.00;     0.00;  1328.00;    1141.53 ;
   5 ; 008 ; ESTREITO     ;    -     ;  1131.00;     0.00;  2028.00;    2057.79 ;
   5 ; 010 ; IGARAPAVA    ;    -     ;  1180.00;     0.00;  1480.00;    1498.77 ;
   5 ; 014 ; CACONDE      ;    50.25 ;     8.00;     0.00;    94.00;      91.30 ;
   5 ; 015 ; E. DA CUNHA  ;    -     ;    63.00;     0.00;   148.00;     147.55 ;
   5 ; 016 ; A.S.OLIVEIRA ;    -     ;    65.00;     0.00;   178.00;     185.04 ;
   5 ; 024 ; EMBORCACAO   ;    53.58 ;    51.00;     0.00;  1048.00;    1023.32 ;
   5 ; 025 ; NOVA PONTE   ;    73.46 ;    40.00;     0.00;   576.00;     619.98 ;
   5 ; 026 ; MIRANDA      ;    99.91 ;    42.00;     0.00;   675.00;     688.03 ;
   5 ; 030 ; CORUMBA I    ;    63.07 ;   555.94;     0.00;   570.00;     556.28 ;
   5 ; 031 ; ITUMBIARA    ;    54.16 ;   426.95;     0.00;  2940.00;    2868.93 ;
   5 ; 032 ; CACH.DOURADA ;    -     ;   538.95;     0.00;  2513.00;    2573.63 ;
   5 ; 033 ; SAO SIMAO    ;    85.16 ;   450.00;     0.00;  2670.00;    2755.56 ;
   6 ; 006 ; FURNAS       ;    10.24 ;   102.00;     0.00;  1692.00;    1599.30 ;
   6 ; 007 ; M. DE MORAES ;     9.33 ;  1100.00;     0.00;  1328.00;    1141.19 ;
   6 ; 008 ; ESTREITO     ;    -     ;  1131.00;     0.00;  2028.00;    2057.79 ;
   6 ; 010 ; IGARAPAVA    ;    -     ;  1180.00;     0.00;  1480.00;    1498.77 ;
   6 ; 014 ; CACONDE      ;    50.30 ;     8.00;     0.00;    94.00;      91.31 ;
   6 ; 015 ; E. DA CUNHA  ;    -     ;    63.00;     0.00;   148.00;     147.55 ;
   6 ; 016 ; A.S.OLIVEIRA ;    -     ;    65.00;     0.00;   178.00;     185.04 ;
   6 ; 024 ; EMBORCACAO   ;    53.59 ;   120.71;     0.00;  1048.00;    1022.25 ;
   6 ; 025 ; NOVA PONTE   ;    73.47 ;   256.98;     0.00;   576.00;     619.99 ;
   6 ; 026 ; MIRANDA      ;   100.00 ;   334.98;     0.00;   675.00;     685.74 ;
   6 ; 030 ; CORUMBA I    ;    63.10 ;   555.96;     0.00;   570.00;     556.31 ;
   6 ; 031 ; ITUMBIARA    ;    54.18 ;  1101.86;     0.00;  2940.00;    2858.89 ;
   6 ; 032 ; CACH.DOURADA ;    -     ;  1213.86;     0.00;  2513.00;    2556.18 ;
   6 ; 033 ; SAO SIMAO    ;    85.26 ;   621.08;     0.00;  2670.00;    2754.34 ;
   7 ; 006 ; FURNAS       ;    10.26 ;   102.00;     0.00;  1692.00;    1599.37 ;
   7 ; 007 ; M. DE MORAES ;     9.21 ;  1100.00;     0.00;  1328.00;    1140.85 ;
   7 ; 008 ; ESTREITO     ;    -     ;  1131.00;     0.00;  2028.00;    2057.79 ;
   7 ; 010 ; IGARAPAVA    ;    -     ;  1180.00;     0.00;  1480.00;    1498.77 ;
   7 ; 014 ; CACONDE      ;    50.36 ;     8.00;     0.00;    94.00;      91.32 ;
   7 ; 015 ; E. DA CUNHA  ;    -     ;    63.00;     0.00;   148.00;     147.55 ;
   7 ; 016 ; A.S.OLIVEIRA ;    -     ;    65.00;     0.00;   178.00;     185.04 ;
   7 ; 024 ; EMBORCACAO   ;    53.61 ;   120.42;     0.00;  1048.00;    1022.28 ;
   7 ; 025 ; NOVA PONTE   ;    73.48 ;   256.73;     0.00;   576.00;     620.00 ;
   7 ; 026 ; MIRANDA      ;   100.00 ;   334.73;     0.00;   675.00;     685.74 ;
   7 ; 030 ; CORUMBA I    ;    63.14 ;   555.99;     0.00;   570.00;     556.34 ;
   7 ; 031 ; ITUMBIARA    ;    54.19 ;  1102.68;     0.00;  2940.00;    2858.91 ;
   7 ; 032 ; CACH.DOURADA ;    -     ;  1214.68;     0.00;  2513.00;    2556.16 ;
   7 ; 033 ; SAO SIMAO    ;    85.37 ;   621.13;     0.00;  2670.00;    2754.53 ;
   8 ; 006 ; FURNAS       ;    10.29 ;   102.00;     0.00;  1692.00;    1599.43 ;
   8 ; 007 ; M. DE MORAES ;     9.08 ;  1100.00;     0.00;  1328.00;    1140.51 ;
   8 ; 008 ; ESTREITO     ;    -     ;  1131.00;     0.00;  2028.00;    2057.79 ;
   8 ; 010 ; IGARAPAVA    ;    -     ;  1180.00;     0.00;  1480.00;    1498.77 ;
   8 ; 014 ; CACONDE      ;    50.41 ;     8.00;     0.00;    94.00;      91.32 ;
   8 ; 015 ; E. DA CUNHA  ;    -     ;    63.00;     0.00;   148.00;     147.55 ;
   8 ; 016 ; A.S.OLIVEIRA ;    -     ;    65.00;     0.00;   178.00;     185.04 ;
   8 ; 024 ; EMBORCACAO   ;    53.62 ;    51.00;     0.00;  1048.00;    1023.40 ;
