-----;-----;-----;--------------;------------------;------------------;---------;---------;-------;-----------;------------;------------;---------;---------;------------;------------;---------;---------;---------;---------;---------;---------;------------------;------------------;
IPER ;IPAT ;USIH ;   NomeUsih   ; Situacao Inicio  ;   Situacao Fim   ; VarmMin ; VarmMax ;TpRegul;VarmSolVert; VTotalInic ;VTotalFinal ;  Qver   ;  Vver   ;QVert. max. ;VVert. max. ;  Qinc   ;  Vinc   ; Qmontv  ; Vmontv  ;  Qret   ;  Vret   ; QTurb. max. Mont ; VTurb. max. Mont ;
  -  ;  -  ;  -  ;      -       ;        -         ;        -         ;  (hm3)  ;  (hm3)  ;  (%)  ;   (hm3)   ;   (hm3)    ;   (hm3)    ; (m3/s)  ;  (hm3)  ;    m3/s    ;    hm3     ; (m3/s)  ;  (hm3)  ; (m3/s)  ;  (hm3)  ; (m3/s)  ;  (hm3)  ;       m3/s       ;       hm3        ;
-----;-----;-----;--------------;------------------;------------------;---------;---------;-------;-----------;------------;------------;---------;---------;------------;------------;---------;---------;---------;---------;---------;---------;------------------;------------------;
   1 ;   1 ; 030 ; CORUMBA I    ;                  ;                  ;   470.00;  1500.00;   M   ;    739.04 ;    1117.87 ;    1119.98 ;     0.00;     0.00;  105892.66 ;     381.21 ;   661.00;     2.38;     0.00;     0.00;     0.00;     0.00;       0.00       ;       0.00       ;
   1 ;   1 ; 031 ; ITUMBIARA    ;                  ;                  ;  4573.00; 17027.00;   M   ;   6915.60 ;   11310.61 ;   11310.79 ;     0.00;     0.00; 1223574.87 ;    4404.87 ;   444.00;     1.60;     0.00;     0.00;     0.00;     0.00;    2293.00       ;       8.25       ;
   1 ;   1 ; 032 ; CACH.DOURADA ;                  ;                  ;   460.00;   460.00;   D   ;    460.00 ;     460.00 ;     460.00 ;     0.00;     0.00;  999999.88 ;  999999.88 ;   112.00;     0.40;     0.00;     0.00;     0.00;     0.00;    2940.00       ;      10.58       ;
   1 ;   1 ; 033 ; SAO SIMAO    ;                  ;                  ;  7000.00; 12540.00;   M   ;   7000.00 ;   11692.38 ;   11698.96 ;     0.00;     0.00; 1307101.89 ;    4705.57 ;  1150.00;     4.14;     0.00;     0.00;     0.00;     0.00;    2513.00       ;       9.05       ;
   2 ;   1 ; 006 ; FURNAS       ;                  ;                  ;  5733.00; 22950.00;   M   ;   6173.76 ;    7476.21 ;    7480.51 ;     0.00;     0.00;  364383.45 ;    1311.78 ;  1295.00;     4.66;     0.00;     0.00;     0.00;     0.00;       0.00       ;       0.00       ;
   2 ;   1 ; 007 ; M. DE MORAES ;                  ;                  ;  1540.00;  4040.00;   M   ;   1895.00 ;    1786.94 ;    1783.89 ;     0.00;     0.00;       0.00 ;       0.00 ;   149.00;     0.54;     0.00;     0.00;     0.00;     0.00;    1692.00       ;       6.09       ;
   2 ;   1 ; 008 ; ESTREITO     ;                  ;                  ;  1423.00;  1423.00;   D   ;   1423.00 ;    1423.00 ;    1423.00 ;     0.00;     0.00;  999999.88 ;  999999.88 ;    31.00;     0.11;     0.00;     0.00;     0.00;     0.00;    1328.00       ;       4.78       ;
   2 ;   1 ; 010 ; IGARAPAVA    ;                  ;                  ;   480.00;   480.00;   D   ;    480.00 ;     480.00 ;     480.00 ;     0.00;     0.00;  999999.88 ;  999999.88 ;    49.00;     0.18;     0.00;     0.00;     0.00;     0.00;    2028.00       ;       7.30       ;
   2 ;   1 ; 014 ; CACONDE      ;                  ;                  ;    51.00;   555.00;   M   ;    363.98 ;     303.31 ;     303.61 ;     0.00;     0.00;       0.00 ;       0.00 ;    85.00;     0.31;     0.00;     0.00;     0.00;     0.00;       0.00       ;       0.00       ;
   2 ;   1 ; 015 ; E. DA CUNHA  ;                  ;                  ;    14.00;    14.00;   D   ;     14.00 ;      14.00 ;      14.00 ;     0.00;     0.00;  999999.88 ;  999999.88 ;    55.00;     0.20;     0.00;     0.00;     0.00;     0.00;      94.00       ;       0.34       ;
