-----;-----;-----;--------------;--------;----------;----------;----------;----------;----------;---------;---------;---------;---------;---------;---------;---------;---------;---------;---------;---------;---------;------------;---------;---------;---------;---------;---------;---------;---------;------------;------------;------------;------------;----------;----------;----------;---------;
IPER ;IPAT ;USIH ;   NomeUsih   ;NomeSist;VutilInic ;VutilInic ;Vutil Fim ;Vutil Fim ;Vutil Max ;  Qinc   ;  Vinc   ;  Qret   ;  Vret   ;  Qevap  ;  Vevap  ;  Qmon   ;  Vmon   ; Qmontv  ; Vmontv  ;  Qtur   ; QturMax ;  Engolim   ;  Vtur   ;  Qver   ;  Vver   ;  Qdes   ;  Vdes   ;  Qbom   ;  Vbom   ;   QEnch    ;   VEnch    ;   TDesc    ;   VDesc    ;   Ghid   ;  Ghmax   ;  Pinst   ;ValorAgua;
  -  ;  -  ;  -  ;      -       ;   -    ;  (hm3)   ;   (%)    ;  (hm3)   ;   (%)    ;  (hm3)   ; (m3/s)  ;  (hm3)  ; (m3/s)  ;  (hm3)  ; (m3/s)  ; (Hm3 )  ; (m3/s)  ;  (hm3)  ; (m3/s)  ;  (hm3)  ; (m3/s)  ; (m3/s)  ;   (m3/s)   ;  (hm3)  ; (m3/s)  ;  (hm3)  ; (m3/s)  ;  (hm3)  ; (m3/s)  ;  (hm3)  ;   (m3/s)   ;   (hm3)    ;    m3/s    ;   (hm3)    ;   (MW)   ;   (MW)   ;   (MW)   ; ($/MWh) ;
-----;-----;-----;--------------;--------;----------;----------;----------;----------;----------;---------;---------;---------;---------;---------;---------;---------;---------;---------;---------;---------;---------;------------;---------;---------;---------;---------;---------;---------;---------;------------;------------;------------;------------;----------;----------;----------;---------;
   1 ;   1 ; 024 ; EMBORCACAO   ; S2     ;  6984.96 ;    53.50 ;  6987.04 ;    53.52 ; 13056.00 ;   671.00;     2.42;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;    92.51;  1048.00;    1022.89 ;     0.33;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;      -     ;      -     ;      -     ;      -     ;   100.45 ;  1192.00 ;  1192.00 ;   223.27;
   1 ;   1 ; 025 ; NOVA PONTE   ; S2     ;  7618.92 ;    73.40 ;  7619.34 ;    73.40 ; 10380.00 ;   493.00;     1.77;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;   377.14;   576.00;     619.94 ;     1.36;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;      -     ;      -     ;      -     ;      -     ;   386.76 ;   510.00 ;   510.00 ;   221.73;
   1 ;   1 ; 026 ; MIRANDA      ; S2     ;   146.00 ;   100.00 ;   146.00 ;   100.00 ;   146.00 ;    78.00;     0.28;     0.00;     0.00;     0.00;     0.00;   377.14;     1.36;     0.00;     0.00;   455.14;   675.00;     685.90 ;     1.64;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;      -     ;      -     ;      -     ;      -     ;   286.54 ;   408.00 ;   408.00 ;   221.71;
   1 ;   1 ; 030 ; CORUMBA I    ; S2     ;   647.87 ;    62.90 ;   649.98 ;    63.11 ;  1030.00 ;   661.00;     2.38;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;    74.00;   570.00;     556.16 ;     0.27;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;      -     ;      -     ;      -     ;      -     ;    60.80 ;   375.00 ;   375.00 ;   226.44;
   1 ;   1 ; 031 ; ITUMBIARA    ; S2     ;  6737.61 ;    54.10 ;  6737.79 ;    54.10 ; 12454.00 ;   444.00;     1.60;     0.00;     0.00;     0.00;     0.00;   621.64;     2.24;     0.00;     0.00;  1015.67;  2940.00;    2860.82 ;     3.66;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;      -     ;      -     ;      -     ;      -     ;   684.49 ;  2082.00 ;  2082.00 ;   221.33;
   1 ;   1 ; 032 ; CACH.DOURADA ; S2     ;     -    ;     -    ;     -    ;     -    ;     -    ;   112.00;     0.40;     0.00;     0.00;     0.00;     0.00;  1015.67;     3.66;     0.00;     0.00;  1127.67;  2513.00;    2558.20 ;     4.06;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;      -     ;      -     ;      -     ;      -     ;   322.77 ;   658.00 ;   658.00 ;   221.49;
   1 ;   1 ; 033 ; SAO SIMAO    ; S2     ;  4692.38 ;    84.70 ;  4698.96 ;    84.82 ;  5540.00 ;  1150.00;     4.14;     0.00;     0.00;     0.00;     0.00;  1127.67;     4.06;     0.00;     0.00;   450.00;  2670.00;    2754.55 ;     1.62;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;      -     ;      -     ;      -     ;      -     ;   307.22 ;  1710.00 ;  1710.00 ;   228.19;
   2 ;   1 ; 006 ; FURNAS       ; S1     ;  1743.21 ;    10.12 ;  1747.51 ;    10.15 ; 17217.00 ;  1295.00;     4.66;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;   102.00;  1692.00;    1599.04 ;     0.37;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;      -     ;      -     ;      -     ;      -     ;    71.51 ;  1312.00 ;  1312.00 ;   248.21;
   2 ;   1 ; 007 ; M. DE MORAES ; S1     ;   246.94 ;     9.88 ;   243.89 ;     9.76 ;  2500.00 ;   149.00;     0.54;     0.00;     0.00;     0.00;     0.00;   102.00;     0.37;     0.00;     0.00;  1100.00;  1328.00;    1142.56 ;     3.96;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;      -     ;      -     ;      -     ;      -     ;   293.53 ;   478.00 ;   478.00 ;   243.64;
   2 ;   1 ; 008 ; ESTREITO     ; S1     ;     -    ;     -    ;     -    ;     -    ;     -    ;    31.00;     0.11;     0.00;     0.00;     0.00;     0.00;  1100.00;     3.96;     0.00;     0.00;  1131.00;  2028.00;    2057.79 ;     4.07;     0.00;     0.00;     0.00;     0.00;     0.00;     0.00;      -     ;      -     ;      -     ;      -     ;   646.81 ;  1104.00 ;  1104.00 ;   222.47;
