------;--------;------;---------------;-------;-----;-----;------------------------;----------------;
 0003 ; USIH   ;     8; ESTREITO      ; VARM  ;   0 ;   0 ;           -40.9867700  ; (1000$/hm3)    ;
 0003 ; USIH   ;    10; IGARAPAVA     ; VARM  ;   0 ;   0 ;            -8.5117717  ; (1000$/hm3)    ;
 0003 ; USIH   ;    14; CACONDE       ; VARM  ;   0 ;   0 ;           -99.4780388  ; (1000$/hm3)    ;
 0003 ; USIH   ;    15; E. DA CUNHA   ; VARM  ;   0 ;   0 ;           -53.3236475  ; (1000$/hm3)    ;
 0003 ; USIH   ;    16; A.S.OLIVEIRA  ; VARM  ;   0 ;   0 ;           -12.0928820  ; (1000$/hm3)    ;
 0003 ; USIH   ;    24; EMBORCACAO    ; VARM  ;   0 ;   0 ;          -155.1955275  ; (1000$/hm3)    ;
 0003 ; USIH   ;    25; NOVA PONTE    ; VARM  ;   0 ;   0 ;          -185.6937247  ; (1000$/hm3)    ;
 0003 ; USIH   ;    26; MIRANDA       ; VARM  ;   0 ;   0 ;          -128.5574132  ; (1000$/hm3)    ;
 0003 ; USIH   ;    30; CORUMBA I     ; VARM  ;   0 ;   0 ;           -96.4046707  ; (1000$/hm3)    ;
 0003 ; USIH   ;    31; ITUMBIARA     ; VARM  ;   0 ;   0 ;           -91.8942400  ; (1000$/hm3)    ;
 0003 ; USIH   ;    32; CACH.DOURADA  ; VARM  ;   0 ;   0 ;           -52.4090644  ; (1000$/hm3)    ;
 0003 ; USIH   ;    33; SAO SIMAO     ; VARM  ;   0 ;   0 ;           -37.0576020  ; (1000$/hm3)    ;
 0004 ; RHS    ;     0;      -        ;  RHS  ;   0 ;   0 ;       5979537.8460290  ;  1000$         ;
 0004 ; USIH   ;     6; FURNAS        ; VARM  ;   0 ;   0 ;          -106.4027667  ; (1000$/hm3)    ;
 0004 ; USIH   ;     7; M. DE MORAES  ; VARM  ;   0 ;   0 ;           -61.0878178  ; (1000$/hm3)    ;
 0004 ; USIH   ;     8; ESTREITO      ; VARM  ;   0 ;   0 ;           -40.9869087  ; (1000$/hm3)    ;
 0004 ; USIH   ;    10; IGARAPAVA     ; VARM  ;   0 ;   0 ;            -8.5119723  ; (1000$/hm3)    ;
 0004 ; USIH   ;    14; CACONDE       ; VARM  ;   0 ;   0 ;           -99.4780191  ; (1000$/hm3)    ;
 0004 ; USIH   ;    15; E. DA CUNHA   ; VARM  ;   0 ;   0 ;           -53.3235459  ; (1000$/hm3)    ;
 0004 ; USIH   ;    16; A.S.OLIVEIRA  ; VARM  ;   0 ;   0 ;           -12.0928590  ; (1000$/hm3)    ;
 0004 ; USIH   ;    24; EMBORCACAO    ; VARM  ;   0 ;   0 ;          -155.1955843  ; (1000$/hm3)    ;
 0004 ; USIH   ;    25; NOVA PONTE    ; VARM  ;   0 ;   0 ;          -185.6937194  ; (1000$/hm3)    ;
